object			
volume	00216x04	James Diderot & al.	{date}
pb	1	0003	
entry	G	0	
orth	G	lat	
entry	Gabal	0	
orth	Gabal	lat	
entry	Gabirea	0	
orth	Gabirea	lat	
entry	Gabricu	0	
orth	Gabricu	lat	
entry	Gados	0	
orth	Gados	lat	
entry	Gæodes	0	
orth	Gæodes	lat	
entry	Gagates	1	
orth	Gagates	lat	
pb	3	0004	
entry	Gagel	0	
orth	Gagel	lat	
entry	Gaiderothymum	0	
orth	Gaiderothymum	lat	
entry	Gala	0	
orth	Gala	lat	
entry	Galacorta	0	
orth	Galacorta	lat	
entry	Galactina	0	
orth	Galactina	lat	
entry	Galactites lapis	0	
orth	Galactites lapis	lat	
entry	Galactodes	0	
orth	Galactodes	lat	
entry	Galactophoros	0	
orth	Galactophoros	lat	
entry	Galactopoetica	0	
orth	Galactopoetica	lat	
entry	Galactoposia	0	
orth	Galactoposia	lat	
entry	Galanga	0	
orth	Galanga	lat	
entry	Galarias	0	
orth	Galarias	lat	
entry	Galaricides, Galaractis	0	
orth	Galaricides	lat	
orth	Galaractis	lat	
entry	Galaturæ	0	
orth	Galaturæ	lat	
entry	Galax	0	
orth	Galax	lat	
entry	Galaxa, Galacia	1	
orth	Galaxa	lat	
orth	Galacia	lat	
pb	5	0005	
entry	Galaxias	0	
orth	Galaxias	lat	
entry	Galbanetum	0	
orth	Galbanetum	lat	
entry	Galbanum	0	
orth	Galbanum	lat	
entry	Galbeum	0	
orth	Galbeum	lat	
entry	Galbula	0	
orth	Galbula	lat	
entry	Galbulus	0	
orth	Galbulus	lat	
entry	Gale	1	
orth	Gale	lat	
pb	7	0006	
entry	Galea	0	
orth	Galea	lat	
entry	Galeanthropia	0	
orth	Galeanthropia	lat	
entry	Galeata	0	
orth	Galeata	lat	
entry	Galega	0	
orth	Galega	lat	
entry	Galena	0	
orth	Galena	lat	
entry	Galenica medicina	0	
orth	Galenica medicina	lat	
entry	Galenion	0	
orth	Galenion	lat	
entry	Galenus, Galien	3	
orth	Galenus	lat	
orth	Galien	lat	
pb	9	0007	
pb	11	0008	
pb	13	0009	
entry	Galeobdulon	0	
orth	Galeobdulon	lat	
entry	Galeonymus	0	
orth	Galeonymus	lat	
entry	Galeopsis	0	
orth	Galeopsis	lat	
entry	Galerita	0	
orth	Galerita	lat	
entry	Galeus	1	
orth	Galeus	lat	
pb	15	0010	
entry	Galexias	0	
orth	Galexias	lat	
entry	Galgalus, Galgula, Galgulus	0	
orth	Galgalus	lat	
orth	Galgula	lat	
orth	Galgulus	lat	
entry	Galia	0	
orth	Galia	lat	
entry	Galiancones	0	
orth	Galiancones	lat	
entry	Galias	0	
orth	Galias	lat	
entry	Galiopsis	0	
orth	Galiopsis	lat	
entry	Galla	0	
orth	Galla	lat	
entry	Gallatura	0	
orth	Gallatura	lat	
entry	Galleridas	0	
orth	Galleridas	lat	
entry	Gallia moschata	0	
orth	Gallia moschata	lat	
entry	Gallicus morbus	0	
orth	Gallicus morbus	lat	
entry	Gallina aquatica	0	
orth	Gallina aquatica	lat	
entry	Gallina domestica	1	
orth	Gallina domestica	lat	
pb	17	0011	
entry	Gallinaginis caput	0	
orth	Gallinaginis caput	lat	
entry	Gallinago	0	
orth	Gallinago	lat	
entry	Gallivassa	0	
orth	Gallivassa	lat	
entry	Gallinula	0	
orth	Gallinula	lat	
entry	Gallitricho affinis	0	
orth	Gallitricho affinis	lat	
entry	Gallitrichum	0	
orth	Gallitrichum	lat	
entry	Gallium	0	
orth	Gallium	lat	
entry	Gallopavo	0	
orth	Gallopavo	lat	
entry	Gallos	0	
orth	Gallos	lat	
entry	Gallus	0	
orth	Gallus	lat	
entry	Galreda	0	
orth	Galreda	lat	
entry	Galtihenum, Galithenum	0	
orth	Galtihenum	lat	
orth	Galithenum	lat	
entry	Gamaheu	0	
orth	Gamaheu	lat	
entry	Gamandra	0	
orth	Gamandra	lat	
entry	Gamatha	0	
orth	Gamatha	lat	
entry	Gambogium	0	
orth	Gambogium	lat	
entry	Gamboidea	0	
orth	Gamboidea	lat	
entry	Gammaros	0	
orth	Gammaros	lat	
entry	Gammata	1	
orth	Gammata	lat	
pb	19	0012	
entry	Gammaut	0	
orth	Gammaut	lat	
entry	Gamphele	0	
orth	Gamphele	lat	
entry	Gampsonyx	0	
orth	Gampsonyx	lat	
entry	Gangamon	0	
orth	Gangamon	lat	
entry	Gangila	0	
orth	Gangila	lat	
entry	Gangitis	0	
orth	Gangitis	lat	
entry	Ganglion	1	
orth	Ganglion	lat	
pb	21	0013	
entry	Gangræna	30	
orth	Gangræna	lat	
pb	23	0014	
pb	25	0015	
pb	27	0016	
pb	29	0017	
pb	31	0018	
pb	33	0019	
pb	35	0020	
pb	37	0021	
pb	39	0022	
pb	41	0023	
pb	43	0024	
pb	45	0025	
pb	47	0026	
pb	49	0027	
pb	51	0028	
pb	53	0029	
pb	55	0030	
pb	57	0031	
pb	59	0032	
pb	61	0033	
pb	63	0034	
pb	65	0035	
pb	67	0036	
pb	69	0037	
pb	71	0038	
pb	73	0039	
pb	75	0040	
pb	77	0041	
pb	79	0042	
pb	81	0043	
entry	Gangrinos	0	
orth	Gangrinos	lat	
entry	Ganimedes	0	
orth	Ganimedes	lat	
entry	Gannanaperide	0	
orth	Gannanaperide	lat	
entry	Garab, Algarab	0	
orth	Garab	lat	
orth	Algarab	lat	
entry	Garagay	0	
orth	Garagay	lat	
entry	Garb	0	
orth	Garb	lat	
entry	Gargale, Gargalos, Gargalismos	0	
orth	Gargale	lat	
orth	Gargalos	lat	
orth	Gargalismos	lat	
entry	Gargareon	0	
orth	Gargareon	lat	
entry	Gargarisma, Gargarismus	0	
orth	Gargarisma	lat	
orth	Gargarismus	lat	
entry	Gargathum	0	
orth	Gargathum	lat	
entry	Garidella	1	
orth	Garidella	lat	
pb	83	0044	
entry	Garip	0	
orth	Garip	lat	
entry	Garon, Garum	0	
orth	Garon	lat	
orth	Garum	lat	
entry	Garrulus	0	
orth	Garrulus	lat	
entry	Garyophyllata	0	
orth	Garyophyllata	lat	
entry	Garyophylli	0	
orth	Garyophylli	lat	
entry	Gas	0	
orth	Gas	lat	
entry	Gassela, Gazella	0	
orth	Gassela	lat	
orth	Gazella	lat	
entry	Gaster	0	
orth	Gaster	lat	
entry	Gasteranax	0	
orth	Gasteranax	lat	
entry	Gastricus succus	0	
orth	Gastricus succus	lat	
entry	Gastrinum	0	
orth	Gastrinum	lat	
entry	Gastrocnemii	1	
orth	Gastrocnemii	lat	
pb	85	0045	
entry	Gastroepiploica	0	
orth	Gastroepiploica	lat	
entry	Gastroraphia	0	
orth	Gastroraphia	lat	
entry	Gastrotomia	0	
orth	Gastrotomia	lat	
entry	Gatrinum	0	
orth	Gatrinum	lat	
entry	Gattaria	0	
orth	Gattaria	lat	
entry	Gausos	0	
orth	Gausos	lat	
entry	Gazar	0	
orth	Gazar	lat	
entry	Gazella	0	
orth	Gazella	lat	
entry	Ge	0	
orth	Ge	lat	
