object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
foreign	voracité	fra	
entry	Adelfa	0	
orth	Adelfa	spa	
foreign	oubaladre	fra	
foreign	nerium Oleander	fra	
entry	Adelfia	0	
orth	Adelfia	spa	
foreign	adelphie	fra	
entry	Adelfo	0	
orth	Adelfo	spa	
foreign	adelphe	fra	
entry	Adenofaringeo	0	
orth	Adenofaringeo	spa	
foreign	aâéno-pharynge	fra	
entry	Adenografia	0	
orth	Adenografia	spa	
foreign	adénographie	fra	
entry	Adenologia	0	
orth	Adenologia	spa	
foreign	adénologie	fra	
entry	Adeno-meningea (fiebre)	0	
orth	Adeno-meningea (fiebre)	spa	
foreign	fièvre adéno-méningée	fra	
entry	Adeno-nervosa ( fiebre ) 	0	
orth	Adeno-nervosa ( fiebre ) 	spa	
foreign	fièvre adéno-nerveuse	fra	
entry	Adenotomia	0	
orth	Adenotomia	spa	
foreign	adénotomie	fra	
entry	Adherencia	0	
orth	Adherencia	spa	
foreign	adhérence	fra	
entry	Adhesivo	0	
orth	Adhesivo	spa	
foreign	adhésif	fra	
entry	Adiarea	0	
orth	Adiarea	spa	
foreign	suppression d’une évacuation	fra	
entry	Adinamia	0	
orth	Adinamia	spa	
foreign	adynamie	fra	
entry	Adinamico	0	
orth	Adinamico	spa	
foreign	adynamique	fra	
entry	Adipocera	0	
orth	Adipocera	spa	
foreign	adipocire	fra	
entry	Adiposo	0	
orth	Adiposo	spa	
foreign	adipeux	fra	
entry	Adormidera	0	
orth	Adormidera	spa	
foreign	pavot	fra	
entry	Adquirido	0	
orth	Adquirido	spa	
foreign	acquis	fra	
entry	Adragante	0	
orth	Adragante	spa	
foreign	adragant	fra	
entry	Adulteracion	0	
orth	Adulteracion	spa	
foreign	adultératicn	fra	
entry	Adulto	0	
orth	Adulto	spa	
foreign	adulte	fra	
entry	Adustion	0	
orth	Adustion	spa	
foreign	inflammation	fra	
entry	Adusto	0	
orth	Adusto	spa	
foreign	aduste	fra	
entry	Adyuvante	0	
orth	Adyuvante	spa	
foreign	adjuvant	fra	
entry	Aereo	0	
orth	Aereo	spa	
foreign	aérien	fra	
entry	Aerofobia	0	
orth	Aerofobia	spa	
foreign	aérophobie	fra	
entry	Aerolita	0	
orth	Aerolita	spa	
foreign	aérolithe	fra	
entry	Afeccion	0	
orth	Afeccion	spa	
foreign	affection	fra	
entry	Afectivo	0	
orth	Afectivo	spa	
foreign	affectif	fra	
entry	Afeitado	0	
orth	Afeitado	spa	
foreign	rasé	fra	
entry	Afeite	0	
orth	Afeite	spa	
foreign	fard	fra	
entry	Aferente	0	
orth	Aferente	spa	
foreign	afférent	fra	
entry	Aferesis	0	
orth	Aferesis	spa	
foreign	aphérèse	fra	
entry	Afilo	0	
orth	Afilo	spa	
foreign	aphylle	fra	
entry	Afinidad	0	
orth	Afinidad	spa	
foreign	affinité	fra	
entry	Atlojamiento	0	
orth	Atlojamiento	spa	
foreign	relâchement	fra	
entry	Afluencia	0	
orth	Afluencia	spa	
foreign	affluence	fra	
entry	Afonia	0	
orth	Afonia	spa	
foreign	aphonie	fra	
entry	Aforismo	0	
orth	Aforismo	spa	
foreign	aphorisme	fra	
entry	Aforistico	0	
orth	Aforistico	spa	
foreign	aphoristique	fra	
entry	Afrodisiaco	0	
orth	Afrodisiaco	spa	
foreign	aphrodisiaque	fra	
entry	Aftas	0	
orth	Aftas	spa	
foreign	aphthes	fra	
entry	Aftoso	0	
orth	Aftoso	spa	
foreign	aphtheux	fra	
entry	Afusion	0	
orth	Afusion	spa	
foreign	affusion	fra	
entry	Agalaxia	0	
orth	Agalaxia	spa	
foreign	agalactie	fra	
entry	Agalla	0	
orth	Agalla	spa	
foreign	noix de galle	fra	
entry	Agallas	0	
orth	Agallas	spa	
foreign	amygdales	fra	
foreign	branchies	fra	
pb	1810	1824	
entry	Agallato	0	
orth	Agallato	spa	
foreign	gallate	fra	
entry	Agallico (acido)	0	
orth	Agallico (acido)	spa	
foreign	adde gallique	fra	
entry	Agamia	0	
orth	Agamia	spa	
foreign	agamie	fra	
entry	Agarico	0	
orth	Agarico	spa	
foreign	agaric	fra	
entry	Agente	0	
orth	Agente	spa	
foreign	agent	fra	
entry	Ageustia	0	
orth	Ageustia	spa	
foreign	ageustie	fra	
entry	Agitacion	0	
orth	Agitacion	spa	
foreign	agitation	fra	
entry	Aglosia	0	
orth	Aglosia	spa	
foreign	privation de la langue	fra	
entry	Aglutinacion	0	
orth	Aglutinacion	spa	
foreign	agglutination	fra	
entry	Aglutinante	0	
orth	Aglutinante	spa	
foreign	agglutinant	fra	
entry	Agno-casto	0	
orth	Agno-casto	spa	
foreign	agnus-castus	fra	
entry	Agobiado	0	
orth	Agobiado	spa	
foreign	courbé	fra	
foreign	voûté	fra	
entry	Agonia	0	
orth	Agonia	spa	
foreign	agonie	fra	
foreign	privation de sperme	fra	
entry	Agraz	0	
orth	Agraz	spa	
foreign	verjus	fra	
entry	Agregado	0	
orth	Agregado	spa	
foreign	agrégé	fra	
entry	Agregato	0	
orth	Agregato	spa	
foreign	agrégat	fra	
entry	Agridulce	0	
orth	Agridulce	spa	
foreign	aigre-doux	fra	
entry	Agrillo	0	
orth	Agrillo	spa	
foreign	aigrelet	fra	
entry	Agrio	0	
orth	Agrio	spa	
foreign	aigre	fra	
entry	Agripnocoma	0	
orth	Agripnocoma	spa	
foreign	coma vigil	fra	
entry	Agrura	0	
orth	Agrura	spa	
foreign	aigreur	fra	
entry	Agua	0	
orth	Agua	spa	
foreign	eau	fra	
entry	Agua en las piernas (vétér.)	0	
orth	Agua en las piernas (vétér.)	spa	
foreign	eaux aux jambes	fra	
entry	Agua madre	0	
orth	Agua madre	spa	
foreign	eau mère	fra	
entry	Agua ras	0	
orth	Agua ras	spa	
foreign	huile essentielle de térébenthine	fra	
entry	Aguadura (vétér.)	0	
orth	Aguadura (vétér.)	spa	
entry	Aguamiel	0	
orth	Aguamiel	spa	
foreign	hydromel	fra	
entry	Aguanafa	0	
orth	Aguanafa	spa	
foreign	eau de fleur d’oranger	fra	
entry	Aguardiente	0	
orth	Aguardiente	spa	
foreign	eau-de-vie	fra	
entry	Agudo	0	
orth	Agudo	spa	
foreign	aigu	fra	
entry	Aguijon	0	
orth	Aguijon	spa	
foreign	aiguillon	fra	
entry	Aguila	0	
orth	Aguila	spa	
foreign	aigle	fra	
entry	Aguja	0	
orth	Aguja	spa	
foreign	aiguille	fra	
entry	Agujereado	0	
orth	Agujereado	spa	
foreign	fenétré	fra	
entry	Agujero	0	
orth	Agujero	spa	
foreign	trou	fra	
foreign	pertuis	fra	
foreign	conduit	fra	
entry	Agujeta	0	
orth	Agujeta	spa	
foreign	aiguillette	fra	
entry	Ahito	0	
orth	Ahito	spa	
foreign	indigestion	fra	
entry	Ahogado	0	
orth	Ahogado	spa	
foreign	submergé	fra	
entry	Ahoguido	0	
orth	Ahoguido	spa	
foreign	dyspnée	fra	
foreign	asthme	fra	
entry	Ahorcado	0	
orth	Ahorcado	spa	
foreign	pendu	fra	
entry	Aire	0	
orth	Aire	spa	
foreign	air	fra	
entry	Aislador	0	
orth	Aislador	spa	
foreign	isolateur	fra	
entry	Aislamiento	0	
orth	Aislamiento	spa	
foreign	isolement	fra	
entry	Aislar	0	
orth	Aislar	spa	
foreign	isoler	fra	
entry	Ajenjo	0	
orth	Ajenjo	spa	
foreign	absinthe	fra	
entry	Ajo	0	
orth	Ajo	spa	
foreign	ail	fra	
entry	Ajuanetado	0	
orth	Ajuanetado	spa	
foreign	qui a des durillons	fra	
entry	Ala	0	
orth	Ala	spa	
foreign	aile	fra	
entry	Alacran	0	
orth	Alacran	spa	
foreign	scorpion	fra	
entry	Alado	0	
orth	Alado	spa	
foreign	ailé	fra	
entry	Alambique	0	
orth	Alambique	spa	
foreign	alambic	fra	
entry	Alamo	0	
orth	Alamo	spa	
foreign	peuplier	fra	
entry	Alantoides	0	
orth	Alantoides	spa	
foreign	allantoïde	fra	
entry	Albayalde	0	
orth	Albayalde	spa	
foreign	carbonate de plomb (céruse)	fra	
entry	Albinismo	0	
orth	Albinismo	spa	
foreign	albinisme	fra	
entry	Albugineo	0	
orth	Albugineo	spa	
foreign	albugine	fra	
entry	Albuginoso	0	
orth	Albuginoso	spa	
foreign	albugineux	fra	
entry	Albumina	0	
orth	Albumina	spa	
foreign	albumine	fra	
entry	Albuminado	0	
orth	Albuminado	spa	
foreign	albuminé	fra	
entry	Albuminoso	0	
orth	Albuminoso	spa	
foreign	albumineux	fra	
entry	Alcalescencia	0	
orth	Alcalescencia	spa	
foreign	alcalescence	fra	
entry	Alcalescente	0	
orth	Alcalescente	spa	
foreign	alcalescent	fra	
entry	Alcalimetro	0	
orth	Alcalimetro	spa	
foreign	alcalimètre	fra	
entry	Alcalinidad	0	
orth	Alcalinidad	spa	
foreign	alcalinité	fra	
entry	Alcalino	0	
orth	Alcalino	spa	
foreign	alcalin	fra	
entry	Alcanfor	0	
orth	Alcanfor	spa	
foreign	camphre	fra	
entry	Alcanforado	0	
orth	Alcanforado	spa	
foreign	camphré	fra	
entry	Alcaparra	0	
orth	Alcaparra	spa	
foreign	câpre	fra	
entry	Alcarrazas	0	
orth	Alcarrazas	spa	
foreign	vases pour rafraîchir l’eau	fra	
entry	Alcoholico	0	
orth	Alcoholico	spa	
foreign	alcoolique	fra	
entry	Alcohometro	0	
orth	Alcohometro	spa	
foreign	pèse-liqueur	fra	
entry	Alcornoque	0	
orth	Alcornoque	spa	
foreign	liège (arbre)	fra	
entry	Aleacion	0	
orth	Aleacion	spa	
foreign	alliage	fra	
entry	Alechugado, abollado	0	
orth	Alechugado	spa	
orth	Abollado		
foreign	le canal godronné	fra	
entry	Alexifarmaco	0	
orth	Alexifarmaco	spa	
foreign	dlexipharmaque	fra	
entry	Alexipiretico	0	
orth	Alexipiretico	spa	
foreign	alexipyrétique	fra	
entry	Alfiler	0	
orth	Alfiler	spa	
foreign	épingle	fra	
entry	Altos	0	
orth	Altos	spa	
foreign	alphos	fra	
entry	Algalia	0	
orth	Algalia	spa	
foreign	algalie	fra	
entry	Algas	0	
orth	Algas	spa	
foreign	algues	fra	
entry	Algido	0	
orth	Algido	spa	
foreign	algide	fra	
entry	Algodon	0	
orth	Algodon	spa	
foreign	coton	fra	
entry	Alholva	0	
orth	Alholva	spa	
foreign	fénugrec	fra	
entry	Alhorre	0	
orth	Alhorre	spa	
foreign	le méconium	fra	
entry	Aliacan, aliacran	0	
orth	Aliacan	spa	
orth	Aliacran		
foreign	ictère	fra	
entry	Aliaceo	0	
orth	Aliaceo	spa	
foreign	alliacé	fra	
entry	Alibil	0	
orth	Alibil	spa	
foreign	propre à la nutrition	fra	
entry	Alienacion	0	
orth	Alienacion	spa	
foreign	aliénation	fra	
entry	Alienado	0	
orth	Alienado	spa	
foreign	aliéné	fra	
entry	Aliento	0	
orth	Aliento	spa	
foreign	haleine	fra	
foreign	souffle	fra	
entry	Alimentacion	0	
orth	Alimentacion	spa	
foreign	alimentation	fra	
entry	Alimento	0	
orth	Alimento	spa	
foreign	aliment	fra	
entry	Alma	0	
orth	Alma	spa	
foreign	âme	fra	
entry	Almâciga	0	
orth	Almâciga	spa	
foreign	mastic	fra	
entry	Almeja	0	
orth	Almeja	spa	
foreign	la moule	fra	
entry	Almendra	0	
orth	Almendra	spa	
foreign	amande	fra	
entry	A mibar	0	
orth	A mibar	spa	
foreign	sirop	fra	
entry	Amidon	0	
orth	Amidon	spa	
foreign	amidon	fra	
entry	Almirez	0	
orth	Almirez	spa	
foreign	mortier	fra	
entry	Almizcle	0	
orth	Almizcle	spa	
foreign	musc	fra	
entry	Almohada, almohadilla	0	
orth	Almohada	spa	
orth	Almohadilla		
foreign	coussin	fra	
entry	Almorranas	0	
orth	Almorranas	spa	
foreign	hémorrhoïdes	fra	
entry	Aloetico	0	
orth	Aloetico	spa	
foreign	aloétique	fra	
entry	Alopatia	0	
orth	Alopatia	spa	
foreign	allopathie	fra	
entry	Alopecia	0	
orth	Alopecia	spa	
foreign	alopécie	fra	
entry	Alotriofagia	0	
orth	Alotriofagia	spa	
foreign	allotriophagie	fra	
entry	Alquermes	0	
orth	Alquermes	spa	
foreign	alkermès	fra	
entry	Alquimia	0	
orth	Alquimia	spa	
foreign	alchimie	fra	
entry	Alquitran	0	
orth	Alquitran	spa	
foreign	goudron	fra	
entry	Alteina	0	
orth	Alteina	spa	
foreign	althéine	fra	
entry	Alteracion	0	
orth	Alteracion	spa	
foreign	altération	fra	
entry	Alterante	0	
orth	Alterante	spa	
foreign	altérant	fra	
entry	Alterno	0	
orth	Alterno	spa	
foreign	alterne	fra	
entry	Altramuz	0	
orth	Altramuz	spa	
foreign	lupin	fra	
entry	Alucinacion	0	
orth	Alucinacion	spa	
foreign	hallucination	fra	
entry	Alumbramiento	0	
orth	Alumbramiento	spa	
foreign	accouchement	fra	
entry	Alumbre	0	
orth	Alumbre	spa	
foreign	alun	fra	
entry	Alumina	0	
orth	Alumina	spa	
foreign	alumine	fra	
entry	Aluminio	0	
orth	Aluminio	spa	
foreign	aluminium	fra	
entry	Aluminoso	0	
orth	Aluminoso	spa	
foreign	alumineux	fra	
entry	Alveolar	0	
orth	Alveolar	spa	
foreign	alvéolaire	fra	
entry	Alveolo	0	
orth	Alveolo	spa	
foreign	alvéole	fra	
entry	Alvino	0	
orth	Alvino	spa	
foreign	alvin	fra	
entry	Amamantamiento	0	
orth	Amamantamiento	spa	
foreign	allaitement	fra	
entry	Amapola	0	
orth	Amapola	spa	
foreign	le coquelicot	fra	
entry	Amargo	0	
orth	Amargo	spa	
foreign	amer	fra	
entry	Amarilla (fiebre)	0	
orth	Amarilla (fiebre)	spa	
foreign	fièvre jaune	fra	
entry	Amarillo	0	
orth	Amarillo	spa	
foreign	jaune	fra	
entry	Amaurotico	0	
orth	Amaurotico	spa	
foreign	amaurotique	fra	
entry	Ambar	0	
orth	Ambar	spa	
foreign	ambre	fra	
entry	Ambidextro	0	
orth	Ambidextro	spa	
foreign	ambidextre	fra	
entry	Ambiente	0	
orth	Ambiente	spa	
foreign	ambiant	fra	
entry	Ambliopia	0	
orth	Ambliopia	spa	
foreign	amblyopie	fra	
entry	Amblotico	0	
orth	Amblotico	spa	
foreign	abortif	fra	
entry	Ambulante	0	
orth	Ambulante	spa	
foreign	ambulant	fra	
entry	Amenia	0	
orth	Amenia	spa	
foreign	aménie	fra	
entry	Amenorrea	0	
orth	Amenorrea	spa	
foreign	aménorrhée	fra	
entry	Amento	0	
orth	Amento	spa	
foreign	chaton	fra	
entry	Amiantaceo	0	
orth	Amiantaceo	spa	
foreign	amiantacé	fra	
entry	Amigdalas	0	
orth	Amigdalas	spa	
foreign	amygdales	fra	
entry	Amigdalino	0	
orth	Amigdalino	spa	
foreign	amygdalin	fra	
entry	Amnesia	0	
orth	Amnesia	spa	
foreign	amnésie	fra	
entry	Amoniacal	0	
orth	Amoniacal	spa	
foreign	ammoniacal	fra	
entry	Amoniaco (goma)	0	
orth	Amoniaco (goma)	spa	
foreign	gomme ammoniaque	fra	
entry	Amoniaco	0	
orth	Amoniaco	spa	
foreign	l’ammoniaque	fra	
entry	Amorfo	0	
orth	Amorfo	spa	
foreign	amorphe	fra	
entry	Amplectivo	0	
orth	Amplectivo	spa	
foreign	amplectif	fra	
entry	Ampolla	0	
orth	Ampolla	spa	
foreign	ampoule	fra	
entry	Amputacion	0	
orth	Amputacion	spa	
foreign	amputation	fra	
entry	Amuleto	0	
orth	Amuleto	spa	
foreign	amulette	fra	
entry	Anabroquismo	0	
orth	Anabroquismo	spa	
foreign	anabrochisme	fra	
entry	Anacatartico	0	
orth	Anacatartico	spa	
foreign	ce qui excite l’expectoration	fra	
entry	Anafrodisia	0	
orth	Anafrodisia	spa	
foreign	anaphrodisie	fra	
entry	Anafrodisiaco	0	
orth	Anafrodisiaco	spa	
foreign	anaphrodisiaque	fra	
entry	Analeptico	0	
orth	Analeptico	spa	
foreign	analeptique	fra	
entry	Analisis	0	
orth	Analisis	spa	
foreign	analyse	fra	
entry	Anamnestico	0	
orth	Anamnestico	spa	
foreign	anamnestique	fra	
entry	Anasarca	0	
orth	Anasarca	spa	
foreign	anasarque	fra	
entry	Anastomotico	0	
orth	Anastomotico	spa	
foreign	anastomotique	fra	
entry	Anatomia	0	
orth	Anatomia	spa	
foreign	anatomie	fra	
entry	Anatomico	0	
orth	Anatomico	spa	
foreign	anatomiste	fra	
entry	Ancho	0	
orth	Ancho	spa	
foreign	large	fra	
entry	Anchoa	0	
orth	Anchoa	spa	
foreign	anchois	fra	
entry	Ancilotoma	0	
orth	Ancilotoma	spa	
foreign	ancylotome	fra	
entry	Anconeo	0	
orth	Anconeo	spa	
foreign	anconé	fra	
entry	Androgino	0	
orth	Androgino	spa	
foreign	androgyne	fra	
entry	Andromania	0	
orth	Andromania	spa	
foreign	nymphomanie	fra	
entry	Anemia	0	
orth	Anemia	spa	
foreign	anémie	fra	
entry	Anencefalia	0	
orth	Anencefalia	spa	
foreign	anencéphalie	fra	
entry	Anepitimia	0	
orth	Anepitimia	spa	
foreign	perte des désirs	fra	
foreign	des appétits	fra	
entry	Anetico	0	
orth	Anetico	spa	
foreign	parégorique	fra	
entry	Aneurisma	0	
orth	Aneurisma	spa	
foreign	anévrysme	fra	
entry	Aneurismal	0	
orth	Aneurismal	spa	
foreign	anévrysmal	fra	
entry	Anfiartrosis	0	
orth	Anfiartrosis	spa	
foreign	amphiarthrose	fra	
entry	Anfibio	0	
orth	Anfibio	spa	
foreign	amphibie	fra	
entry	Anfimerina (fiebre)	0	
orth	Anfimerina (fiebre)	spa	
foreign	fièvre rémit· tente quotidienne	fra	
entry	Anfiteatro	0	
orth	Anfiteatro	spa	
foreign	amphithéâtre	fra	
entry	Anfractuosidad	0	
orth	Anfractuosidad	spa	
foreign	anfractuosité	fra	
entry	Angiectasia	0	
orth	Angiectasia	spa	
foreign	angiectasie	fra	
entry	Angina	0	
orth	Angina	spa	
foreign	angine	fra	
entry	Anginoso	0	
orth	Anginoso	spa	
foreign	d’angine	fra	
entry	Angiocarpo	0	
orth	Angiocarpo	spa	
foreign	angiocarpe	fra	
entry	Angioleucitis	0	
orth	Angioleucitis	spa	
foreign	angioleucite	fra	
entry	Angiologia	0	
orth	Angiologia	spa	
foreign	angiologie	fra	
entry	Angiosporo	0	
orth	Angiosporo	spa	
foreign	angiospore	fra	
entry	Angiotenieo	0	
orth	Angiotenieo	spa	
foreign	angiolénique	fra	
entry	Angiotomia	0	
orth	Angiotomia	spa	
foreign	angiotomie	fra	
entry	Angular	0	
orth	Angular	spa	
foreign	angulaire	fra	
entry	Angulo	0	
orth	Angulo	spa	
foreign	angle	fra	
pb	1811	1825	
entry	Angulo facial	0	
orth	Angulo facial	spa	
foreign	angle facial	fra	
entry	Angustia	0	
orth	Angustia	spa	
foreign	angoisse	fra	
entry	Anhelacion	0	
orth	Anhelacion	spa	
foreign	dyspnée	fra	
entry	Anheloso	0	
orth	Anheloso	spa	
foreign	essoufflé	fra	
entry	Anhelito	0	
orth	Anhelito	spa	
foreign	respiration	fra	
foreign	soupir	fra	
entry	Anillado	0	
orth	Anillado	spa	
foreign	annelé	fra	
entry	Anillo	0	
orth	Anillo	spa	
foreign	anneau	fra	
entry	Animalidad	0	
orth	Animalidad	spa	
foreign	animalité	fra	
entry	Animalillo	0	
orth	Animalillo	spa	
foreign	animalcule	fra	
entry	Animalizacion	0	
orth	Animalizacion	spa	
foreign	animalisation	fra	
entry	Animismo	0	
orth	Animismo	spa	
foreign	animisme	fra	
entry	Ano	0	
orth	Ano	spa	
foreign	anus	fra	
entry	Anodino	0	
orth	Anodino	spa	
foreign	anodin	fra	
entry	Anomalia	0	
orth	Anomalia	spa	
foreign	anomalie	fra	
entry	Anomale	0	
orth	Anomale	spa	
foreign	anomal	fra	
entry	Anonimo	0	
orth	Anonimo	spa	
foreign	anonyme	fra	
entry	Anorexia	0	
orth	Anorexia	spa	
foreign	anorexie	fra	
