object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
foreign	antiphlogistique	fra	
entry	Antiseptic	0	
orth	Antiseptic	eng	
foreign	antiseptique	fra	
entry	Antispasmodic	0	
orth	Antispasmodic	eng	
foreign	antispasmodique	fra	
entry	Antivenereal	0	
orth	Antivenereal	eng	
foreign	antivénérien	fra	
entry	Anxiety	0	
orth	Anxiety	eng	
foreign	anxiété	fra	
entry	Apathy	0	
orth	Apathy	eng	
foreign	apathie	fra	
entry	Aperient	0	
orth	Aperient	eng	
foreign	apéritif	fra	
entry	Aphrodisiac	0	
orth	Aphrodisiac	eng	
foreign	aphrodisiaque	fra	
entry	Apoplectic	0	
orth	Apoplectic	eng	
foreign	apoplectique	fra	
entry	Apoplectic cell	0	
orth	Apoplectic cell	eng	
foreign	foyer apoplectique	fra	
entry	Apoplexy	0	
orth	Apoplexy	eng	
foreign	apoplexie	fra	
entry	Apothecary	0	
orth	Apothecary	eng	
foreign	pharmacien	fra	
entry	Apyretic	0	
orth	Apyretic	eng	
foreign	apyrétique	fra	
entry	Aqueous humour	0	
orth	Aqueous humour	eng	
foreign	humeur aqueuse	fra	
entry	Arachnoid	0	
orth	Arachnoid	eng	
foreign	arachnoïde	fra	
entry	Areometer	0	
orth	Areometer	eng	
foreign	aréomètre	fra	
entry	Arm	0	
orth	Arm	eng	
foreign	bras	fra	
entry	Aromatic	0	
orth	Aromatic	eng	
foreign	aromatique	fra	
entry	Arsenic	0	
orth	Arsenic	eng	
foreign	arsenic	fra	
entry	Arsenious acid	0	
orth	Arsenious acid	eng	
foreign	acide arsénieux	fra	
entry	Arterial	0	
orth	Arterial	eng	
foreign	artériel	fra	
entry	Arteriotomy	0	
orth	Arteriotomy	eng	
foreign	artériotomie	fra	
entry	Artery	0	
orth	Artery	eng	
foreign	artère	fra	
entry	Articular	0	
orth	Articular	eng	
foreign	articulaire	fra	
entry	Ascending	0	
orth	Ascending	eng	
foreign	montant	fra	
entry	Associated	0	
orth	Associated	eng	
foreign	associé	fra	
entry	Asthenic	0	
orth	Asthenic	eng	
foreign	asthénique	fra	
entry	Atavism	0	
orth	Atavism	eng	
foreign	atavisme	fra	
