object			
volume	00216x02	James Diderot & al.	{date}
pb	1	0003	
entry	Angina	28	
orth	Angina	lat	
pb	3	0004	
pb	5	0005	
pb	7	0006	
pb	9	0007	
pb	11	0008	
pb	13	0009	
pb	15	0010	
pb	17	0011	
pb	19	0012	
pb	21	0013	
pb	23	0014	
pb	25	0015	
pb	27	0016	
pb	29	0017	
pb	31	0018	
pb	33	0019	
pb	35	0020	
pb	37	0021	
pb	39	0022	
pb	41	0023	
pb	43	0024	
pb	45	0025	
pb	47	0026	
pb	49	0027	
pb	51	0028	
pb	53	0029	
pb	55	0030	
pb	57	0031	
entry	Angiospermos	0	
orth	Angiospermos	lat	
entry	Anglicus sudor	0	
orth	Anglicus sudor	lat	
entry	Angolam	0	
orth	Angolam	lat	
entry	Angor	0	
orth	Angor	lat	
entry	Angos	0	
orth	Angos	lat	
entry	Angsana	0	
orth	Angsana	lat	
entry	Anguilla	1	
orth	Anguilla	lat	
pb	59	0032	
entry	Anguis	0	
orth	Anguis	lat	
entry	Anguis æsculapii	0	
orth	Anguis æsculapii	lat	
entry	Anguium senecta	0	
orth	Anguium senecta	lat	
entry	Anguli oculi	0	
orth	Anguli oculi	lat	
entry	Anguria	0	
orth	Anguria	lat	
entry	Angustia	0	
orth	Angustia	lat	
entry	Anhaldinum	0	
orth	Anhaldinum	lat	
entry	Anhaltina remedia	0	
orth	Anhaltina remedia	lat	
entry	Anhaltina	0	
orth	Anhaltina	lat	
entry	Anhelatio, Anhelitus	0	
orth	Anhelatio	lat	
orth	Anhelitus	lat	
entry	Anhima	1	
orth	Anhima	lat	
pb	61	0033	
entry	Anhuiba	0	
orth	Anhuiba	lat	
entry	Aniada	0	
orth	Aniada	lat	
entry	Aniaday	0	
orth	Aniaday	lat	
entry	Aniadon, Aniadum, Aniadus	0	
orth	Aniadon	lat	
orth	Aniadum	lat	
orth	Aniadus	lat	
entry	Aniceton	0	
orth	Aniceton	lat	
entry	Anidros	0	
orth	Anidros	lat	
entry	Anidrosis	0	
orth	Anidrosis	lat	
entry	Anidroti	0	
orth	Anidroti	lat	
entry	Anil	1	
orth	Anil	lat	
pb	63	0034	
entry	Animal	1	
orth	Animal	lat	
pb	65	0035	
entry	Animal bezoarticum orientale	0	
orth	Animal bezoarticum orientale	lat	
entry	Animal bezoarticum occidentale	0	
orth	Animal bezoarticum occidentale	lat	
entry	Animal moschiferum	0	
orth	Animal moschiferum	lat	
entry	Animal zibethicum	0	
orth	Animal zibethicum	lat	
entry	Animalcula	5	
orth	Animalcula	lat	
pb	67	0036	
pb	69	0037	
pb	71	0038	
pb	73	0039	
pb	75	0040	
entry	Animalis facultas, Virtus	0	
orth	Animalis facultas	lat	
orth	Virtus	lat	
entry	Animalis motus	0	
orth	Animalis motus	lat	
entry	Animalis spiritus	0	
orth	Animalis spiritus	lat	
entry	Animatio	0	
orth	Animatio	lat	
entry	Anime	0	
orth	Anime	lat	
entry	Animellæ	0	
orth	Animellæ	lat	
entry	Animi, Animæ deliquium	0	
orth	Animi	lat	
orth	Animæ deliquium	lat	
entry	Animi pathemata	0	
orth	Animi pathemata	lat	
entry	Animus	3	
orth	Animus	lat	
pb	77	0041	
pb	79	0042	
pb	81	0043	
entry	Aninga-iba	0	
orth	Aninga-iba	lat	
entry	Aninga peri	0	
orth	Aninga peri	lat	
entry	Aniscalptor	0	
orth	Aniscalptor	lat	
entry	Anisos	0	
orth	Anisos	lat	
