object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
orth	Adamas	lat	
foreign	aimant	fra	
entry	Adductio	0	
orth	Adductio	lat	
foreign	adduction	fra	
entry	Adductor	0	
orth	Adductor	lat	
foreign	adducteur	fra	
entry	Adenographia	0	
orth	Adenographia	lat	
foreign	adénographie	fra	
entry	Adenoides	0	
orth	Adenoides	lat	
foreign	adénoïde	fra	
entry	Adenologia	0	
orth	Adenologia	lat	
foreign	adénologie	fra	
entry	Adeps	0	
orth	Adeps	lat	
foreign	graisse	fra	
entry	Adiantum	0	
orth	Adiantum	lat	
foreign	adiante	fra	
entry	Adiapneustia	0	
orth	Adiapneustia	lat	
foreign	adiapneustie	fra	
entry	Adiposus	0	
orth	Adiposus	lat	
foreign	adipeux	fra	
foreign	graisseux	fra	
entry	Adipsia	0	
orth	Adipsia	lat	
foreign	adipsie	fra	
entry	Adjutorium os	0	
orth	Adjutorium os	lat	
foreign	os adjuteur	fra	
foreign	humérus	fra	
entry	Adnata tunica	0	
orth	Adnata tunica	lat	
foreign	la conjonctive	fra	
entry	Adolescentia	0	
orth	Adolescentia	lat	
foreign	adolescence	fra	
entry	Ad pondus omnium	0	
orth	Ad pondus omnium	lat	
entry	Adstrictio	0	
orth	Adstrictio	lat	
foreign	astriction	fra	
entry	Adstringens	0	
orth	Adstringens	lat	
foreign	astringent	fra	
entry	Adulteratio	0	
orth	Adulteratio	lat	
foreign	sophistication	fra	
entry	Adultus	0	
orth	Adultus	lat	
foreign	adulte	fra	
entry	Adustio	0	
orth	Adustio	lat	
foreign	adustion	fra	
foreign	brûlure	fra	
entry	Adynamia	0	
orth	Adynamia	lat	
foreign	adynamie	fra	
entry	Ædœographia	0	
orth	Ædœographia	lat	
foreign	œdœographie	fra	
entry	Ædœologia	0	
orth	Ædœologia	lat	
foreign	œdœologie	fra	
entry	Æger	0	
orth	Æger	lat	
foreign	malade	fra	
entry	Ægias, ægis	0	
orth	Ægias	lat	
orth	ægis	lat	
foreign	taie	fra	
entry	Ægilops	0	
orth	Ægilops	lat	
foreign	œgilops	fra	
entry	Ægoceros	0	
orth	Ægoceros	lat	
foreign	fenugreç	fra	
entry	Ægritudo	0	
orth	Ægritudo	lat	
foreign	maladie	fra	
entry	Ægrotatio	0	
orth	Ægrotatio	lat	
foreign	maladie	fra	
foreign	indisposition	fra	
entry	Ægyptiacum unguentum	0	
orth	Ægyptiacum unguentum	lat	
foreign	onguent égyptiac	fra	
entry	Æquivoca generatio	0	
orth	Æquivoca generatio	lat	
foreign	génération équivoque	fra	
entry	Aer	0	
orth	Aer	lat	
foreign	air	fra	
entry	Aeromeli	0	
orth	Aeromeli	lat	
entry	Aerophobia	0	
orth	Aerophobia	lat	
foreign	aérophobie	fra	
entry	Ærugineus, æruginosus	0	
orth	Ærugineus	lat	
orth	æruginosus	lat	
foreign	érugineux	fra	
entry	Ærugo	0	
orth	Ærugo	lat	
foreign	rouille de cuivre	fra	
foreign	verdet	fra	
foreign	V. cuivre	fra	
pb	1708	1722	
entry	Æsculus	0	
orth	Æsculus	lat	
foreign	sorte de chêne	fra	
entry	Æstheterium	0	
orth	Æstheterium	lat	
foreign	sens	fra	
foreign	sensorium	fra	
entry	Æstivalis	0	
orth	Æstivalis	lat	
foreign	d’été	fra	
entry	Æstuatio	0	
orth	Æstuatio	lat	
foreign	effervescence	fra	
entry	Æstus	0	
orth	Æstus	lat	
foreign	grande chaleur	fra	
entry	Ætas	0	
orth	Ætas	lat	
foreign	âge	fra	
entry	Æther	0	
orth	Æther	lat	
foreign	éther	fra	
entry	Æthiops	0	
orth	Æthiops	lat	
foreign	poudre noi^e	fra	
entry	Æthusa	0	
orth	Æthusa	lat	
foreign	petite ciguë	fra	
entry	Ætiologia	0	
orth	Ætiologia	lat	
foreign	étiologie	fra	
entry	Aetites	0	
orth	Aetites	lat	
foreign	aélite	fra	
entry	Affectio, affectus	0	
orth	Affectio	lat	
orth	affectus	lat	
foreign	affection	fra	
entry	Affinitas	0	
orth	Affinitas	lat	
foreign	affinité	fra	
entry	Afflictio	0	
orth	Afflictio	lat	
foreign	abattement	fra	
entry	Affusio	0	
orth	Affusio	lat	
foreign	affusion	fra	
entry	Agalactia	0	
orth	Agalactia	lat	
foreign	agalactie	fra	
entry	Agamia	0	
orth	Agamia	lat	
foreign	agamie	fra	
entry	Agaricum	0	
orth	Agaricum	lat	
foreign	agaric	fra	
entry	Agenesis	0	
orth	Agenesis	lat	
foreign	agénésie	fra	
entry	Agerasia	0	
orth	Agerasia	lat	
foreign	agérasie	fra	
entry	Ageustia	0	
orth	Ageustia	lat	
foreign	ageustie	fra	
entry	Agglutinans	0	
orth	Agglutinans	lat	
foreign	agglutinant	fra	
entry	Agnina tunica	0	
orth	Agnina tunica	lat	
foreign	amnios	fra	
entry	Agnus castus	0	
orth	Agnus castus	lat	
foreign	agnus-castus	fra	
entry	Agonia	0	
orth	Agonia	lat	
foreign	agonie	fra	
foreign	angoisse	fra	
foreign	stérilité	fra	
entry	Agonus	0	
orth	Agonus	lat	
foreign	stérile	fra	
entry	Agrifolium, aquifolium	0	
orth	Agrifolium	lat	
orth	aquifolium	spa	
foreign	houx	fra	
entry	Agrimonia	0	
orth	Agrimonia	lat	
foreign	aigremoine	fra	
entry	Agrippa	0	
orth	Agrippa	lat	
entry	Agrostis	0	
orth	Agrostis	lat	
foreign	gramen	fra	
entry	Agrypnia	0	
orth	Agrypnia	lat	
foreign	insomnie	fra	
entry	Agrypnocoma	0	
orth	Agrypnocoma	lat	
foreign	coma vigil	fra	
entry	Agyrta	0	
orth	Agyrta	lat	
foreign	charlatan	fra	
entry	Ahenum	0	
orth	Ahenum	lat	
foreign	chaudron	fra	
entry	Aïpathia	0	
orth	Aïpathia	lat	
foreign	affection continue	fra	
entry	Aïzoon	0	
orth	Aïzoon	lat	
foreign	joubarbe	fra	
entry	Ala	0	
orth	Ala	lat	
foreign	aisselle	fra	
foreign	aile	fra	
entry	Alabastrum, alabastrites	0	
orth	Alabastrum	lat	
orth	alabastrites	lat	
foreign	albâtre	fra	
entry	Alares musculi	0	
orth	Alares musculi	lat	
foreign	ptéry gordiens	fra	
entry	Alaria ossa	0	
orth	Alaria ossa	lat	
foreign	apophyses ptéry g dides	fra	
entry	Alatus	0	
orth	Alatus	lat	
foreign	ailé	fra	
entry	Albugineus	0	
orth	Albugineus	lat	
foreign	albugine	fra	
entry	Album canis	0	
orth	Album canis	lat	
foreign	excrément de chien	fra	
entry	Album oculi	0	
orth	Album oculi	lat	
foreign	blanc de l’œil	fra	
entry	Album Rhasis	0	
orth	Album Rhasis	lat	
foreign	blanc de Rhazès	fra	
foreign	sorte d’onguent	fra	
entry	Albumen	0	
orth	Albumen	lat	
foreign	albumine	fra	
entry	Alburnum	0	
orth	Alburnum	lat	
foreign	aubier	fra	
entry	Alcea	0	
orth	Alcea	lat	
foreign	dlcée	fra	
entry	Alectorius lapis	0	
orth	Alectorius lapis	lat	
entry	Alectorolophis	0	
orth	Alectorolophis	lat	
foreign	crête de coq	fra	
entry	Alexeterius	0	
orth	Alexeterius	lat	
foreign	alexétère	fra	
entry	Alexicacum	0	
orth	Alexicacum	lat	
foreign	amulette	fra	
entry	Alexipharmacus	0	
orth	Alexipharmacus	lat	
foreign	alexipharmaque	fra	
entry	Alexipyreticus, alexipyretus	0	
orth	Alexipyreticus	lat	
orth	alexipyretus	lat	
foreign	alexipyrétique	fra	
entry	Aiga	0	
orth	Aiga	lat	
foreign	aigue	fra	
entry	Algida febris	0	
orth	Algida febris	lat	
foreign	fièvre algide	fra	
entry	Algor	0	
orth	Algor	lat	
foreign	sentiment de froid	fra	
entry	Alibilis	0	
orth	Alibilis	lat	
foreign	alibile	fra	
foreign	nutritif	fra	
entry	Alica	0	
orth	Alica	lat	
foreign	sorte de gruau	fra	
entry	Alienatio mentis^	0	
orth	Alienatio mentis^	lat	
foreign	aliénation	fra	
foreign	manie	fra	
entry	Aliformes musculi	0	
orth	Aliformes musculi	lat	
foreign	ptéry goïdiens	fra	
entry	Alimentum	0	
orth	Alimentum	lat	
foreign	aliment	fra	
entry	Alindesis	0	
orth	Alindesis	lat	
entry	Alipta	0	
orth	Alipta	lat	
foreign	celui qui fait des onctions	fra	
entry	Alisma	0	
orth	Alisma	lat	
foreign	flûteau	fra	
foreign	plante	fra	
entry	Alites	0	
orth	Alites	lat	
foreign	oiseaux	fra	
entry	Allantois	0	
orth	Allantois	lat	
foreign	allantoïde	fra	
entry	Allium	0	
orth	Allium	lat	
foreign	ail	fra	
entry	Allœoticum medicamentum	0	
orth	Allœoticum medicamentum	lat	
foreign	remède altérant	fra	
entry	Allotriophagia	0	
orth	Allotriophagia	lat	
foreign	allotriophagie	fra	
entry	Alnus	0	
orth	Alnus	lat	
foreign	aune	fra	
foreign	arbre	fra	
entry	Aloe	0	
orth	Aloe	lat	
foreign	aloès	fra	
entry	Alogotrophia	0	
orth	Alogotrophia	lat	
foreign	alogotrophie	fra	
entry	Alopecia	0	
orth	Alopecia	lat	
foreign	alopécie	fra	
entry	Alosa, alausa	0	
orth	Alosa	lat	
orth	alausa	lat	
