object			
volume	07399	Castelli	1746
foreign	στύψις	grc	
foreign	Astringent	fra	
foreign	Etreinte	fra	
foreign	Stringente	ita	
foreign	Strettura	ita	
entry	Adustio	0	
orth	Adustio	lat	
foreign	Aufume	ara	
foreign	Alficume	ara	
foreign	Charchür	heb	
foreign	Mochdah	heb	
foreign	ἐπίκαυμα	grc	
foreign	Brûlure	fra	
foreign	Brusciamento	ita	
entry	Æger, Ægrotus	0	
orth	Æger	lat	
orth	Ægrotus	lat	
foreign	Alcuttab	ara	
foreign	Alil	ara	
foreign	Alem	ara	
foreign	Alaleme	ara	
foreign	Cheri	heb	
foreign	Anusch	heb	
foreign	νοσερὸς	grc	
foreign	νοσώδης	grc	
foreign	Malade	fra	
foreign	Ammalato	ita	
foreign	Infermo	ita	
entry	Ægilops	0	
orth	Ægilops	lat	
foreign	Garabe	ara	
foreign	Hascilus	ara	
foreign	αἰγίλωψ	grc	
foreign	Egilope	ita	
entry	Ægritudo	0	
orth	Ægritudo	lat	
clique	MORBUS		
entry	Aer	0	
orth	Aer	lat	
foreign	Hevah	ara	
foreign	Nasim	ara	
foreign	Schachak	heb	
foreign	Ripion	heb	
foreign	ἀὴρ	grc	
foreign	Air	fra	
foreign	Aëre	ita	
foreign	Aria	ita	
entry	Ærugo	0	
orth	Ærugo	lat	
foreign	Zenziar	ara	
foreign	Ziniar	ara	
foreign	Nechustah	heb	
foreign	Rouillure	fra	
foreign	Ruggine	ita	
entry	Æs. cuprum	0	
orth	Æs. cuprum	lat	
foreign	Ahas	ara	
foreign	Achabruse	ara	
foreign	Nechaseth	heb	
foreign	χαλκὸς	grc	
foreign	Cuivre	fra	
foreign	Airain	fra	
foreign	Rame	ita	
entry	Æs ustum	0	
orth	Æs ustum	lat	
foreign	Rusustech	ara	
foreign	Nucham mucharak	ara	
foreign	χαλκὸς κεκαυμένος	grc	
foreign	Cuivre brûlé	fra	
foreign	Rame bracciato	ita	
entry	Æstas	0	
orth	Æstas	lat	
foreign	Kaid	ara	
foreign	Kaiz	heb	
foreign	Chom	heb	
foreign	θέρος	grc	
foreign	Eté	fra	
foreign	Estate	ita	
entry	Æstus	0	
orth	Æstus	lat	
foreign	Umed	ara	
foreign	Hur	ara	
foreign	Chom	heb	
foreign	καῦμα	grc	
foreign	Ardeur	fra	
foreign	Ferveur	fra	
foreign	Ardore	ita	
foreign	Fervore	ita	
entry	Ætas	0	
orth	Ætas	lat	
foreign	San	ara	
foreign	Asnan	ara	
foreign	Dor	heb	
foreign	Cheled	heb	
foreign	ἡλικία	grc	
foreign	Age	fra	
foreign	Età	ita	
entry	Affectio, Affectus	0	
orth	Affectio	lat	
orth	Affectus	lat	
foreign	Adib	ara	
foreign	Haschachah	heb	
foreign	Zeavah	heb	
foreign	πάθος	grc	
foreign	Passion	fra	
foreign	Disposition	fra	
foreign	Accident	fra	
foreign	Affetto	ita	
foreign	Affezzione	ita	
entry	Agallochum	0	
orth	Agallochum	lat	
foreign	Agalugen	ara	
foreign	Agalugi	ara	
foreign	ἀγάλλοχον	grc	
foreign	Agallocho	ita	
entry	Agaricum	0	
orth	Agaricum	lat	
foreign	Garichun	ara	
foreign	ἀγαρικὸν	grc	
foreign	Agaric	fra	
foreign	Agarico	ita	
entry	Agitatio	0	
orth	Agitatio	lat	
foreign	Tabichir	ara	
foreign	Dagdaga	ara	
foreign	Tirjah	heb	
foreign	Zeadah	heb	
foreign	δίνησις	grc	
foreign	Agitation	fra	
foreign	Mouvement	fra	
foreign	Commozione	ita	
foreign	Movimento	ita	
entry	Ala, Axilla	0	
orth	Ala	lat	
orth	Axilla	lat	
foreign	Gienaha	ara	
foreign	Ibr	ara	
foreign	Ganah	ara	
foreign	Eber	heb	
foreign	Abrah	heb	
foreign	Azil	heb	
foreign	μασχάλη	grc	
foreign	πτέρυξ	grc	
foreign	Aile	fra	
foreign	Aisselle	fra	
foreign	Ala	ita	
foreign	Ascella	ita	
entry	Alabastrum	0	
orth	Alabastrum	lat	
foreign	Karurah	ara	
foreign	Schetopha	heb	
foreign	ἀλάβαστρος	grc	
foreign	Albâtre	fra	
foreign	Alabastro	ita	
entry	Albugo	0	
orth	Albugo	lat	
foreign	Coloma	ara	
foreign	λεύκωμα	grc	
pb	764	0772	
entry	Albumen	0	
orth	Albumen	lat	
foreign	Buini Zenbach	ara	
foreign	Rachich	ara	
foreign	Chalbaz	heb	
foreign	λευκὸν ᾠοῦ	grc	
foreign	Blanc	fra	
foreign	Albume	ita	
foreign	Chiaro	ita	
entry	Albus, Albedo	0	
orth	Albus	lat	
orth	Albedo	lat	
foreign	Abiad	ara	
foreign	Tabarzet	ara	
foreign	Caldicum	ara	
foreign	Laban	heb	
foreign	λευκὸς	grc	
foreign	λευκότης	grc	
foreign	Blanc	fra	
foreign	Blancheur	fra	
foreign	Bianco	ita	
foreign	Bianchezza	ita	
entry	Alembicus	0	
orth	Alembicus	lat	
foreign	Alnabic	ara	
foreign	Allutel	ara	
foreign	Catara	ara	
foreign	Alembic	fra	
foreign	Alembico	ita	
entry	Alimentum	0	
orth	Alimentum	lat	
foreign	Cut	ara	
foreign	Machal	ara	
foreign	Mechel	ara	
foreign	Rizq	ara	
foreign	Uchel	heb	
foreign	Mazon	heb	
foreign	τροφὴ	grc	
foreign	Nourriture	fra	
foreign	Nutrimento	ita	
entry	Aliptes	0	
orth	Aliptes	lat	
foreign	Dahin	ara	
foreign	Dahin	heb	
foreign	ἀλείπτης	grc	
entry	Aloe	0	
orth	Aloe	lat	
foreign	Sabat	ara	
foreign	Saber	ara	
foreign	Ahaloth	heb	
foreign	ἀλόη	grc	
foreign	Aloë	fra	
foreign	Aloe	ita	
entry	Alopecia	0	
orth	Alopecia	lat	
foreign	Altigiaris	ara	
foreign	Tyria	ara	
foreign	Neschirah	heb	
foreign	ἀλωπεκία	grc	
foreign	Alopécie	fra	
foreign	Alopecia	ita	
entry	Alphus	0	
orth	Alphus	lat	
foreign	Guada	ara	
foreign	Grada	ara	
foreign	ἀλφὸς	grc	
entry	Alteratio	0	
orth	Alteratio	lat	
foreign	Tahvil	ara	
foreign	Hischtannuth	heb	
foreign	ἀλλοίωσις	grc	
foreign	Altération	fra	
foreign	Alterazione	ita	
entry	Altor, Altrix	0	
orth	Altor	lat	
orth	Altrix	lat	
foreign	Razzaq	ara	
foreign	Omeneth	heb	
foreign	τρόφιμος	grc	
foreign	Nourrissier	fra	
foreign	Nourrisse	fra	
foreign	Nutritore	ita	
foreign	Nutrice	ita	
entry	Altus	0	
orth	Altus	lat	
foreign	Simmah	ara	
foreign	Gabhah	heb	
foreign	Gebhah	heb	
foreign	ὑψηλὸς	grc	
foreign	Haut	fra	
foreign	Sublime	fra	
foreign	Alto	ita	
entry	Alumen	0	
orth	Alumen	lat	
foreign	Alume	ara	
foreign	Altalch	ara	
foreign	Cales	ara	
foreign	Seba	ara	
foreign	Alum	heb	
foreign	Zaripha	heb	
foreign	στυπτηρία	grc	
foreign	Alun	fra	
foreign	Alume	ita	
entry	Amarus, Amaritudo	0	
orth	Amarus	lat	
orth	Amaritudo	lat	
foreign	Marr	ara	
foreign	Marir	ara	
foreign	Mar	heb	
foreign	Memer	heb	
foreign	Memiroth	heb	
foreign	πικρὸς	grc	
foreign	πικρότης	grc	
foreign	Amer	fra	
foreign	Amertume	fra	
foreign	Amaro	ita	
foreign	Amaritudine	ita	
entry	Ambra	0	
orth	Ambra	lat	
foreign	Hanbar	ara	
foreign	Caphat	heb	
foreign	ἤλεκτρον	grc	
foreign	Ambre	fra	
foreign	Ambra	ita	
entry	Ambulatio	0	
orth	Ambulatio	lat	
foreign	Gaib	ara	
foreign	Meschia	ara	
foreign	Hica	heb	
foreign	Helech	heb	
foreign	Halicha	heb	
foreign	βάδισις	grc	
foreign	Allée	fra	
foreign	Promenade	fra	
foreign	Spasseggiamento	ita	
entry	Ambustio	0	
orth	Ambustio	lat	
foreign	Ahtarac	ara	
foreign	Jikedah	heb	
foreign	Serephah	heb	
foreign	πυρίκαυμα	grc	
foreign	πυρίκαυστος	grc	
foreign	Brûlure	fra	
foreign	Embrasement	fra	
foreign	Scottatura	ita	
foreign	Abbrusciamento	ita	
entry	Amens, Amentia	0	
orth	Amens	lat	
orth	Amentia	lat	
foreign	Humc	ara	
foreign	Ahmak	ara	
foreign	Schigganon	heb	
foreign	Meschüggah	heb	
foreign	ἄνοια	grc	
foreign	ἄνους	grc	
foreign	Folie	fra	
foreign	Fou	fra	
foreign	Forcénement	fra	
foreign	Forcené	fra	
foreign	Sot	fra	
foreign	Pazzia	ita	
foreign	Pazzo	ita	
entry	Aμmoνiacuμ	0	
orth	Aμmoνiacuμ	lat	
