object			
orth	Acrotériasme		
foreign	acroteTIasmÙs	lat	
entry	Acte	0	
orth	Acte		
foreign	actus	lat	
entry	Actif	0	
orth	Actif		
foreign	activus	lat	
entry	Actinies	0	
orth	Actinies		
foreign	actiniœ	lat	
clique	Zoanthes		
entry	Action	0	
orth	Action		
foreign	actio	lat	
entry	Actuel	0	
orth	Actuel		
foreign	actualis	lat	
entry	Acuminé	0	
orth	Acuminé		
foreign	acurninatus	lat	
entry	Acutanglé	0	
orth	Acutanglé		
foreign	acuius	lat	
foreign	angulus	lat	
entry	Acutangulaire	0	
orth	Acutangulaire		
clique	Acutanglé		
entry	Acutangulé	0	
orth	Acutangulé		
foreign	aCUtaJlgUlatns	lat	
entry	Adapter	0	
orth	Adapter		
foreign	adaptare	lat	
entry	Adducteur	0	
orth	Adducteur		
foreign	adductor	lat	
entry	Adduction	0	
orth	Adduction		
foreign	adductio	lat	
entry	Adénographie	0	
orth	Adénographie		
entry	Adénoïde	0	
orth	Adénoïde		
entry	Adénologie	0	
orth	Adénologie		
foreign	adenologia	lat	
entry	Adéno-méningée	0	
orth	Adéno-méningée		
foreign	^febris adeno-Ineningea	lat	
entry	Adéno-nerveuse	0	
orth	Adéno-nerveuse		
foreign	febris adeno - IIervosa	lat	
clique	Peste		
entry	Adénotomie	0	
orth	Adénotomie		
foreign	adenotomia	lat	
entry	Adéphagie, Addéphagie	1	
orth	Adéphagie		
orth	Addéphagie		
foreign	addephagia	lat	
foreign	adephagia	lat	
pb	7		
entry	Adepte	0	
orth	Adepte		
foreign	adeptus	lat	
clique	Alchimie		
entry	Adhérence	0	
orth	Adhérence		
foreign	adhœrentia	lat	
entry	Adhésion	0	
orth	Adhésion		
foreign	adhœsio	lat	
entry	Adiante	0	
orth	Adiante		
foreign	adiantum	lat	
entry	Adiaphore	0	
orth	Adiaphore		
foreign	adiaphorus	lat	
entry	Adiapneustie	0	
orth	Adiapneustie		
foreign	adiapneusiia	lat	
entry	Adiarrhée	0	
orth	Adiarrhée		
foreign	adiarrhœa	lat	
entry	Adipeux	0	
orth	Adipeux		
foreign	adiposus	lat	
entry	Adipocire	0	
orth	Adipocire		
foreign	adeps	lat	
entry	Adipsie	0	
orth	Adipsie		
foreign	adipsia	lat	
entry	Adolescence	0	
orth	Adolescence		
foreign	adolescetltia	lat	
entry	Adolescent	0	
orth	Adolescent		
foreign	adolescens	lat	
entry	Adné	0	
orth	Adné		
foreign	adnatus	lat	
entry	Adragant, Tragacanthe	0	
orth	Adragant		
orth	Tragacanthe		
clique	Tragacanthe		
entry	Adulte	0	
orth	Adulte		
foreign	adultus	lat	
entry	Adultération	0	
orth	Adultération		
foreign	adulteratio	lat	
entry	Aduste	0	
orth	Aduste		
foreign	adustus	lat	
entry	Adustion	0	
orth	Adustion		
foreign	adustio	lat	
entry	Adynamie	0	
orth	Adynamie		
foreign	adynamia	lat	
entry	Adynamique	0	
orth	Adynamique		
foreign	adynamicus	lat	
entry	Ædœagraphie	0	
orth	Ædœagraphie		
foreign	aedœagtaphia	lat	
entry	Ædœalogie	0	
orth	Ædœalogie		
foreign	aedœalogia	lat	
entry	Ædœatomie	1	
orth	Ædœatomie		
foreign	aedf»atomiA	lat	
pb	8		
entry	Ægilops	0	
orth	Ægilops		
entry	Aérer	0	
orth	Aérer		
foreign	aer	lat	
foreign	aeris	lat	
entry	Aérien	0	
orth	Aérien		
foreign	ae'rius	lat	
entry	Aérification	0	
orth	Aérification		
foreign	aërificatio	lat	
foreign	d'aër	lat	
entry	Aériforme	0	
orth	Aériforme		
foreign	acrlformis	lat	
entry	Aérographie	0	
orth	Aérographie		
foreign	aerographia	lat	
entry	Aérologie	0	
orth	Aérologie		
foreign	aerologia	lat	
entry	Aéromètre	0	
orth	Aéromètre		
foreign	aërometrum	lat	
entry	Aérométrie	0	
orth	Aérométrie		
foreign	aerornetria	lat	
entry	Aéronaute	0	
orth	Aéronaute		
foreign	aeronauta	lat	
entry	Aérophobe	0	
orth	Aérophobe		
foreign	aërophobus	lat	
entry	Aérophobie	0	
orth	Aérophobie		
foreign	aërophobia	lat	
entry	Aérostat	0	
orth	Aérostat		
entry	Aérostatique	0	
orth	Aérostatique		
foreign	Mertte	lat	
entry	Aétite	0	
orth	Aétite		
foreign	aetites	lat	
entry	Affection	0	
orth	Affection		
foreign	affectio	lat	
foreign	affectus	lat	
entry	Affinage	0	
orth	Affinage		
entry	Affinité	0	
orth	Affinité		
foreign	affinitas	lat	
entry	Affinoir	0	
orth	Affinoir		
entry	Affluence	0	
orth	Affluence		
foreign	affluentia	lat	
foreign	cou-	lat	
entry	Affluer	0	
orth	Affluer		
foreign	ajfiuere	lat	
entry	Afflux	0	
orth	Afflux		
foreign	affluxus	lat	
foreign	d’affluo9	lat	
entry	Affoiblissement	0	
orth	Affoiblissement		
foreign	debilitatio	lat	
entry	Affusion	0	
orth	Affusion		
foreign	affusio	lat	
entry	Agacement	0	
orth	Agacement		
foreign	hebetudo	lat	
foreign	irntatio	lat	
entry	Agacer	0	
orth	Agacer		
foreign	hebetare	lat	
foreign	irritare	lat	
entry	Agalactie	0	
orth	Agalactie		
foreign	agalactia	lat	
entry	Agame	1	
orth	Agame		
foreign	agamus	lat	
pb	9		
clique	Cryptogame		
entry	Agamie	0	
orth	Agamie		
foreign	agamia	lat	
clique	Cryptogamie		
entry	Agaric	0	
orth	Agaric		
foreign	agaricum	lat	
entry	Agate	0	
orth	Agate		
foreign	achates	lat	
entry	Age	0	
orth	Age		
foreign	œtas	lat	
entry	Agent	0	
orth	Agent		
foreign	agere	lat	
entry	Agéométrie	0	
orth	Agéométrie		
foreign	ageometria	lat	
entry	Agérasie	0	
orth	Agérasie		
foreign	agerasia	lat	
entry	Agérat	0	
orth	Agérat		
foreign	ageratum	lat	
entry	Agglutinant, Agglutinatif	0	
orth	Agglutinant		
orth	Agglutinatif		
foreign	glutinaIIs	lat	
entry	Agglutination	0	
orth	Agglutination		
foreign	agglutinatio	lat	
entry	Agglutiner	0	
orth	Agglutiner		
foreign	agglutinare	lat	
entry	Aggraver	0	
orth	Aggraver		
foreign	aggravare	lat	
entry	Aggrégation	0	
orth	Aggrégation		
foreign	aggregatio	lat	
entry	Aggrégées	0	
orth	Aggrégées		
foreign	fiores aggregati	lat	
entry	Agir	0	
orth	Agir		
foreign	agere	lat	
entry	Agissant	0	
orth	Agissant		
foreign	agensfiortiter	lat	
clique	Actif		
entry	Agitation	0	
orth	Agitation		
foreign	agitatio	lat	
entry	Agonie	0	
orth	Agonie		
foreign	agonia	lat	
entry	Agonostique	0	
orth	Agonostique		
foreign	agonosüca	lat	
entry	Agreste	0	
orth	Agreste		
foreign	acidus	lat	
foreign	acerbus	lat	
entry	Agriculture	0	
orth	Agriculture		
foreign	AgricUltura	lat	
entry	Agrie	0	
orth	Agrie		
foreign	agria	lat	
entry	Agriophage	0	
orth	Agriophage		
foreign	agriophagus	lat	
entry	Agronome	0	
orth	Agronome		
foreign	agronomus	lat	
entry	Agronomie	0	
orth	Agronomie		
foreign	agronomia	lat	
pb	10		
entry	Agrypnie	0	
orth	Agrypnie		
foreign	agrypnia	lat	
entry	Aigle	0	
orth	Aigle		
foreign	aquila	lat	
entry	Aigre	0	
orth	Aigre		
foreign	acerbus	lat	
entry	Aigre-doux	0	
orth	Aigre-doux		
foreign	suhacidits	lat	
entry	Aigrelet	0	
orth	Aigrelet		
foreign	acidulus	lat	
entry	Aigrette	0	
orth	Aigrette		
foreign	pappus	lat	
entry	Aigretté	0	
orth	Aigretté		
foreign	pappasus ;	lat	
entry	Aigreur	0	
orth	Aigreur		
foreign	acor	lat	
entry	Aigrir	0	
orth	Aigrir		
foreign	exulcerare	lat	
foreign	irriiare	lat	
foreign	exasperare	lat	
entry	Aigu	0	
orth	Aigu		
foreign	acutus	lat	
entry	Aiguillon	0	
orth	Aiguillon		
foreign	aculeus	lat	
entry	Aiguillonné	0	
orth	Aiguillonné		
foreign	aculeatus	lat	
entry	Aile	0	
orth	Aile		
foreign	ala	lat	
foreign	pinna	lat	
entry	Ailé	0	
orth	Ailé		
clique	pinnées		
