object			
volume	00216x03	James Diderot & al.	{date}
orth	Cascarilla	lat	
pb	61	0037	
entry	CASCHU	0	
orth	Caschu	lat	
entry	CASEUS	1	
orth	Caseus	lat	
pb	63	0038	
entry	CASIA	0	
orth	Casia	lat	
clique	Cassea		
entry	CASIBO	0	
orth	Casibo	lat	
entry	CASMINARIS, CASMUNAR	0	
orth	Casminaris	lat	
orth	Casmunar	lat	
clique	Casseum		
entry	CASSA	0	
orth	Cassa	lat	
entry	CASSALE	0	
orth	Cassale	lat	
entry	CASSAMUM	0	
orth	Cassamum	lat	
entry	CASSATUM	0	
orth	Cassatum	lat	
entry	CASSAVI	0	
orth	Cassavi	lat	
entry	CASSIA	4	
orth	Cassia	lat	
pb	65	0039	
pb	67	0040	
pb	69	0041	
pb	71	0042	
clique	Cinnamomum		
entry	CASSIBOR, CASSIDBOTT	0	
orth	Cassibor	lat	
orth	Cassidbott	lat	
entry	CASSIDA	0	
orth	Cassida	lat	
entry	CASSINE	1	
orth	Cassine	lat	
pb	73	0043	
entry	CASSITA	0	
orth	Cassita	lat	
clique	Alauda		
entry	CASSITEROS	0	
orth	Cassiteros	lat	
entry	CASSIUS	0	
orth	Cassius	lat	
entry	CASSOLETA	0	
orth	Cassoleta	lat	
entry	CASSOUVARIUS	0	
orth	Cassouvarius	lat	
entry	CASSUMMUNIAR	0	
orth	Cassummuniar	lat	
entry	CASSUTHA	0	
orth	Cassutha	lat	
clique	Cuscuta		
entry	CASSYMA	0	
orth	Cassyma	lat	
entry	CASTALTICUM	0	
orth	Castalticum	lat	
entry	CASTANEA	0	
orth	Castanea	lat	
entry	CASTANEA	1	
orth	Castanea	lat	
pb	75	0044	
entry	CASTOR	6	
orth	Castor	lat	
pb	77	0045	
pb	79	0046	
pb	81	0047	
pb	83	0048	
pb	85	0049	
pb	87	0050	
entry	CASTRATIO	2	
orth	Castratio	lat	
pb	89	0051	
pb	91	0052	
entry	CASTRENSIS	0	
orth	Castrensis	lat	
entry	CASUS	0	
orth	Casus	lat	
entry	CATABLEMA	0	
orth	Catablema	lat	
entry	CATACERASTICOS	0	
orth	Catacerasticos	lat	
entry	CATACHLOOS	0	
orth	Catachloos	lat	
entry	CATACHRESIS	0	
orth	Catachresis	lat	
clique	Abusus		
entry	CATACHRISTON	0	
orth	Catachriston	lat	
entry	CATACHYSIS	0	
orth	Catachysis	lat	
entry	CATACLASIS	0	
orth	Cataclasis	lat	
clique	Campylon		
entry	CATACLEIS	0	
orth	Catacleis	lat	
entry	CATACLINES	1	
orth	Cataclines	lat	
pb	93	0053	
entry	CATACLYSMA	0	
orth	Cataclysma	lat	
entry	CATACLYSMI	0	
orth	Cataclysmi	lat	
entry	CATACORES	0	
orth	Catacores	lat	
entry	CATÆONESIS	0	
orth	Catæonesis	lat	
entry	CATAGLYPHE	0	
orth	Cataglyphe	lat	
entry	CATAGMA	0	
orth	Catagma	lat	
entry	CATAGMATICA	0	
orth	Catagmatica	lat	
entry	CATAGOGE	0	
orth	Catagoge	lat	
entry	CATALENTIA	0	
orth	Catalentia	lat	
entry	CATALEPSIS	5	
orth	Catalepsis	lat	
pb	95	0054	
pb	97	0055	
pb	99	0056	
pb	101	0057	
clique	Acetum)car		
pb	103	0058	
entry	CATALOTICA	0	
orth	Catalotica	lat	
entry	CATALYSIS	0	
orth	Catalysis	lat	
entry	CATAMENIA	0	
orth	Catamenia	lat	
clique	Menses		
entry	CATAMOSAS	1	
orth	Catamosas	lat	
pb	105	0059	
entry	CATANANCE	0	
orth	Catanance	lat	
entry	CATANGELIE	0	
orth	Catangelie	lat	
clique	Cacangelia		
entry	CATANTIA	0	
orth	Catantia	lat	
entry	CATANTLEMA	0	
orth	Catantlema	lat	
entry	CATANTLESIS	0	
orth	Catantlesis	lat	
entry	CATAPASMA, CATAPASTUM, DIAPASMA, EMPASMA, SYMPASMA	0	
orth	Catapasma	lat	
orth	Catapastum	lat	
orth	Diapasma	lat	
orth	Empasma	lat	
orth	Sympasma	lat	
entry	CATAPASMUS	0	
orth	Catapasmus	lat	
entry	CATAPHORA	0	
orth	Cataphora	lat	
entry	CATASTUS	0	
orth	Catastus	lat	
clique	Achates		
entry	CATAPHRACTA	0	
orth	Cataphracta	lat	
entry	CATAPLASMA	1	
orth	Cataplasma	lat	
pb	107	0060	
entry	CATAPLEXIS	0	
orth	Cataplexis	lat	
entry	CATAPOSIS	0	
orth	Cataposis	lat	
entry	CATAPOTIUM	0	
orth	Catapotium	lat	
clique	Pilula		
entry	CATAPSYXIS	0	
orth	Catapsyxis	lat	
entry	CATAPTOSIS	1	
orth	Cataptosis	lat	
pb	109	0061	
entry	CATAPUTIA	0	
orth	Cataputia	lat	
clique	Ricinus		
entry	CATAPUTIA	0	
orth	Cataputia	lat	
clique	Lathyris		
entry	CATARACTA	16	
orth	Cataracta	lat	
pb	111	0062	
pb	113	0063	
pb	115	0064	
pb	117	0065	
pb	119	0066	
pb	121	0067	
pb	123	0068	
pb	125	0069	
pb	127	0070	
pb	129	0071	
pb	131	0072	
pb	133	0073	
clique	Pl. I.stg		
clique	Planche I. Figure		
pb	135	0074	
pb	137	0075	
pb	139	0076	
pb	141	0077	
entry	CATARIA	0	
orth	Cataria	lat	
entry	CATARRHECTICUS	0	
orth	Catarrhecticus	lat	
entry	CATARRHEUMA	0	
orth	Catarrheuma	lat	
entry	CATARRHEXIS	0	
orth	Catarrhexis	lat	
entry	CATARRHOECUS	0	
orth	Catarrhoecus	lat	
entry	CATARRHOPIA	0	
orth	Catarrhopia	lat	
entry	CATARRHUS	4	
orth	Catarrhus	lat	
pb	143	0078	
pb	145	0079	
pb	147	0080	
pb	149	0081	
entry	CATARTISMUS	0	
orth	Catartismus	lat	
entry	CATASARCA	0	
orth	Catasarca	lat	
entry	CATASCEUE	0	
orth	Catasceue	lat	
entry	CATASCHASMOS	0	
orth	Cataschasmos	lat	
entry	CATASEISIS	0	
orth	Cataseisis	lat	
entry	CATASTAGMOS	0	
orth	Catastagmos	lat	
entry	CATASTALAGMOS	0	
orth	Catastalagmos	lat	
entry	CASTASTALTICUS	0	
orth	Castastalticus	lat	
entry	CATASTASIS	0	
orth	Catastasis	lat	
entry	CATASTEMA	0	
orth	Catastema	lat	
entry	CATASTOLE	0	
orth	Catastole	lat	
entry	CATATASIS	0	
orth	Catatasis	lat	
entry	CATATRIPSIS	0	
orth	Catatripsis	lat	
entry	CATAUDESIS	0	
orth	Cataudesis	lat	
entry	CATAXA	0	
orth	Cataxa	lat	
entry	CATE	0	
orth	Cate	lat	
entry	CATECHESIS	0	
orth	Catechesis	lat	
entry	CATECHU	0	
orth	Catechu	lat	
entry	CATEIADION	0	
orth	Cateiadion	lat	
entry	CATELLUS	0	
orth	Catellus	lat	
clique	Camsp		
entry	CATHÆRESIS	0	
orth	Cathæresis	lat	
entry	CATHÆRETICA	1	
orth	Cathæretica	lat	
pb	151	0082	
clique	Corrodentia		
entry	CATHARMA	0	
orth	Catharma	lat	
entry	CATHARMOS	0	
orth	Catharmos	lat	
entry	CATHAROS	0	
orth	Catharos	lat	
entry	CATHARSIS	0	
orth	Catharsis	lat	
entry	CATHARTICA	17	
orth	Cathartica	lat	
pb	153	0083	
pb	155	0084	
pb	157	0085	
pb	159	0086	
pb	161	0087	
pb	163	0088	
pb	165	0089	
pb	167	0090	
pb	169	0091	
pb	171	0092	
pb	173	0093	
pb	175	0094	
pb	177	0095	
pb	179	0096	
pb	181	0097	
pb	183	0098	
pb	185	0099	
