object			
volume	37019	Capuron	1806
entry	Acuminatus	0	
orth	Acuminatus	lat	
foreign	acuminé	fra	
entry	Acutangulatus	0	
orth	Acutangulatus	lat	
foreign	acutangulé	fra	
entry	Acutangulus	0	
orth	Acutangulus	lat	
foreign	acutangle	fra	
entry	Acutus	0	
orth	Acutus	lat	
foreign	aigu	fra	
entry	Adamas	0	
orth	Adamas	lat	
foreign	aimant	fra	
entry	Adaptare	0	
orth	Adaptare	lat	
foreign	adapter	fra	
entry	Adarticulatio	0	
orth	Adarticulatio	lat	
foreign	arthrodie	fra	
entry	Addephagia	0	
orth	Addephagia	lat	
foreign	adéphagie	fra	
entry	Additio	0	
orth	Additio	lat	
foreign	addition	fra	
entry	Adductio	0	
orth	Adductio	lat	
foreign	adduction	fra	
entry	Adductor	0	
orth	Adductor	lat	
foreign	adducteur	fra	
entry	Adenographia	0	
orth	Adenographia	lat	
foreign	adénographie	fra	
entry	Adenoïdes	0	
orth	Adenoïdes	lat	
foreign	adénoïde	fra	
entry	Adenologia	0	
orth	Adenologia	lat	
foreign	adénologie	fra	
entry	Adeno-meningeus	0	
orth	Adeno-meningeus	lat	
foreign	adéno-méningé	fra	
entry	Adeno-nervosus	0	
orth	Adeno-nervosus	lat	
foreign	adéno-nerveux	fra	
entry	Adenotomia	0	
orth	Adenotomia	lat	
foreign	adénotomie	fra	
entry	Adeps	0	
orth	Adeps	lat	
foreign	graisse	fra	
entry	Adeptus	0	
orth	Adeptus	lat	
foreign	adepte	fra	
entry	Adhærenia	0	
orth	Adhærenia	lat	
foreign	adhérence	fra	
entry	Adhœsio	0	
orth	Adhœsio	lat	
foreign	adhésion	fra	
entry	Adiaphorus	0	
orth	Adiaphorus	lat	
foreign	adiaphore	fra	
entry	Adiapneustia	0	
orth	Adiapneustia	lat	
foreign	adiapneustie	fra	
entry	Adiarrhaea	0	
orth	Adiarrhaea	lat	
foreign	adiarrhée	fra	
entry	Adipocera	0	
orth	Adipocera	lat	
foreign	adipocire	fra	
entry	Adiposus	0	
orth	Adiposus	lat	
foreign	adipeux	fra	
foreign	graisseux	fra	
entry	Adipsia	0	
orth	Adipsia	lat	
foreign	adipsie	fra	
entry	Adjectio	0	
orth	Adjectio	lat	
foreign	addition	fra	
entry	Adjutor, Adjutrix partus	0	
orth	Adjutor	lat	
orth	Adjutrix partus	lat	
foreign	accoucheur	fra	
foreign	accoucheuse	fra	
entry	Adnata	0	
orth	Adnata	lat	
foreign	conjonctive	fra	
entry	Adnatus	0	
orth	Adnatus	lat	
foreign	adné	fra	
entry	Adolescens	0	
orth	Adolescens	lat	
foreign	jeune homme adolescent	fra	
entry	Adolescentia	0	
orth	Adolescentia	lat	
foreign	adolescence	fra	
entry	Adspiratio	0	
orth	Adspiratio	lat	
foreign	aspiration	fra	
entry	Adstrictio	0	
orth	Adstrictio	lat	
foreign	resserrement	fra	
entry	Adstringens	0	
orth	Adstringens	lat	
foreign	astringent	fra	
entry	Adulteratio	0	
orth	Adulteratio	lat	
foreign	adultération	fra	
foreign	corruption	fra	
foreign	altération	fra	
entry	Adultus	0	
orth	Adultus	lat	
foreign	adulte	fra	
foreign	homme fait	fra	
entry	Adunatus	0	
orth	Adunatus	lat	
foreign	réuni	fra	
foreign	amassé	fra	
entry	Adustio	0	
orth	Adustio	lat	
foreign	brûlure	fra	
foreign	adustion	fra	
entry	Adustus	0	
orth	Adustus	lat	
foreign	brûlé	fra	
entry	Adynamia	0	
orth	Adynamia	lat	
foreign	adynamie	fra	
foreign	prostration des forces	fra	
entry	Adynamicus	0	
orth	Adynamicus	lat	
foreign	adynamique	fra	
entry	Ædæagraphia	0	
orth	Ædæagraphia	lat	
foreign	ædæagraphie	fra	
entry	Ædœalogia	0	
orth	Ædœalogia	lat	
foreign	ædæalogie	fra	
entry	Ædaeatomia	0	
orth	Ædaeatomia	lat	
foreign	ædæatomie	fra	
entry	Ægagropilus	0	
orth	Ægagropilus	lat	
foreign	égagropile	fra	
entry	Æger	0	
orth	Æger	lat	
foreign	malade	fra	
entry	Ægrotatio	0	
orth	Ægrotatio	lat	
foreign	maladie	fra	
foreign	indisposition	fra	
entry	Ægilops	0	
orth	Ægilops	lat	
foreign	aegilops	fra	
entry	Ægritudo	0	
orth	Ægritudo	lat	
foreign	angoisse	fra	
foreign	malaise	fra	
entry	Æolipyla	0	
orth	Æolipyla	lat	
foreign	æléolipyle	fra	
entry	Æquatio	0	
orth	Æquatio	lat	
foreign	équation	fra	
entry	Æquator	0	
orth	Æquator	lat	
foreign	équateur	fra	
entry	Æquiangulus	0	
orth	Æquiangulus	lat	
foreign	équiangle	fra	
entry	Æquilateralis	0	
orth	Æquilateralis	lat	
foreign	équilatéral	fra	
entry	Æquilaterus	0	
orth	Æquilaterus	lat	
foreign	équilatère	fra	
entry	Æquilibrium	0	
orth	Æquilibrium	lat	
foreign	équilibre	fra	
entry	Æquimultiplus	0	
orth	Æquimultiplus	lat	
foreign	équimultiple	fra	
entry	Æquinoxialis	0	
orth	Æquinoxialis	lat	
foreign	équinoxial	fra	
entry	Æquinoxium	0	
orth	Æquinoxium	lat	
foreign	équinoxe	fra	
entry	Aër	0	
orth	Aër	lat	
foreign	air	fra	
entry	Aëreus	0	
orth	Aëreus	lat	
foreign	aérien	fra	
entry	Aërificatio	0	
orth	Aërificatio	lat	
