object			
volume	37020d	Littré-Robin (1865-1873)	1873
entry	Céphalocystes	0	
orth	Céphalocystes		
clique	cestoïdes		
entry	Céphalode	0	
orth	Céphalode		
foreign	cephalodium	lat	
entry	Céphalographe	0	
orth	Céphalographe		
entry	Céphalographie	0	
orth	Céphalographie		
foreign	cephalographia	lat	
entry	Céphaloïde	0	
orth	Céphaloïde		
foreign	cephaloides	lat	
term	Infusoires céphaldides		
clique	Infusoires céphaldides		
entry	Céphalologie	0	
orth	Céphalologie		
entry	Céphalome	0	
orth	Céphalome		
entry	Céphalomèle	0	
orth	Céphalomèle		
entry	Céphalomètre	0	
orth	Céphalomètre		
foreign	cephalometrum	lat	
foreign	Kopfmesser	deu	
foreign	cephalometer	eng	
foreign	cefalometro	ita	
foreign	cefalometro	spa	
entry	Cephalometrie	0	
orth	Cephalometrie		
entry	Céphalopage	0	
orth	Céphalopage		
entry	Céphalo-pharyngien	0	
orth	Céphalo-pharyngien		
foreign	cephalopharyngeus	lat	
term	Aponévrose céphalo-pharyngienne		
clique	Aponévrose céphalo-pharyngienne		
term	Muscle céphalo-pharyngien		
clique	Muscle céphalo-pharyngien		
entry	Céphalopodes	1	
orth	Céphalopodes		
foreign	céphalopodes	lat	
foreign	Kopffüssler	deu	
foreign	Cephalopoden	deu	
foreign	cephalopoda	eng	
foreign	cefalopodes	spa	
pb	0253	0267	
clique	Sèche		
entry	Céphalo-rachidien	0	
orth	Céphalo-rachidien		
term	Enveloppes ou membranes céphalo-rachidiennes		
clique	Enveloppes ou membranes céphalo-rachidiennes | Arachnoïde | Dure-mère | Pie-mère		
term	Liquide céphalo-rachidien		
clique	Liquide céphalo-rachidien | Arachnoïdien		
entry	Céphalote	0	
orth	Céphalote		
entry	Céphalothlasie	0	
orth	Céphalothlasie		
entry	Céphalothlaste	0	
orth	Céphalothlaste		
entry	Céphalothlibe	0	
orth	Céphalothlibe		
clique	Céphalotribe		
entry	Céphalothorax	0	
orth	Céphalothorax		
entry	Céphalotomie	0	
orth	Céphalotomie		
foreign	cephalotomia	lat	
foreign	Kephalotomie	deu	
foreign	cephalotomy	eng	
foreign	cefalotomia	ita	
foreign	cefalotomia	spa	
entry	Céphalotribe	1	
orth	Céphalotribe		
pb	0254	0268	
entry	Céphalotripsie	0	
orth	Céphalotripsie		
entry	Céphalotripteur	0	
orth	Céphalotripteur		
entry	Céphaluroïde	0	
orth	Céphaluroïde		
foreign	κεφαλὴ + οὐρὰ	grc	
term	Infusoires céphalurdides		
clique	Infusoires céphalurdides | Spermatozoïde		
entry	Céphélide	0	
orth	Céphélide		
clique	Ipecacuanha		
entry	Céracé	0	
orth	Céracé		
foreign	ceraceus	lat	
entry	Céraïne	0	
orth	Céraïne		
foreign	Cerdin	deu	
entry	Céramiées	0	
orth	Céramiées		
entry	Céramium	0	
orth	Céramium		
clique	mousse de Corse		
entry	Cérasine	0	
orth	Cérasine		
foreign	cerasinum	lat	
foreign	Kirschgummi	deu	
foreign	cerasina	ita	
foreign	cerasina	spa	
term	adraganthine		
term	bassorine		
clique	adraganthine | bassorine | Bassorine		
entry	Cérat	0	
orth	Cérat		
foreign	ceratum	lat	
foreign	Wachssalbe	deu	
foreign	cerate	eng	
foreign	cerotto	ita	
foreign	cerato	spa	
foreign	κηρωτὸν	grc	
term	Cérat simple		
clique	Cérat simple		
term	Cérat blanc		
term	cérat de Galien		
clique	Cérat blanc | cérat de Galien		
term	Cérat diapalme		
clique	Cérat diapalme | Diapalme		
term	Cérat à la rose		
clique	Cérat à la rose		
term	Cérats composés		
clique	Cérats composés		
term	Cérat soufré		
clique	Cérat soufré		
term	Cérat ammoniacal		
clique	Cérat ammoniacal		
term	Cérat de quinquina		
clique	Cérat de quinquina		
clique	Alcool		
clique	Plaie		
entry	Cératinien, Cékaute, Cératocèle	0	
orth	Cératinien		
orth	Cékaute		
orth	Cératocèle		
entry	Cératocone	0	
orth	Cératocone		
clique	Staphylôme		
entry	Ceratoglosse, Cérato-pharyngien, Cérato-nyxis, Cératotome, Cératotomie	0	
orth	Ceratoglosse		
orth	Cérato-pharyngien		
orth	Cérato-nyxis		
orth	Cératotome		
orth	Cératotomie		
clique	Kératotome		
clique	Kératotomie		
entry	Cerbaire	0	
orth	Cerbaire		
clique	Digenèse		
entry	Cerceau	0	
orth	Cerceau		
clique	Arceau		
entry	Cercifis	0	
orth	Cercifis		
clique	Salsifis		
entry	Cercle	0	
orth	Cercle		
foreign	circulus	lat	
foreign	Zirkel	deu	
foreign	circle	eng	
foreign	circolo	ita	
foreign	circulo	spa	
foreign	κύκλος	grc	
term	Cercle chromatique		
clique	Cercle chromatique | Contraste		
term	Cercle ciliaire		
clique	Cercle ciliaire | Ciliaire		
term	Cercle de diffusion		
clique	Cercle de diffusion		
term	Cercle péricornéal		
clique	Cercle péricornéal | Kératite		
term	Cercle tympanal ou tympanique		
clique	Cercle tympanal ou tympanique | Tympanal		
entry	Cerclé	0	
orth	Cerclé		
term	Pied cerclé		
clique	Pied cerclé | Pied		
entry	Cercomonas	0	
orth	Cercomonas		
entry	Cercose	0	
orth	Cercose		
entry	Céréale	0	
orth	Céréale		
foreign	cerealis	lat	
foreign	mehlhaltig	deu	
foreign	cerealeous	eng	
foreign	cereale	ita	
term	Graines céréales		
clique	Graines céréales		
entry	Céréaline	1	
orth	Céréaline		
clique	Panification		
pb	0255	0269	
clique	Froment		
clique	Pain		
entry	Cérébelleux	0	
orth	Cérébelleux		
foreign	cerebellosus	lat	
foreign	cerebellous	eng	
foreign	cerebelloso	ita	
term	Artères cérébelleuses		
clique	Artères cérébelleuses		
term	Processus cérébelleux		
clique	Processus cérébelleux | Processus		
term	Veines cérébelleuses		
clique	Veines cérébelleuses		
entry	Cérébellite	0	
orth	Cérébellite		
clique	Encéphalite		
clique	Méningo-encéphalite		
entry	Cérébral	0	
orth	Cérébral		
foreign	cerebralis	lat	
foreign	cerebral	deu	
foreign	cerebral	eng	
foreign	cerebrale	ita	
foreign	cerebral	spa	
term	Action cérébrale		
clique	Action cérébrale | Fonction		
term	Albumine cérébrale		
clique	Albumine cérébrale | Neurine		
term	Artères cérébrales		
clique	Artères cérébrales		
term	Circonvolutions cérébrales		
clique	Circonvolutions cérébrales | Circonvolution		
term	Croup cérébral		
clique	Croup cérébral | Spasme		
term	Graisse cérébrale		
clique	Graisse cérébrale | Cérébrique		
term	Hémisphères cérébraux		
clique	Hémisphères cérébraux | Cerveau		
term	Hygiène cérébrale		
clique	Hygiène cérébrale | Hygiène		
term	Membranes cérébrales		
clique	Membranes cérébrales | Méninge		
term	Méningite cérébrale		
clique	Méningite cérébrale | Méningite		
term	Nerfs cérébraux		
clique	Nerfs cérébraux		
term	Protubérance cérébrale		
clique	Protubérance cérébrale | Pont | Pont de Varole		
term	Pulpe cérébrale		
clique	Pulpe cérébrale | Pulpe		
term	Ramollissement cérébral		
clique	Ramollissement cérébral | Ramollissement		
term	Tissu cérébral		
clique	Tissu cérébral | Cerveau		
term	Trigone cérébral		
clique	Trigone cérébral | Voûte | Voûte à quatre piliers		
term	Fièvre cérébrale		
clique	Fièvre cérébrale | Fièvre | Méningite | Méningo-encéphalite		
entry	Cérébrate	0	
orth	Cérébrate		
clique	Cérébrique		
entry	Cérébration	0	
orth	Cérébration		
entry	Cérébrie	0	
orth	Cérébrie		
entry	Cérébriforme	0	
orth	Cérébriforme		
foreign	cerebriforme	ita	
clique	Encéphaloïde		
entry	Cérébrine	0	
orth	Cérébrine		
foreign	Hirnfetf	deu	
clique	lécithine		
entry	Cérébrique	0	
orth	Cérébrique		
term	Acide cérébrique		
clique	Acide cérébrique | Lécithine		
entry	Cérébrite	0	
orth	Cérébrite		
foreign	Gehirnentzündung	deu	
foreign	cerebritis	spa	
clique	Encéphalite		
entry	Cérébro-oléine	0	
orth	Cérébro-oléine		
entry	Cérébro-rachidien	0	
orth	Cérébro-rachidien		
clique	Cérébrospinal		
term	Nerfs cérébro-rachidiens		
clique	Nerfs cérébro-rachidiens | Nerf		
entry	Cérébrosclérose	0	
orth	Cérébrosclérose		
foreign	Gehirnsclerose	deu	
foreign	cerebrosclerosis	eng	
foreign	cerebrosclerosidf	ita	
clique	Myélosclérose		
entry	Cérébroscopie	0	
orth	Cérébroscopie		
entry	Cérébro-spinal	0	
orth	Cérébro-spinal		
term	Axe cérébro-spinal		
clique	Axe cérébro-spinal		
term	Liquide cérébrospinal		
clique	Liquide cérébrospinal | Arachnoïdien		
term	Méningite cérébro-spinale		
clique	Méningite cérébro-spinale | Méningite		
entry	Cérébrote	0	
orth	Cérébrote		
clique	Cérébrique		
entry	Céréléon	0	
orth	Céréléon		
foreign	cerelœum	lat	
foreign		deu	
entry	Cérencéphalote	0	
orth	Cérencéphalote		
pb	0256	0270	
entry	Cerf	0	
orth	Cerf		
foreign	cervus	lat	
foreign	Hirsch	deu	
foreign	stag	eng	
foreign	hart	eng	
foreign	cervo	ita	
foreign	ciervo	spa	
foreign	ἔλαφος	grc	
clique	Gorne		
clique	Ossification		
term	Mal de cerf		
clique	Mal de cerf | Mal		
entry	Cerfeuil	0	
orth	Cerfeuil		
foreign	cerefolium	lat	
foreign	chærophyllum	lat	
foreign	Scandix cerefolium (L.)	lat	
foreign	Kerbel	deu	
foreign	chervil	eng	
foreign	cerfoglio	ita	
foreign	cerfuglio	ita	
foreign	perifollo	spa	
term	Cerfeuil musqué		
clique	Cerfeuil musqué		
entry	Cérides	0	
orth	Cérides		
entry	Cérine	0	
orth	Cérine		
foreign	Kerin	deu	
foreign	cerina	spa	
clique	Cérotique		
entry	Cérinique	0	
orth	Cérinique		
entry	Cérion	0	
orth	Cérion		
foreign	cerio	lat	
entry	Cérique	0	
orth	Cérique		
term	Acide cérique		
clique	Acide cérique		
entry	Cerise	0	
orth	Cerise		
foreign	cerasum	lat	
foreign	Kirsche	deu	
foreign	cherry	eng	
foreign	cirieyia	ita	
foreign	cereza	spa	
foreign	κεράσιον	grc	
clique	cerisier		
term	Sirop de cerises		
clique	Sirop de cerises | Sirop		
entry	Cerisier	0	
orth	Cerisier		
foreign	Prunus cerasus (L.)	lat	
foreign	Cerasus caproniana	lat	
foreign	cerasus	lat	
foreign	Kirschbaum	deu	
foreign	ciriegio	ita	
foreign	cerezo	spa	
foreign	κέρασον	grc	
entry	Cérite	0	
orth	Cérite		
clique	Cérium		
entry	Cérium	0	
orth	Cérium		
foreign	Cerium	deu	
foreign	cerio	ita	
foreign	cerium	spa	
entry	Cerne	0	
orth	Cerne		
term	Cerne des yeux		
clique	Cerne des yeux | Cerné		
entry	Cerné	0	
orth	Cerné		
entry	Céroène, Cérouène, Cirouène	0	
orth	Céroène		
orth	Cérouène		
orth	Cirouène		
term	Emplâtre céroène		
clique	Emplâtre céroène		
entry	Céroléine	0	
orth	Céroléine		
entry	Céromel	0	
orth	Céromel		
foreign	ceromiel	spa	
entry	Céroplastique	0	
orth	Céroplastique		
entry	Cérosie, Cérosine	0	
orth	Cérosie		
orth	Cérosine		
entry	Cérosique, Cérosinique	0	
orth	Cérosique		
orth	Cérosinique		
term	Acide cérosique, cérosinique		
clique	Acide cérosique, cérosinique		
entry	Cérotate	0	
orth	Cérotate		
clique	Cérotique		
entry	Cérotique	0	
orth	Cérotique		
foreign	acidum cerotinicum	lat	
foreign	Cerotinsiäure	deu	
entry	Céroxyline	0	
orth	Céroxyline		
foreign	Ceroxylin	deu	
entry	Certitude	0	
orth	Certitude		
term	Certitude en médecine		
clique	Certitude en médecine | Pathologie | Praticien		
entry	Cérumen	0	
orth	Cérumen		
foreign	cerumen	lat	
foreign	Ohrenschmalz	deu	
foreign	cerumen	eng	
foreign	cerume	ita	
foreign	cerumen	spa	
foreign	ὠτὸς ῥύπος	grc	
pb	0257	0271	
entry	Cérumineux	0	
orth	Cérumineux		
foreign	cerumiuous	eng	
clique	Cérumen		
entry	Céruse	0	
orth	Céruse		
foreign	cerussa	lat	
foreign	Bleiweiss	deu	
foreign	Bleiglaette	deu	
foreign	whitelead	eng	
foreign	cerussa	ita	
foreign	ψιμμύθιον	grc	
clique	Carbonate de plomb | Carbonate		
term	Emplâtre de céruse		
clique	Emplâtre de céruse | Emplâtre		
entry	Cerveau	1	
orth	Cerveau		
foreign	cerebrum	lat	
foreign	Gehirn	deu	
foreign	brain	eng	
foreign	cervello	ita	
foreign	cerebro	ita	
foreign	cerebro	spa	
foreign	ἐγκέφαλος	grc	
clique	Circonvolution		
clique	Pédoncule		
clique	Méninge		
clique	Amoepue		
clique	myélocytes		
pb	0258	0272	
clique	Folie		
clique	Cérébrooléine		
term	Commissures du cerveau		
clique	Commissures du cerveau | Commissure		
term	Faux du cerveau		
clique	Faux du cerveau | Faux		
term	Poids du cerveau		
clique	Poids du cerveau | Encéphale		
term	Ventricules du cerveau		
clique	Ventricules du cerveau | Arachnoïdien | Ventricule		
clique	Commotion		
entry	Cervelet	0	
orth	Cervelet		
foreign	das kleine Gehirn	deu	
foreign	the little brain	eng	
foreign	cervelletto	ita	
foreign	cerebelo	spa	
clique	Encéphale		
clique	Faux		
clique	circonvolutions		
clique	Encéphale		
term	Foliole du cervelet		
clique	Foliole du cervelet | Foliole		
term	Ventricule du cervelet		
clique	Ventricule du cervelet | Ventricule		
entry	Cervelle	0	
orth	Cervelle		
entry	Cervical	1	
orth	Cervical		
foreign	cervicalis	lat	
foreign	cervical	eng	
foreign	cervicale	ita	
foreign	cervical	spa	
term	Adénite cervicale		
clique	Adénite cervicale | Abénite		
term	Artères cervicales		
clique	Artères cervicales		
term	Vertèbres cervicales		
clique	Vertèbres cervicales | axis		
term	Ganglions cervicaux		
term	glandes cervicales		
clique	Ganglions cervicaux | glandes cervicales		
term	Ganglions cervicaux		
clique	Ganglions cervicaux		
term	Ligament cervical		
clique	Ligament cervical | Ligament | Ligament élastiques		
term	Nerfs cervicaux		
clique	Nerfs cervicaux		
term	Plexus cervical		
clique	Plexus cervical		
pb	0259	0273	
term	Veines cervicales		
clique	Veines cervicales		
entry	Cervico-brachial	0	
orth	Cervico-brachial		
entry	Cervico-mastoïdien	0	
orth	Cervico-mastoïdien		
term	Muscle cervico-mastdidien		
clique	Muscle cervico-mastdidien | Splénius | Splénius de la tête		
entry	Cervico-occipital	0	
orth	Cervico-occipital		
entry	Cervico-scapulaire	0	
orth	Cervico-scapulaire		
clique	Gervical		
entry	Cervix	0	
orth	Cervix		
clique	Cou		
entry	Césarien	0	
orth	Césarien		
term	Opération césarienne		
clique	Opération césarienne		
entry	Cespiteux	0	
orth	Cespiteux		
foreign	cespitosus	lat	
entry	Cestoïde	1	
orth	Cestoïde		
foreign	Bandwurm	deu	
foreign	cestoideari	eng	
term	Vers cestoïdes		
clique	Vers cestoïdes | Proglottis | Proscolex | trématodes		
pb	0260	0274	
entry	Cétacés	0	
orth	Cétacés		
foreign	Ceten	deu	
foreign	Cetacen	deu	
foreign	cetacea	eng	
foreign	cetacei	ita	
foreign	cetaceos	spa	
term	Huile de cétacé		
clique	Huile de cétacé | Huile		
entry	Cétène, Cétényle	0	
orth	Cétène		
orth	Cétényle		
entry	Cétérach	0	
orth	Cétérach		
foreign	Milzkraut	deu	
foreign	spleen-wort	eng	
foreign	cetracca	ita	
foreign	doradilla	spa	
entry	Céthyle	0	
orth	Céthyle		
clique	Cétyle		
entry	Cétine	0	
orth	Cétine		
foreign	cetina	lat	
foreign	Cetin	deu	
foreign	cetina	ita	
clique	Blanc de baleine | Blanc		
clique	Cachalot		
clique	Éthalique		
entry	Cétinique	0	
orth	Cétinique		
clique	Éthalique		
entry	Cétique	0	
orth	Cétique		
clique	Éthal		
clique	Éthalique		
entry	Cétoine	0	
orth	Cétoine		
foreign	cetonia	lat	
foreign	Metallkäfer	deu	
entry	Cétol	0	
orth	Cétol		
clique	Éthal		
entry	Cétrarine	0	
orth	Cétrarine		
foreign	cetrarium	lat	
foreign	Moosbitter	deu	
term	Bleu de cétrarine		
clique	Bleu de cétrarine		
entry	Cétrarique	0	
orth	Cétrarique		
clique	Cétrarine		
entry	Cétylate d’oxyde d’éthyle	0	
orth	Cétylate d’oxyde d’éthyle		
clique	Éthal		
entry	Cétyle	0	
orth	Cétyle		
foreign	cetylum	lat	
foreign	Cetyl	deu	
entry	Cétylique	0	
orth	Cétylique		
clique	Éthalique		
entry	Cévadille	0	
orth	Cévadille		
foreign	sabadilla	lat	
foreign	Sabadillgermer	deu	
clique	vératrine		
clique	Sabadilline		
entry	Cévadique	0	
orth	Cévadique		
foreign	Cevadinsäure	deu	
entry	Chabert	0	
orth	Chabert		
term	Huile de Chabert		
clique	Huile de Chabert | Empybeumatique		
entry	Chabin	0	
orth	Chabin		
entry	Chabot	0	
orth	Chabot		
clique	Vénéneux		
entry	Chacaca, Chachaca	0	
orth	Chacaca		
orth	Chachaca		
entry	Chacal	0	
orth	Chacal		
foreign	Canis aureus (L.)	lat	
foreign	Schakal	deu	
foreign	jackall	eng	
foreign	golden-wolf	eng	
foreign	sciacallo	ita	
foreign	chacal	spa	
foreign	jackal	spa	
foreign	schackal	spa	
entry	Chacarille	0	
orth	Chacarille		
clique	cascarille		
entry	Chærophylline	0	
orth	Chærophylline		
entry	Chaff	0	
orth	Chaff		
foreign	Häcksel	deu	
foreign	chaff	eng	
foreign	pagliucà	ita	
entry	Chailletiacées	0	
orth	Chailletiacées		
pb	0261	0275	
entry	Chaine	0	
orth	Chaine		
term	Chaîne électrique		
clique	Chaîne électrique | Hydro-électrique		
term	Chaîne prolifère		
clique	Chaîne prolifère | Génération | Génération alternante		
entry	Chainette	0	
orth	Chainette		
term	Scie à chaînette		
clique	Scie à chaînette | Scie		
entry	Chair	0	
orth	Chair		
foreign	caro	lat	
foreign	Fleisch	deu	
foreign	flesh	eng	
foreign	carné	ita	
foreign	carne	spa	
foreign	σὰρξ	grc	
clique	Musculaire		
clique	Réticulaire		
clique	Sole		
term	Chair de poule		
clique	Chair de poule | Poil		
clique	Typhus		
clique	Viande crue | Viande		
entry	Chaise-lit	0	
orth	Chaise-lit		
entry	Chalasie	0	
orth	Chalasie		
foreign	chalasis	lat	
foreign	χάλασις	grc	
entry	Chalastique	0	
orth	Chalastique		
foreign	chalas tiens	lat	
entry	Chalastodermie, Chalasodermie	0	
orth	Chalastodermie		
orth	Chalasodermie		
entry	Chalaze	0	
orth	Chalaze		
foreign	chalaza	lat	
foreign	chalaza	eng	
foreign	calaza	ita	
foreign	chalaza	spa	
term	Chalazes		
clique	Chalazes | Chalazion | Œuf		
entry	Chalazifère	0	
orth	Chalazifère		
term	Membrane chalazifère		
clique	Membrane chalazifère | Œuf		
entry	Chalazion	0	
orth	Chalazion		
foreign	chalaza	lat	
foreign	Hagelkorn	deu	
foreign	hailstone	eng	
foreign	grandine	ita	
foreign	χάλαζα	grc	
foreign	χαλάζιον	grc	
foreign	χαλάζωσις	grc	
entry	Chalazique	0	
orth	Chalazique		
clique	Embryonnaire		
entry	Chalazonéphrite	0	
orth	Chalazonéphrite		
entry	Chalcite	0	
orth	Chalcite		
entry	Chaleur	1	
orth	Chaleur		
foreign	calor	lat	
foreign	Wärme	deu	
foreign	heat	eng	
foreign	calore	ita	
foreign	calor	spa	
foreign	θέρμη	grc	
clique	température		
clique	calorique		
term	Éclair de chaleur		
clique	Éclair de chaleur | Éclair		
clique	rut		
clique	Caloeification		
clique	Température animale | Température		
term	Chaleur musculaire		
clique	Chaleur musculaire | Musculation		
clique	Âcre		
term	Chaleur nerveuse		
term	chaleur erratique		
clique	Chaleur nerveuse | chaleur erratique		
term	Chaleur hectique		
clique	Chaleur hectique		
term	Chaleur septique		
clique	Chaleur septique		
term	Chaleur spécifique		
clique	Chaleur spécifique		
pb	0262	0276	
entry	Chalicophore, Chalicogène, Chalcophore, Chalcogène	0	
orth	Chalicophore		
orth	Chalicogène		
orth	Chalcophore		
orth	Chalcogène		
clique	Ostéoplaste		
entry	Chalumeau	0	
orth	Chalumeau		
foreign	Lothrohr	deu	
foreign	brass-pipe	eng	
foreign	sampogna	ita	
foreign	fistola	ita	
entry	Chalybé	0	
orth	Chalybé		
foreign	chalybeatus	lat	
foreign	stahlhaltig	deu	
foreign	chalybeate	eng	
foreign	calibealo	ita	
foreign	calibeado	spa	
term	Eau chalybée		
clique	Eau chalybée | Eau		
term	Poudre chalybée		
clique	Poudre chalybée | Poudre		
term	Sirop chalybé		
clique	Sirop chalybé | Sirop		
term	Tablettes chalybées		
clique	Tablettes chalybées | Tablette | Tablette martiales		
term	Tartre chalybé		
clique	Tartre chalybé | Tartrate | Tartrate de potasse et de fer		
term	Vin chalybé		
clique	Vin chalybé		
term	Vinaigre chalybé		
clique	Vinaigre chalybé | Acétate | Acétate de fer		
entry	Chamædrys	0	
orth	Chamædrys		
clique	Germandrée		
entry	Chamælauciées	0	
orth	Chamælauciées		
entry	Chamæléon	0	
orth	Chamæléon		
term	Chamœléon blanc		
term	Chamœléon noir		
clique	Chamœléon blanc | Chamœléon noir | Carline		
entry	Chamarras	0	
orth	Chamarras		
clique	Germandrée d’eau | Germandrée		
entry	Chambre	0	
orth	Chambre		
foreign	caméra	lat	
foreign	Kammer	deu	
foreign	chamber	eng	
foreign	caméra	ita	
foreign	camara	spa	
term	Chambre antérieure de l’œil		
clique	Chambre antérieure de l’œil		
term	Chambre barométrique		
clique	Chambre barométrique | Baromèthe		
entry	Chameau	0	
orth	Chameau		
foreign	camelus	lat	
foreign	Kameel	deu	
foreign	camel	eng	
foreign	cammello	ita	
foreign	camello	spa	
foreign	κάμηλον	grc	
entry	Chamois, Isard	0	
orth	Chamois		
orth	Isard		
foreign	Antilope rupicapra (L.)	lat	
foreign	Gemse	deu	
clique	Antilope		
entry	Champ	0	
orth	Champ		
term	Champ de l’accommodation		
clique	Champ de l’accommodation | Mésoroptre		
term	Champ visuel		
clique	Champ visuel | Visuel		
entry	Champignons	1	
orth	Champignons		
foreign	fungi	lat	
foreign	Pilz	deu	
foreign	mushroom	eng	
foreign	fungo	ita	
foreign	seta	spa	
foreign	hongo	spa	
foreign	μύκητες	grc	
clique	Conidie		
clique	Spermogonie		
clique	Achobion		
clique	Microsporon		
clique	Muscabdine		
clique	Ergot de seigle | Ergot		
clique	Puccinie		
clique	basides		
pb	0263	0277	
clique	Blanc de champignon | Blanc		
clique	fungine		
clique	bulbosine		
clique	Aspergillus		
term	Champignon de la teigne		
clique	Champignon de la teigne | Achorion | Favus		
term	Champignon de la teigne decalvante ou achromateuse		
clique	Champignon de la teigne decalvante ou achromateuse | Microsporon		
term	Champignon du pityriasis		
clique	Champignon du pityriasis | Microsporon		
term	Champignon de la teigne tondante		
clique	Champignon de la teigne tondante | Trichophyton		
term	Champignon de la mentagre		
clique	Champignon de la mentagre | Microsporon		
term	Champignon du ferment		
clique	Champignon du ferment | Levure		
term	Champignon du pain		
clique	Champignon du pain | Pain		
term	Champignon de Malte		
clique	Champignon de Malte | balanophorées		
clique	Fongus		
term	Champignon philosophique		
clique	Champignon philosophique		
entry	Champonier	0	
orth	Champonier		
entry	Chamsin, Khamsin	0	
orth	Chamsin		
orth	Khamsin		
foreign	Föhnwind	deu	
entry	Chancre	2	
orth	Chancre		
foreign	ulcusculum cancrosum	lat	
foreign	Schanker	deu	
foreign	chancre	eng	
foreign	cancro	ita	
clique	Syphilis		
clique	lupus ulcérés		
term	Chancre bourgeonnant		
clique	Chancre bourgeonnant | Syphilis		
term	Chancre dur		
clique	Chancre dur | Syphilis		
term	Chancre des enfants		
clique	Chancre des enfants | Aphthe		
term	Chancre fongueux		
clique	Chancre fongueux | Syphilis		
term	Chancre huntérien		
clique	Chancre huntérien | Syphilis		
term	Chancre induré		
clique	Chancre induré | Induré | Syphilis		
term	Chancre infectant		
clique	Chancre infectant | Chancroïde		
term	Chancre mixte		
clique	Chancre mixte | Chanchoïde		
pb	0264	0278	
term	Chancre phagédénique gangréneux		
clique	Chancre phagédénique gangréneux		
term	Chancre phagédénique puttacé ou diphthéritique		
clique	Chancre phagédénique puttacé ou diphthéritique | Phagédénisme		
term	Chancre simple		
clique	Chancre simple | Chancroïde | Bubon | Chancre | Syphilisation | Mal | Bubon virulent | Chancre phagédénique | Mal de coït		
pb	0265	0279	
term	Chancre Syphilitique ou de la vérole		
clique	Chancre Syphilitique ou de la vérole | Syphilis		
term	Chancre végétant		
clique	Chancre végétant | Syphilis		
term	Chancre		
clique	Chancre		
term	Chancres de la langue		
clique	Chancres de la langue		
term	Chancre des arbres		
clique	Chancre des arbres | Ulcère | Ulcère des arbres		
entry	Chancrelle	0	
orth	Chancrelle		
clique	Chancre simple | Chancre		
entry	Chancreux	0	
orth	Chancreux		
foreign	cancrosus	lat	
foreign	carcinodes	lat	
term	Épizootie chancreuse		
clique	Épizootie chancreuse | Mal | Mal de coït		
term	Érosion chancreuse		
clique	Érosion chancreuse | Syphilis		
entry	Chancroïde	0	
orth	Chancroïde		
clique	chancre simple		
clique	Syphilis		
term	Caractères du chancre infectant		
clique	Caractères du chancre infectant | induré		
term	Caractères du chancre		
term	chancre non infectant		
clique	Caractères du chancre | chancre non infectant | Chancre | Chancre simple		
entry	Chanfrein	0	
orth	Chanfrein		
foreign	Blässe	deu	
foreign	chanfrin	eng	
foreign	scanalatura frontale	ita	
entry	Chant	0	
orth	Chant		
term	Chant des artères		
clique	Chant des artères | Bruit | Bruit artériels		
entry	Chanterelle	0	
orth	Chanterelle		
foreign	Merulius cantharellus	lat	
foreign	Agaricus cantharellus (L.)	lat	
foreign	Kantharelle	deu	
foreign	Eierschwamm	deu	
entry	Chanvre	0	
orth	Chanvre		
foreign	Cannabis sativa (L.)	lat	
foreign	Hanf	deu	
foreign	hemp	eng	
foreign	canapa	ita	
foreign	caüamo	spa	
clique	Rouissage		
clique	Bang		
clique	Hachisch		
clique	Tænifuge		
term	Chanvre de Manille		
clique	Chanvre de Manille | Abaca		
entry	Chanvrin	0	
orth	Chanvrin		
clique	Eupatoire		
entry	Chapeau	0	
orth	Chapeau		
foreign	pileum	lat	
foreign	Hut	deu	
foreign	hat	eng	
foreign	capello	ita	
foreign	corona	ita	
clique	Champignon		
entry	Chapelet	1	
orth	Chapelet		
foreign	Rosenkranz	deu	
foreign	chapelet	eng	
foreign	cappeletto	ita	
foreign	corono	ita	
pb	0266	0280	
term	Chapelet pustuleux		
clique	Chapelet pustuleux		
term	Farcin en chapelet		
clique	Farcin en chapelet		
entry	Chapetonnade	0	
orth	Chapetonnade		
foreign	vomitus rabiosus	lat	
entry	Chapiteau	0	
orth	Chapiteau		
foreign	capitulum	lat	
foreign	Helm	deu	
foreign	capital	eng	
foreign	antenitorio	ita	
foreign	capitel	spa	
clique	alambic		
term	Chapiteau à queue		
clique	Chapiteau à queue		
entry	Chaponnage	0	
orth	Chaponnage		
foreign	Kapaunen	deu	
clique	Castration des volailles | Castration		
entry	Chara, Characées	0	
orth	Chara		
orth	Characées		
clique	spermatozoïdes		
entry	Charançon	0	
orth	Charançon		
term	Charançon du blé		
clique	Charançon du blé | Calandre		
entry	Charbon	0	
orth	Charbon		
foreign	carbo	lat	
foreign	Kohle	deu	
foreign	charcoal	eng	
foreign	carbone	ita	
foreign	carbon	spa	
foreign	ἄνθραξ	grc	
clique	Tablette		
term	Huile de charbon de terre		
clique	Huile de charbon de terre | Huile		
term	Vapeur de charbon		
clique	Vapeur de charbon | Oxyde | Vapeur | Oxyde de carbone		
term	Charbon animal		
clique	Charbon animal		
term	Charbon des graminées		
clique	Charbon des graminées		
term	Charbon blanc		
clique	Charbon blanc		
term	Charbon de l’homme et des animaux		
clique	Charbon de l’homme et des animaux | Pustule | Barbouquet		
term	Charbon à la langue		
clique	Charbon à la langue | Glossanthrax		
term	Charbon pestilentiel		
clique	Charbon pestilentiel | Peste		
term	Charbon pulmonaire		
