page	refimg	numauto	chapitre
[sans numérotation]	0001	7508676	[Plat]
[sans numérotation]	0002	7508677	[Contreplat]
[sans numérotation]	0003	7508678	[Page de garde]
[page blanche]	0004	7508679	
I	0005	7508680	[Page de faux titre]
II	0006	7508681	
III	0007	7508682	[Page de titre]
IV	0008	7508683	
V 	0009	7508684	Introduction
VI	0010	7508685	Introduction
7	0011	7508686	Dictionnaire biographique international des Médecins et Chirurgiens / Bucquoy (Jules)
8	0012	7508687	Bucquoy (Jules) / Dehenne (Albert)
9	0013	7508688	Dehenne (Albert) / Lancereaux (Etienne)
10	0014	7508689	Lancereaux (Etienne)
11	0015	7508690	Lancereaux (Etienne) / Folet (Henri)
12	0016	7508691	Folet (Henri) / Tison (Edouard-Eugène-Augustin)
13	0017	7508692	Tison (Edouard-Eugène-Augustin)
14	0018	7508693	Tison (Edouard-Eugène-Augustin) / Rattel (Adjutor-Agathon-Joachim)
15	0019	7508694	Rattel (Adjutor-Agathon-Joachim)
16	0020	7508695	Rattel (Adjutor-Agathon-Joachim) / Desesquelle (Edouard)
17	0021	7508696	Desesquelle (Edouard) / Brès (Madeleine)
18	0022	7508697	Brès (Madeleine)
19	0023	7508698	Brès (Madeleine) / Moty (Fernand) / Poncet (Antonin)
20	0024	7508699	Poncet (Antonin)
21	0025	7508700	Bompard (Louis-Jean-Baptiste-Ernest) / Foveau de Courmelles (François-Victor)
22	0026	7508701	Foveau de Courmelles (François-Victor)
23	0027	7508702	Foveau de Courmelles (François-Victor) / Deffaux (Emile)
24	0028	7508703	Deffaux (Emile)
25	0029	7508704	Caudron (Virgile) / Lemoine (Georges-Hubert-Alphonse)
26	0030	7508705	Lemoine (Georges-Hubert-Alphonse) / Leloir (F. Camille-Chrysostome) / Dransart (Henry-Narcisse)
27	0031	7508706	Dransart (Henry-Narcisse)
28	0032	7508707	Dransart (Henry-Narcisse)
29	0033	7508708	Dransart (Henry-Narcisse) / Petit (Claude-Alexandre)
30	0034	7508709	Petit (Claude-Alexandre) / Brouardel (Paul-Camille-Hippolyte)
31	0035	7508710	Brouardel (Paul-Camille-Hippolyte)
32	0036	7508711	Brouardel (Paul-Camille-Hippolyte) / Bérillon (Edgar)
33	0037	7508712	Gannal (Jean-Nicolas)
34	0038	7508713	Gannal (Jean-Nicolas) / Gannal (Félix)
35	0039	7508714	Gannal (Félix) / Gannal (Adolphe)
36	0040	7508715	Gannal (Adolphe) / Boeckel (Jules)
37	0041	7508716	Boeckel (Jules)
38	0042	7508717	Boeckel (Jules) / Grasset (Joseph)
39	0043	7508718	Grasset (Joseph)
40	0044	7508719	Grasset (Joseph) / David (Jean-Pierre) / Schlagdenhauffen (Fréderic)
41	0045	7508720	Schlagdenhauffen (Fréderic)
42	0046	7508721	Schlagdenhauffen (Fréderic) / Brémaud (Paul)
43	0047	7508722	Brémaud (Paul)
44	0048	7508723	Brémaud (Paul) / Henrot (Henri)
45	0049	7508724	Henrot (Henri) / Bourgeois (Alexandre-Louis-Félix)
46	0050	7508725	Bourgeois (Alexandre-Louis-Félix) / Carton (Louis-Charles)
47	0051	7508726	Carton (Louis-Charles)
48	0052	7508727	Carton (Louis-Charles)
49	0053	7508728	Carton (Louis-Charles) / Pozzi (Samuel)
50	0054	7508729	Pozzi (Samuel) / Jonnesco (Thomas)
51	0055	7508730	Jonnesco (Thomas)
52	0056	7508731	Jonnesco (Thomas) / Fabre de Commentry (Paul)
53	0057	7508732	Fabre de Commentry (Paul)
54	0058	7508733	Fabre de Commentry (Paul) / Hahn (François-Louis)
55	0059	7508734	Hahn (François-Louis) / Guermonprez (François)
56	0060	7508735	Guermonprez (François)
57	0061	7508736	Guermonprez (François)
