page	refimg	numauto	chapitre
314	0054	4806223	Irrigations (thérap.) [J. P. Beaude]
315	0055	4806224	Irrigations (thérap.) [J. P. Beaude] / Irritabilité (physiol.) [J. B.] / Irritant (thérap. path.) [J. B.] / Irritation (physiol. path.) [E. Beaugrand]
316	0056	4806225	Irritation (physiol. path.) [E. Beaugrand] / Ischiatique (anat.) / Ischion (anat.) / Ischio-caverneux (anat.) / Ischiocèle (path.) / Ischio-clitoridien (anat.) / Ischio-coccygien (anat.) / Ischurie (path.) / Isochrone (physiol.) / Isolement (physiol.) [H. Landouzy]
317	0057	4806226	Isolement (physiol.) [H. Landouzy] / Isthme (anat.) / Ivette (bot.) / Ivraie (bot.) [J. P. Beaude]
318	0058	4806227	Ivresse, (hyg.) [J. P. Beaude]
319	0059	4806228	Ivresse, (hyg.) [J. P. Beaude]
320	0060	4806229	Jalap (mat. méd.) [J. P. Beaude]
321	0061	4806230	Jalap (mat. méd.) [J. P. Beaude] / Jambe (anat.) [J. P. Beaude]
322	0062	4806231	Jambe (anat.) [J. P. Beaude]
323	0063	4806232	Jambe (anat.) [J. P. Beaude] / Jambier (anat.) [J. B.] / Jarret (anat.) / Jaune (Fièvre) / Jaunes (Ligaments) (anat.) / Jaunisse / Jéjuneum (anat.) / Jeunesse / Jeune / Joie / Jointures (anat.) / Joubarbe (bot.) [J. B.]
324	0064	4806233	Joubarbe (bot.) [J. B.] / Joues (anat.) [J. B.] / Jour (physiol. et path.) [J. B.] / Jugulaire (anat.) [J. B.] / Jujube (bot. méd.) [T. Couverchel]
325	0065	4806234	Jujube (bot. méd.) [T. Couverchel] / Julep (pharm.) / Jumeaux (anat.) [J. B.] / Jus d'herbes / Jusquiame (bot. mat. méd. et pharm.) [J. P. Beaude]
326	0066	4806235	Jusquiame (bot. mat. méd. et pharm.) [J. P. Beaude]
327	0067	4806236	Jusquiame (bot. mat. méd. et pharm.) [J. P. Beaude]
328	0068	4806237	Kajefut ou Cajeput (mat. méd.) [J. B.] / Karabé / Kéloide (path.) [E. Beaugrand] / Kératome. (chir.)
329	0069	4806238	Kératome. (chir.) / Kératite (méd.) / Kératonyxis (chir.) / Kermès, Minéral / Kermès animal / Kina (mat. méd.) / Kinates (chim.) / Kinine / Kino (mat. méd.) [J. B.] / Kystes (anat. path.) [E. Beaugrand]
330	0070	4806239	Kystes (anat. path.) [E. Beaugrand]
331	0071	4806240	Labial (anat.) [J. B.] / Laboratoire (pharm.) [Vée]
332	0072	4806241	Laboratoire (pharm.) [Vée] / Labyrinthe (anat.) / Lacis (anat.) / Lacq ou Laq (chir.) [J. B.] / Lacrymal, ale (anat. et path.) [J. P. Beaude] / Lactate (chim.) / Lactation / Lacté, ée (anat.) / Lactique (Acide) (chim.) [J. P. Beaude]
333	0073	4806242	Lactique (Acide) (chim.) [J. P. Beaude] / Lait (physiol. hyg.) [F. Capitaine, J. P. Beaude]
334	0074	4806243	Lait (physiol. hyg.) [F. Capitaine, J. P. Beaude]
335	0075	4806244	Lait (physiol. hyg.) [F. Capitaine, J. P. Beaude]
336	0076	4806245	Lait (physiol. hyg.) [F. Capitaine, J. P. Beaude]
337	0077	4806246	Lait (physiol. hyg.) [F. Capitaine, J. P. Beaude]
338	0078	4806247	Lait (physiol. hyg.) [F. Capitaine, J. P. Beaude] / Laiteron (bot.) / Laitue (bot. et mat. méd.) [J. P. Beaude]
339	0079	4806248	Laitue (bot. et mat. méd.) [J. P. Beaude] / Lampe de sûreté (hyg.) [J. B.]
340	0080	4806249	Lampe de sûreté (hyg.) [J. B.] / Lancette (Chir.) [J. B.] / Lancinant, e (Path.) / Langeac (Eaux minérales de). (Thérap.) [J. B.] / Langue (anat.) [E. Beaugrand]
341	0081	4806250	Langue (anat.) [E. Beaugrand] / Laque ou Lacque (Mat., méd.) / Lardacé, ée (Path.)
342	0082	4806251	Lardacé, ée (Path.) / Large (Anat.) / Larmes, (physiol.) [F. Capitaine] / Larmoiement (Path.) / Larvé, ée (Méd.) / Laryngé, ée (Anat.) / Laryngite ou Laringite (Méd.) / Larynx (anat.) [J. P. Beaude]
343	0083	4806252	Larynx (anat.) [J. P. Beaude]
285	0084	4806253	Larynx (anat.) [J. P. Beaude]
345	0085	4806254	Larynx (anat.) [J. P. Beaude]
346	0086	4806255	Larynx (anat.) [J. P. Beaude]
347	0087	4806256	Larynx (anat.) [J. P. Beaude] / Laryngotomie (Chir.) / Latent, ente (Path.) / Laudanum (Pharm.) / Laurier (bot. et mat. méd.) [J. P. Beaude] / Laurier cerise (bot. et mat. méd.) [J. P. Beaude]
348	0088	4806257	Laurier cerise (bot. et mat. méd.) [J. P. Beaude] / Laurier-rose (bot. et mat. méd.) [J. P. Beaude]
349	0089	4806258	Laurier-rose (bot. et mat. méd.) [J. P. Beaude] / Lavement, (thérap.) [E. Beaugrand]
350	0090	4806259	Lavement, (thérap.) [E. Beaugrand] / Laxatif (mat. méd.) / Lazaret (pol. méd.) [J. B.] / Légume (bot.) / Lenitif (mat. méd.) / Lent (path.) / Lentille, (bot. hyg.) [T. Couverchel]
351	0091	4806260	Lentille, (bot. hyg.) [T. Couverchel] / Lenticulaire ou Lentiforme [J. B.] / Léontiasis (path.) / Lèpre (path.) [E. Beaugrand]
352	0092	4806261	Lèpre (path.) [E. Beaugrand]
353	0093	4806262	Lèpre (path.) [E. Beaugrand] / Lésion (path.) / Lessive (chim.) / Léthargie (path.) / Leucophlegmatie (pathol.) / Leucorrhée (méd.) [P. Caffe]
354	0094	4806263	Leucorrhée (méd.) [P. Caffe]
355	0095	4806264	Leucorrhée (méd.) [P. Caffe] / Levain (chim.) / Levier (physiq.) [J. B.]
356	0096	4806265	Levier (physiq.) [J. B.] / Lévigation (Pharm.) / Lèvres (anat. et path.) [J. P. Beaude]
357	0097	4806266	Lèvres (anat. et path.) [J. P. Beaude] / Lichen (bot. et mat. méd.) [J. P. Beaude]
358	0098	4806267	Lichen (bot. et mat. méd.) [J. P. Beaude] / Liége (bot.) [J. B.] / Lienterie (pathol.)
359	0099	4806268	Lierre (bot. et mat. méd.) [J. B.] / Lierre terrestre (bot. et mat. méd.) [J. B.] / Ligament (anat.) [E. Beaugrand] / Ligature (chir.) [J. B.] / Ligne. (anat.) [J. B.] / Lilas, (bot.) [J. B.]
360	0100	4806269	Lilas, (bot.) [J. B.] / Limaçon / Limaille de fer / Limon. (bot. et mat. méd.) / Limonade (pharm.) [J. B.] / Limonadiers (maladies des) (hyg.) [Chevalier] / Lin cultivé (bot. et mat. méd.) [T. Couverchel]
361	0101	4806270	Lin cultivé (bot. et mat. méd.) [T. Couverchel] / Lingual. (anat.) / Liniment. (phar.) [J. B.] / Liqueurs / Litharge / Lobe, Lobule. (anat.) / Lobélie (bot. et mat. méd.) [J. B.]
362	0102	4806271	Lobélie (bot. et mat. méd.) [J. B.] / Lochies. (accouch.) [P. Caffe]
363	0103	4806272	Locomotion (physiol.) [J. P. Beaude]
364	0104	4806273	Locomotion (physiol.) [J. P. Beaude] / Lombaire. (anat.) [J. B.] / Lombago ou plutôt Lumbago / Lombes (anat.) / Lombric (zool.) / Long (anat.) [J. B.] / Longévité (physiol.) [Landouzy de Reims]
365	0105	4806274	Longévité (physiol.) [Landouzy de Reims]
366	0106	4806275	Longévité (physiol.) [Landouzy de Reims]
367	0107	4806276	Longévité (physiol.) [Landouzy de Reims] / Looch (pharm.) / Lotion (hyg. et thérap.) [J. B.] / Loupe (path. chir.) [J. P. Beaude]
368	0108	4806277	Loupe (path. chir.) [J. P. Beaude]
369	0109	4806278	Loupe (path. chir.) [J. P. Beaude] / Luette (anat.) [E. Beaugrand] / Lumière (physiq.) / Lunatique / Lunettes (physiq. méd.) [J. B.]
370	0110	4806279	Lunettes (physiq. méd.) [J. B.] / Lupin. (bot.) [J. B.] / Lupus (path.) / Luxation (chir.) [V. Gerdy]
371	0111	4806280	Luxation (chir.) [V. Gerdy]
372	0112	4806281	Luxation (chir.) [V. Gerdy]
373	0113	4806282	Luxation (chir.) [V. Gerdy] / Luxueil (eaux minérales de) [J. P. Beaude]
374	0114	4806283	Luxueil (eaux minérales de) [J. P. Beaude] / Lycanthropie (méd.) / Lycopode (mat. méd.) [J. B.] / Lymphatiques (système et vaisseaux) (anat. physiol. et path.) [A. Hardy]
375	0115	4806284	Lymphatiques (système et vaisseaux) (anat. physiol. et path.) [A. Hardy]
376	0116	4806285	Lymphatiques (système et vaisseaux) (anat. physiol. et path.) [A. Hardy]
377	0117	4806286	Lymphatiques (système et vaisseaux) (anat. physiol. et path.) [A. Hardy]
