page	refimg	numauto	chapitre
134	0133	5590472	Cotons
135	0134	5590473	Cotons
136	0135	5590474	Cotons
137	0136	5590475	Cotons
138	0137	5590476	Cotons
139	0138	5590477	Cotons
140	0139	5590478	Cotons
141	0140	5590479	Cotons
142	0141	5590480	Cotons
143	0142	5590481	Cotons
144	0143	5590482	Cotons
145	0144	5590483	Cotons
146	0145	5590484	Cotons
147	0146	5590485	Cotons
148	0147	5590486	Cotons
149	0148	5590487	Cotons
150	0149	5590488	Cotons
151	0150	5590489	Cotons / Couac / Coudrier / Coui
152	0151	5590490	Coui / Couleuvre / Coumarine / Coumarou / Coumou / Couperoses
153	0152	5590491	Couperoses / Courbaril / Courge / Courge / Couronne impériale
154	0153	5590492	Couronne impériale / Couturier / Craies / Cran de Bretagne / Cranson / Crapaudine
155	0154	5590493	Crabes de terre / Cram / Crayon / Crême
156	0155	5590494	Crème / Crème de tartre
157	0156	5590495	Crème de tartre / Cressons
158	0157	5590496	Cressons / Crins
159	0158	5590497	Crins / Crinoline / Cristaux
160	0159	5590498	Cristaux
161	0160	5590499	Cristaux / Criste marine / Crocus métallorom / Crocus sativus / Crocus vernus / Croisette
162	0161	5590500	Croisette / Cron / Crotalaire / Croton / Cruches rafraichissantes / Crysocolle bleue / Crysocolle verte
163	0162	5590501	Crysolithe / Cubèbes / Cucubalus
164	0163	5590502	Cucubalus / Cubeard / Cuirs
165	0164	5590503	Cuirs
166	0165	5590504	Cuirs
167	0166	5590505	Cuirs
168	0167	5590506	Cuirs
169	0168	5590507	Cuirs / Cuivre
170	0169	5590508	Cuivre
171	0170	5590509	Cuivre
172	0171	5590510	Cuivre
173	0172	5590511	Cuivre
174	0173	5590512	Cuivre / Culibalan / Cumin
175	0174	5590513	Cumin / Cuning / Cunyet / Curage / Curculio / Curare
176	0175	5590514	Curare / Curaçao / Curcuma
177	0176	5590515	Curcuma
178	0177	5590516	Curcuma / Cuscute
179	0178	5590517	Cuscute / Cusparé / Cyanite / Cyano-ferrures
180	0179	5590518	Cyano-ferrures / Cyanogène / Cyano-sulfure / Cyanures / Cyclamen
181	0180	5590519	Cyclamen / Cydonium / Cymophane / Cynocoprus / Cynoglosse / Cynorrhodon / Cyprès / Cytinus hypocistis / Cytisne
182	0181	5590520	Daguet / Dahlia / Dahline / Daim
183	0182	5590521	Daim / Danais / Dante / Daourite / Daphné / Daphnine
184	0183	5590522	Dattes
185	0184	5590523	Dattes
186	0185	5590524	Datura stramonium / Daturine / Daucus / Dauphin / Daurade / Dégras / Delphinite / Demant
187	0186	5590525	Demant / Dentristes / Dendrolythe / Dents
188	0187	5590526	Dents
189	0188	5590527	Dents
190	0189	5590528	Dents / Dentaire / Dentale
191	0190	5590529	Dentelaire / Derle / Derme / Deutiodures / Deuto-chlorures / Deuto-phosphures / Deuto-sulfures / Dextrine / Diagréde / Diallage
192	0191	5590530	Diamants
193	0192	5590531	Diamants
194	0193	5590532	Diamants
195	0194	5590533	Diamants
196	0195	5590534	Diamants / Dibidivi
197	0196	5590535	Dictame
198	0197	5590536	Dictame / Digitale pourprée
199	0198	5590537	Digitale pourprée / Digitaline / Dioptase / Diosma / Dips / Dipterix odorata / Dipyre / Disthone
200	0199	5590538	Disthone / Docimasie / Dolomie / Dompte-venin
201	0200	5590539	Dompte-venin / Dora / Doradille / Doronic
202	0201	5590540	Doronic / Double-feuille / Douce-amère
203	0202	5590541	Douce-amère / Doucette / Dourah / Douve / Douves / Dragées
204	0203	5590542	Dragées / Drapeaux / Drapier / Dragon / Drèche / Droguerie / Dromadaire
205	0204	5590543	Dromadaire / Duvet
206	0205	5590544	Duvet
207	0206	5590545	Duvet
208	0207	5590546	Eau
209	0208	5590547	Eau
210	0209	5590548	Eau
211	0210	5590549	Eau
212	0211	5590550	Eau
213	0212	5590551	Eau
214	0213	5590552	Eau
215	0214	5590553	Eau
216	0215	5590554	Eau
217	0216	5590555	Eau
218	0217	5590556	Eau
219	0218	5590557	Eau
220	0219	5590558	Eau
221	0220	5590559	Eau
222	0221	5590560	Eau
223	0222	5590561	Eau
224	0223	5590562	Eau
225	0224	5590563	Eau
226	0225	5590564	Eau
227	0226	5590565	Eau
228	0227	5590566	Eau
229	0228	5590567	Eau / Ébène / Ébène vert / Ébène rouge / Écailles
230	0229	5590568	Écailles
231	0230	5590569	Écailles / Echalotte
232	0231	5590570	Echalotte / Échinope / Éclaire / Ecorces
233	0232	5590571	Ecorces
234	0233	5590572	Ecorces
235	0234	5590573	Ecorces
236	0235	5590574	Ecorces
237	0236	5590575	Ecorces
238	0237	5590576	Ecorces / Écrevisses / Écuelle d'eau
239	0238	5590577	Écuelle d'eau / Écume / Édredon / Égagropiles
240	0239	5590578	Eglantier / Eider / Ekme / Elaine / Elais guinéensis / Elan / Elaterium / Électrum / Élemi / Élemine / Éléphant
241	0240	5590579	Éléphant / Élianthême / Élixirs / Ellébore
