page	refimg	chapitre
121	0120	Hecquet (Philippe) - Hedwig (Jean)
122	0121	Hedwig (Jean)
123	0122	Hedwig (Jean)
124	0123	Hedwig (Jean)
125	0124	Hedwig (Jean) - Hedwig (Romain-Adolphe)
126	0125	Hedwig (Romain-Adolphe) - Heers (Henri de) - Heerkens (Gérard-Nicolas)
127	0126	Heffter (Jean-Charles) - Heilmann (Gabriel) - Heim (Ernest-Louis)
128	0127	Heim (Ernest-Louis) - Heimreich (Jean) - Heineken (Jean)
129	0128	Heineken (Jean) - Heins (Antoine)
130	0129	Heins (Antoine) - Heins (Nicolas de) - Heinse (Charles-Théophile) - Heinsius (Jean-Auguste)
131	0130	Heinsius (Jean-Auguste) - Heister (Elie-Frédéric) - Heister (Laurent)
132	0131	Heister (Laurent) 
133	0132	Heister (Laurent) 
134	0133	Heister (Laurent) 
135	0134	Heister (Laurent) 
136	0135	Heister (Laurent) 
137	0136	Heister (Laurent) 
138	0137	Heister (Laurent) - Helcher (Jean-Henri)
139	0138	Helcher (Jean-Henri) - Held (Jean-Nicolas) - Held de Hagelsheim (Godefroy)
140	0139	Held de Hagelsheim (Godefroy) - Héliodore - Hellmann (Jean-Gaspard) - Hellot (Jean)
141	0140	Hellwaag (Christophe-Frédéric) - Hellwig (Christophe de)
142	0141	Hellwig (Christophe de) - Hellwig (Christophe de)
143	0142	Hellwig (Christophe de)
144	0143	Hellwig (Christophe de)
145	0144	Hellwig (Christophe de) - Hellwig (Georges-André)
146	0145	Hellwig (Jean) - Hellwig (Jean-Otton de)
147	0146	Hellwig (Jean-Otton de) - Helmershausen (Paul-Jean-Frédéric) - Helmont (Jean-Baptiste de)
148	0147	Helmont (Jean-Baptiste de)
149	0148	Helmont (Jean-Baptiste de)
150	0149	Helmont (Jean-Baptiste de)
151	0150	Helmont (Jean-Baptiste de)
152	0151	Helmont (Jean-Baptiste de) - Helvetius (Jean-Adrien)
153	0152	Helvetius (Jean-Adrien) - Helvetius (Jean-Claude-Adrien)
154	0153	Helvetius (Jean-Claude-Adrien) - Helvetius (Jean-Frédéric)
155	0154	Helvetius (Jean-Frédéric) - Hemming (Sixte de) - Hempel (Jean-Godefroy) - Hemsterhuys (Sibold-Tibère)
156	0155	Henckel (Jean-Christophe) - Henckel (Jean-Frédéric)
157	0156	Henckel (Jean-Frédéric) - Henisch (Georges) - Henke (Adolphe-Chrétien-Henri)
158	0157	Henke (Adolphe-Chrétien-Henri) - Henkel (Jean-Frédéric)
159	0158	Henkel (Jean-Frédéric) - Henning (Frédéric) - Henninger (Jean-Sigismond)
160	0159	Henninger (Jean-Sigismond) - Hennings (Guillaume) - Henriques (Henri-Georges) - Hensing (Frédéric-Guillaume)
161	0160	Hensing (Frédéric-Guillaume) - Hensing (Jean-Thomas) - Hensler (Philippe-Gabriel)
162	0161	Hensler (Philippe-Gabriel)
163	0162	Hensler (Philippe-Gabriel) - Heraclide
164	0163	Heraclide - Heraclide - Heraclide - Heras - Herbst (Jean-Frédéric-Guillaume)
165	0164	Herbst (Jean-Frédéric-Guillaume) - Heredia (Pierre-Michel de)
166	0165	Heredia (Pierre-Michel de) - Herlich (David)
167	0166	Herlich (David) - Herissant (François-David)
168	0167	Herissant (François-David) - Hérissant (Louis-Antoine-Prosper) - Hermann (Jean)
169	0168	Hermann (Jean)
170	0169	Hermann (Jean) - Hermann (Jean-Bernard) - Hermann (Paul)
171	0170	Hermann (Paul) - Hermanni (Jean-Louis) - Hermbstaedt (Sigismond-frédéric)
172	0171	Hermbstaedt (Sigismond-frédéric)
173	0172	Hermbstaedt (Sigismond-frédéric) - Hermondaville (Henri de) - Hernandez (François) 
174	0173	Hernandez (François) - Herodicus - Hérodote - Hérophile
175	0174	Hérophile - Herrenschwand (Jean-Frédéric de)
176	0175	Herrenschwand (Jean-Frédéric de) - Herrera (Christophe-Perez de) - Hertodt de Todtenfeld (Jean-Ferdinand) - Hery (Thierry de)
177	0176	Hery (Thierry de) - Herz (Marc)
178	0177	Herz (Marc) - Herzog (Jean-Gotthelf)
179	0178	Herzog (Jean-Gotthelf) - Hett (Benoit-Gaspard) - Hettler (Jean-Philippe) - Heurn (Jean de)
180	0179	Heurn (Jean de) 
181	0180	Heurn (Jean de) - Heurn (Otton de) - Heurteloup (Nicolas)
182	0181	Heurteloup (Nicolas)
183	0182	Heurteloup (Nicolas) - Hévin (Prudent)
184	0183	Hévin (Prudent)
185	0184	Hewson (Guillaume) - Heyden (Germain de) 
186	0185	Heyden (Germain de) - Haerne (Urbain) 
187	0186	Haerne (Urbain) - Hicesius - Highmore (Nathanael)
188	0187	Highmore (Nathanael) - Hilchen (Louis-Henri-Léon) - Hildebrandt (Georges-Frédéric)
189	0188	Hildebrandt (Georges-Frédéric) - Hildebrand (Valentin-Jean de)
190	0189	Hildebrand (Valentin-Jean de) - Hill (Jean)
191	0190	Hill (Jean)
192	0191	Hill (Jean)
193	0192	Hill (Jean)
194	0193	Hill (Jean)
195	0194	Hill (Jean) - Hilscher (Simon-Paul)
196	0195	Hilscher (Simon-Paul)
197	0196	Hilscher (Simon-Paul)
198	0197	Hilscher (Simon-Paul) - Himly (Charles) 
199	0198	Himly (Charles) - Hinderer (Georges-Conrad) - Hinze (Auguste-Humbert)
200	0199	Hippocrate
201	0200	Hippocrate
202	0201	Hippocrate
203	0202	Hippocrate
204	0203	Hippocrate
205	0204	Hippocrate
206	0205	Hippocrate
207	0206	Hippocrate
208	0207	Hippocrate
209	0208	Hippocrate
210	0209	Hippocrate
211	0210	Hippocrate
212	0211	Hippocrate
213	0212	Hippocrate
214	0213	Hippocrate
215	0214	Hippocrate
216	0215	Hippocrate
217	0216	Hippocrate
218	0217	Hippocrate
219	0218	Hippocrate
220	0219	Hippocrate
221	0220	Hippocrate
222	0221	Hippocrate
223	0222	Hippocrate
224	0223	Hippocrate
225	0224	Hippocrate
226	0225	Hippocrate
227	0226	Hippocrate
228	0227	Hippocrate
229	0228	Hippocrate
230	0229	Hippocrate - Hirschel (Léon-Elie) - Hirsching (Guillaume-Simon-Chrétien)
231	0230	Hirsching (Guillaume-Simon-Chrétien) - Hirzel (Jean-gaspard)
232	0231	Hirzel (Jean-gaspard) - Hoboken (Nicolas de)
233	0232	Hoboken (Nicolas de) - Hock (Wendelin)
234	0233	Hock (Wendelin) - Hodges (Nathanael) - Hoechstetter (Philippe)
235	0234	Hoechstetter (Philippe) - Hoefer (Wolfgang) - Hoenn (Jean-Corneille) - Hoepfner (Jean-Georges-Albert)
236	0235	Hoepfner (Jean-Georges-Albert) - Hoessle (Jean-Georges) - Hoffinger (Jean-Georges) - Hoffmann (Christophe-Louis)
237	0236	Hoffmann (Christophe-Louis)
238	0237	Hoffmann (Christophe-Louis) - Hoffmann (Christophe-Théophile) - Hoffmann (Frédéric)
239	0238	Hoffmann (Frédéric)
240	0239	Hoffmann (Frédéric)
241	0240	Hoffmann (Frédéric)
242	0241	Hoffmann (Frédéric)
