livanc.clenum
2960	47667x06	Panckoucke Biogr. 6	1824
2961	47667x07	Panckoucke Biogr. 7	1825
2963	30944x01	Le Vacher 1	1767
2964	30944x02	Le Vacher 2	1767
3110	146144x01	Eloy 1	1778
3111	146144x02	Eloy 2	1778
3112	146144x03	Eloy 3	1778
3113	146144x04	Eloy 4	1778
3391	00216x01	James 1	1746
3392	00216x02	James 2	1746
3394	00216x04	James 4	1746
3396	00216x06	James 6	1746
2919	34820x03	Adelon 2e ed. 3	1833
3315	37020c	Nysten 1865	1865
2444	61157	Bégin et al. (1823)	1823
2691	34826x15	Andral 15	1836
2918	34820x02	Adelon 2e ed. 2	1833
2956	47667x02	Panckoucke Biogr. 2	1820
4337	32546	Hélian	1771
3313	37020b	Nysten 1855	1855
3314	37020d	Littré 1873	1873
3311	27518	Bouchut	1867
1613	47661x13	Panckoucke 13	1815
3489	extbnfdechambrex001	Dechambre 1	1864
3490	extbnfdechambrex002	Dechambre 2	1865
3491	extbnfdechambrex003	Dechambre 3	1869
3492	extbnfdechambrex004	Dechambre 4	1870
3493	extbnfdechambrex005	Dechambre 5	1870
3494	extbnfdechambrex006	Dechambre 6	1876
3495	extbnfdechambrex007	Dechambre 7	1876
3496	extbnfdechambrex008	Dechambre 8	1876
3497	extbnfdechambrex009	Dechambre 9	1868
3498	extbnfdechambrex010	Dechambre 10	1869
3499	extbnfdechambrex011	Dechambre 11	1870
3500	extbnfdechambrex012	Dechambre 12	1874
3501	extbnfdechambrex013	Dechambre 13	1874
3502	extbnfdechambrex014	Dechambre 14	1873
3503	extbnfdechambrex015	Dechambre 15	1874
3504	extbnfdechambrex016	Dechambre 16	1874
3505	extbnfdechambrex017	Dechambre 17	1875
3506	extbnfdechambrex018	Dechambre 18	1876
3507	extbnfdechambrex019	Dechambre 19	1876
3508	extbnfdechambrex020	Dechambre 20	1877
3509	extbnfdechambrex021	Dechambre 21	1878
3510	extbnfdechambrex022	Dechambre 22	1879
3511	extbnfdechambrex023	Dechambre 23	1879
3512	extbnfdechambrex024	Dechambre 24	1880
