terme,"IF(AVG(dico_titre) = 3, 'en', if(AVG(dico_titre) = 4, 'fr', 'en-fr'))"
"Carduus domesticus",en
"Carduus fullonum",en
"Carduus stellatus",en
"Carduus veneris",en
"Carduus xeranthemus",en
Carebaria,en-fr
Carena,en-fr
Carenum,en-fr
Caretti,en-fr
Careum,en-fr
Carica,en-fr
Caricum,en-fr
Carides,en-fr
Caries,en-fr
Carim-curini,en-fr
Carimpana,en-fr
Carina,en-fr
"Carium terrae",en-fr
Carlina,en-fr
Carmen,en-fr
Carmes,en-fr
Carmin,en-fr
Carminantia,en-fr
carminativa,fr
Carmot,en-fr
Carnabadium,en-fr
"Carneolus lapis",en-fr
Carnicula,en-fr
Carnifex,en-fr
Carniformis,en
"Carniformis abcessus",fr
Carnit,en-fr
Carnivorus,en-fr
Carnosa,en
"Carnosa cutis",fr
Caro,en-fr
Caroba,en-fr
Caroenum,en-fr
Caroli,en-fr
carora,fr
Caros,en-fr
Carosis,en-fr
Carota,en-fr
Caroticus,en-fr
Carotides,en-fr
Caroum,en-fr
Carpasus,en-fr
carpata,fr
Carpentaria,en-fr
Carpesium,en-fr
Carphaleon,en-fr
Carphus,en-fr
Carpia,en-fr
Carpinus,en-fr
Carpio,en-fr
Carpobalsamum,en-fr
Carpos,en-fr
Carpus,en
Carsia,en-fr
Carthamus,en-fr
Cartilago,en-fr
Carui,en
Caruifolia,en
Carum,en-fr
Caruncula,en-fr
Carus,en-fr
Carvi,fr
Carvifolia,fr
Carvinum,en-fr
Carya,en-fr
Caryce,en-fr
Carychus,en-fr
Carycia,en-fr
Carycoidea,en-fr
"Caryedon catagma",en-fr
Caryites,en-fr
Caryoces,en-fr
"Caryocostinum electuarium",en-fr
Caryon,en-fr
Caryophyllata,en-fr
Caryophyllus,en-fr
Caryosse,en-fr
Caryoti,en-fr
Casamum,en-fr
Cascarilla,en-fr
Caschu,en-fr
Caseus,en-fr
Caseus.Casia,fr
Casia,en
Casibo,en-fr
Casminaris,en-fr
casmunar,fr
Cassa,en-fr
Cassale,en-fr
Cassamum,en-fr
Cassatum,en-fr
Cassavi,en-fr
Cassia,en-fr
Cassibor,en-fr
Cassida,en-fr
Cassidbott,en-fr
Cassine,en-fr
Cassita,en-fr
Cassiteros,en-fr
Cassius,en-fr
Cassoleta,en-fr
Cassouvarius,en-fr
Cassummuniar,en-fr
Cassutha,en-fr
Cassyma,en-fr
Castalticum,en-fr
Castanea,en-fr
Castastalticus,fr
Castor,en-fr
Castratio,en-fr
Castrensis,en-fr
Casus,en-fr
Catablema,en-fr
Catacerasticos,en-fr
Catachloos,en-fr
Catachresis,en-fr
Catachriston,en-fr
Catachysis,en-fr
Cataclasis,en-fr
Catacleis,en-fr
Cataclines,en-fr
Cataclysma,en-fr
Cataclysmi,en-fr
Catacores,en-fr
Cataeonesis,en-fr
Cataglyphe,en-fr
Catagma,en-fr
Catagmatica,en-fr
Catagoge,en-fr
Catalentia,en-fr
Catalepsis,en-fr
Catalotica,en-fr
Catalysis,en-fr
Catamenia,en-fr
Catamosas,en-fr
Catanance,en-fr
Catangelie,en-fr
Catantia,en-fr
Catantlema,en-fr
Catantlesis,en-fr
Catapasma,en-fr
Catapasmus,en-fr
catapastum,fr
Cataphora,en-fr
Cataphracta,en-fr
Cataplasma,en-fr
Cataplexis,en-fr
Cataposis,en-fr
Catapotium,en-fr
Catapsyxis,en-fr
Cataptosis,en-fr
Cataputia,en-fr
Cataracta,en-fr
Cataria,en-fr
Catarrhecticus,en-fr
Catarrheuma,en-fr
Catarrhexis,en-fr
Catarrhoecus,en-fr
Catarrhopia,en-fr
Catarrhus,en-fr
Catartismus,en-fr
Catasarca,en-fr
Catasceue,en-fr
Cataschasmos,en-fr
Cataseisis,en-fr
Catastagmos,en-fr
Catastalagmos,en-fr
Catastalticus,en
Catastasis,en-fr
Catastema,en-fr
Catastole,en-fr
Catastus,en-fr
Catatasis,en-fr
Catatripsis,en-fr
Cataudesis,en-fr
Cataxa,en-fr
Cate,en-fr
Catechesis,en-fr
Catechu,en-fr
Cateiadion,en-fr
Catellus,en-fr
Cathaeresis,en-fr
Cathaeretica,en-fr
Catharma,en-fr
Catharmos,en-fr
Catharos,en-fr
Catharsis,en-fr
Cathartica,en-fr
Catheautonperas,en-fr
Cathectice,en-fr
Cathedra,en-fr
Cathemerinos,en-fr
Cathestecos,en-fr
Catheter,en-fr
Catheterismus,en-fr
Cathidrysis,en-fr
Cathimia,en-fr
Cathmia,en
"Cathmia affidia",fr
Cathochites,en-fr
Cathodos,en-fr
Catholceus,en-fr
Catholicus,en-fr
Cathygros,en-fr
Cathypnia,en-fr
Catias,en-fr
Catillia,en-fr
"Catillus cinereus",en-fr
Catimia,en-fr
Catinum,en
"Catinum alumen",fr
"Catinus fusorius",en-fr
Catischon,en-fr
Catma,en-fr
Catoblecta,en
"Catoblecta animalia",fr
Catoblepas,en-fr
catoblepon,fr
Catocathartica,en-fr
Catoche,en-fr
Catocheilon,en-fr
Catochites,en-fr
Catodon,en-fr
Catoecidios,en-fr
Catomismos,en-fr
Catopter,en-fr
Catorchites,en-fr
Catoretica,en-fr
Catoxys,en-fr
Catrobil,en-fr
Cattu-schiragam,en-fr
Catulotica,en-fr
Catulus,en-fr
Catus,en-fr
Caucafon,en-fr
Caucalis,en-fr
Caucaloides,en-fr
Caucium,en-fr
Cauda,en-fr
Caudatio,en-fr
Caudex,en
"Caudex stipes",fr
Cauledon,en-fr
Caulias,en-fr
Caulis,en-fr
Cauloton,en-fr
Cauma,en-fr
Caunga,en-fr
Causa,en-fr
Causis,en-fr
Causodes,en
"Causodes febris",fr
Causoma,en-fr
Caustica,en-fr
Causus,en-fr
Cauteres-aquae,fr
Cauterisatio,en-fr
Cauterium,en-fr
Cava,en
"Cava vena",fr
Cavalam,en-fr
Caverna,en-fr
Caviarium,en-fr
Cavicula,fr
"Cavicula or Cavilla",en
cavilla,fr
Cavus,en-fr
Caymanes,en-fr
Ceanothos,en-fr
Ceasma,en-fr
Cebi,en
"Cebi gallinae",fr
Cebi-pira,fr
Cebipira,en
Cebus,en-fr
Cecis,en-fr
Cecryphalos,en-fr
Cedmata,en-fr
Cedraeleum,fr
Cedrelaeum,en
Cedrelate,en
Cedrelatum,fr
Cedria,en-fr
Cedrinum,en
"Cedrinum vinum",fr
Cedris,en-fr
Cedrites,en-fr
Cedro,en-fr
Cedromela,en
Cedromella,fr
Cedronella,en
Cedrus,en-fr
Cedue,en-fr
Cedurini,en-fr
Ceiriae,en-fr
Celastrus,en-fr
Celatus,en
"Celatus aer",fr
Cele,en-fr
Celery,en-fr
Celifoli,en-fr
Celis,en-fr
Cella,en-fr
Cellula,en-fr
"Cellulosa membrana",en-fr
Celsa,en-fr
Celsus,en-fr
Celtis,en-fr
Cembro,en-fr
Cementatio,en-fr
Cementerium,en-fr
Cementum,en-fr
Cenchramis,en-fr
Cenchrias,en-fr
Cenchrites,en-fr
Cenchros,en-fr
Ceneangia,en-fr
Cenebria,en-fr
Ceneones,en-fr
Cenificatum,en-fr
Cenigdam,en-fr
cenigotam,fr
Ceniotemium,en-fr
Ceniplam,en-fr
cenipolam,fr
Cenosis,en-fr
Centaurium,en
"Centaurium majus",fr
Centimorbia,en-fr
Centinervia,en-fr
Centinodia,en-fr
Centratio,en-fr
Centrion,en-fr
Centrum,en-fr
"Centum cellis",en-fr
Centunculus,en-fr
Cepa,en-fr
Cepaea,en-fr
Cepastrum,en-fr
Cephalaea,en-fr
Cephalalgia,en-fr
Cephalartica,en-fr
Cephale,en-fr
Cephalicus,en-fr
Cephaline,en-fr
Cephalo-pharyngaeus,en-fr
Cephaloides,en-fr
Cephalonosos,en-fr
Cephaloponia,en-fr
Cephalos,en-fr
Cephalotos,en-fr
Cephalotrotos,en-fr
Cepini,en-fr
Cepula,en-fr
Cera,en-fr
Ceraeae,en-fr
Cerago,en-fr
Ceramice,en-fr
ceramitis,fr
Ceramium,en-fr
Ceramos,en-fr
Ceranites,en-fr
Ceranthemus,en-fr
Cerare,en-fr
Ceras,en-fr
Cerasiatum,en-fr
Cerasion,en-fr
Cerasios,en-fr
Cerasma,en-fr
Cerastes,en-fr
Cerasus,en-fr
Ceratia,en-fr
Ceratio,en-fr
Ceratites,en-fr
Ceratitis,en-fr
Ceratium,en
Ceratoglossus,en-fr
Ceratoides,en-fr
Ceratomalagma,en-fr
Ceratonia,en-fr
Ceratophyllon,en-fr
Ceratum,en-fr
Ceraunia,en-fr
Cerauno-chrysos,en-fr
Cerberus,en
"Cerberus triceps",fr
Cerchnaleos,en-fr
Cerchnos,en-fr
Cercio,en-fr
Cercis,en-fr
Cercopes,en-fr
Cercopithecus,en-fr
Cercosis,en-fr
Cerdac,en-fr
Cerea,en
Cerealia,en-fr
Cerebellum,en-fr
Cerebrum,en-fr
Cerefactio,en-fr
Cerefolium,en-fr
Cereiba,en-fr
Cereibuna,en-fr
Cerelaeum,en-fr
Cereus,en-fr
Cerevisia,en-fr
Cerificatio,en-fr
Cerinthe,en-fr
Cerinthoides,fr
Cerio,en-fr
Cerion,en-fr
Ceritus,fr
"Ceritus or Cerritus",en
Cernua,en-fr
Cerober,en-fr
Ceroma,en-fr
Ceroneum,en-fr
Ceropissus,en-fr
Cerotum,en-fr
cerritus,fr
Cerrus,en-fr
Cerumen,en-fr
Cerusiana,en-fr
Cerussa,en-fr
Cerussea,en
"Cerussea urina",fr
Cervaria,en-fr
Cervicalis,en-fr
Cervicaria,en-fr
Cerviculae,en
"Cerviculae spiritus",fr
Cervix,en-fr
Cervus,en-fr
Cesalpina,fr
Cestreus,en-fr
Cestrites,en
"Cestrites vinum",fr
Cestrum,en-fr
Cetaceus,en-fr
Cete,en-fr
Ceterach,en-fr
cetus,fr
Cevadilla,en-fr
Cevillus,en-fr
Chaa,en-fr
Chacef,en-fr
Chaerophyllum,en-fr
Chafar,en
"Chafar alpini",fr
Chaita,en-fr
chalandra,fr
Chalasis,en-fr
Chalasticos,en-fr
Chalaza,en-fr
Chalbane,en-fr
Chalcanthum,en-fr
Chalcedonius,en-fr
Chalceion,en-fr
Chalcidica,en
"Chalcidica lacerta",fr
Chalcitis,en-fr
Chalcos,en-fr
Chalcus,en-fr
Chalcute,en-fr
Chalepos,en-fr
Chalicraton,en-fr
Chalinos,en
Chalybs,en-fr
Chama,en-fr
Chamaeacte,en-fr
Chamaebalanus,en
"Chamaebalanus leguminosa",fr
Chamaebatos,en-fr
Chamaebuxus,en-fr
Chamaecedrys,en-fr
Chamaecerasus,en-fr
Chamaecissus,fr
Chamaecistus,en-fr
Chamaeclema,en-fr
Chamaecrista,en-fr
Chamaecyparissus,en
Chamaecyparyssus,fr
Chamaedaphne,en-fr
Chamaedrops,en-fr
Chamaedryites,en-fr
Chamaedrys,en-fr
Chamaeficus,en-fr
Chamaefilix,en-fr
Chamaegenista,en-fr
Chamaeiasme,en
"Chamaeiasme alpina",fr
Chamaeiris,en-fr
Chamaeitea,en-fr
Chamaelaea,en-fr
Chamaelaeagnus,en-fr
Chamaelaites,en-fr
Chamaelarix,en-fr
Chamaeleon,en-fr
Chamaeleuce,en-fr
Chamaelinum,en-fr
Chamaemalus,en-fr
Chamaemelum,en-fr
Chamaemespilus,en-fr
Chamaemorus,en-fr
Chamaenerion,en-fr
Chamaeorchis,en-fr
Chamaepericlymenum,en-fr
Chamaepeuce,en-fr
Chamaepituinum,en
"Chamaepituinum vinum",fr
Chamaepitys,en-fr
Chamaeplion,en-fr
Chamaepyxos,en-fr
Chamaeraphanum,en-fr
Chamaeriphes,en-fr
Chamaerododendros,en-fr
Chamaerops,en-fr
Chamaerubus,en-fr
Chamaesyce,en-fr
Chamaezelos,en-fr
Chambar,en-fr
Chambelech,en-fr
Chambroch,en-fr
Chamelaea,en-fr
Chameunia,en-fr
Champacam,en-fr
Chancre,en-fr
Channa,en-fr
Chanterella,en-fr
Chaomantia,en-fr
Chaos,en-fr
Chaosda,en-fr
Chaova,en-fr
Chara,en-fr
Charabe,en-fr
Characias,en-fr
Characta,en-fr
Character,en-fr
Charadrius,en-fr
Charamais,en-fr
Charantia,en-fr
Charcedonius,en
"Charcedonius lapis",fr
Charien,en-fr
Charistolochia,en-fr
Charme,en-fr
charmis,fr
Charonius,en-fr
"Charta virginea",en-fr
Chasme,en-fr
Chate,en-fr
Chauliodonta,en-fr
Chaunos,en-fr
Chedropa,en-fr
Cheilocace,en-fr
Cheilos,en-fr
Cheimetlon,en-fr
Cheimia,en-fr
Cheimon,en-fr
Cheir,en-fr
Cheirapsia,en-fr
Cheiri,en-fr
Cheiriater,en-fr
Cheirisma,en-fr
Cheirixis,en-fr
Cheironomia,en-fr
Cheizi,en-fr
Chela,en-fr
Chelidon,en-fr
Chelidonium,en
"Chelidonium majus",fr
Chelidonius,en-fr
Chelone,en-fr
Chelonites,en-fr
Chelonium,en-fr
Chelys,en-fr
Chelyscion,en-fr
Chema,en-fr
Chemaecissus,en
Chemes,fr
Chemia,en-fr
Chemosis,en-fr
Chenalopex,en-fr
Chenocoprus,en-fr
Chenopodio-morus,en-fr
Chenopodium,en-fr
Chenopus,en-fr
Cheopina,en-fr
Cheramis,en-fr
Cheras,en-fr
Cherefolium,en-fr
Cherio,en-fr
Cherionium,en-fr
Chermes,en-fr
"Chermes mineralis",fr
Chernibion,en
Chernibium,fr
Chersa,en-fr
Chersaea,en
Chersea,fr
Chersydrus,en-fr
Cheruhunda,en-fr
Cherva,en-fr
Cheusis,en-fr
cheyri,fr
Chezanance,en-fr
"Chia terra",en-fr
"Chiacum collyrium",en-fr
Chiadus,en-fr
Chiasmos,en-fr
Chiastos,en-fr
Chibou,en-fr
Chibur,en-fr
Chiffir,en-fr
Chifir,en-fr
Chiliodynamon,en-fr
Chiliophyllon,en-fr
Chilli,en-fr
Chilon,en-fr
Chimalath,en-fr
Chimalatl,en-fr
Chimethlon,en-fr
Chimia,en-fr
Chimicophanta,fr
"Chimolea laxa",en-fr
Chimus,en-fr
China,en-fr
Chinense,en-fr
Chinisci,en-fr
Chioli,en-fr
Chiragra,en-fr
Chirapsia,en-fr
Chiromantia,en-fr
Chironax,en-fr
chironia,fr
Chironium,en-fr
Chironomia,en-fr
Chirotechnes,en-fr
Chirotribia,en-fr
Chirurgia,en-fr
Chist,en-fr
Chiton,en-fr
"Chium vinum",en-fr
Chivef,en
"Chivef theveti",fr
Chives,en
Chivets,en-fr
Chlaena,en-fr
Chliaros,en-fr
Chliasma,en-fr
Chloe,en-fr
Chlorasma,en-fr
Chloros,en-fr
Chlorosis,en-fr
Chnus,en-fr
Choa,en-fr
Choacum,en-fr
Choana,en-fr
Choanos,en-fr
Chocolata,en-fr
Chocus,en-fr
Choenicis,en-fr
Choenix,en-fr
Choerades,en-fr
Choeradolethron,en-fr
Choiac,en-fr
Choiras,en-fr
Choiros,en-fr
Cholagoga,en-fr
Cholas,en-fr
Chole,en-fr
Choledochus,en-fr
Cholegon,en-fr
Cholera,en-fr
Cholericus,en-fr
Cholobaphinon,en-fr
Choloma,en-fr
Cholos,en-fr
Chondrilla,en-fr
Chondrilloides,en-fr
Chondros,en-fr
Chondrosyndesmus,en-fr
Chone,en-fr
Chopino,en-fr
Chora,en-fr
Chorda,en-fr
Chordapsus,en-fr
Chordata,en
"Chordata gonorrhea",fr
Chorde,en-fr
"Chorea sancti viti",en-fr
Choregia,en-fr
Chorion,en-fr
Choroides,en-fr
Chosnos,en-fr
Chouan,en-fr
Choyne,en-fr
Chrema,en-fr
Chrestos,en-fr
Chrisis,en-fr
"Christi manus",en
Christi-manus,fr
Christophoriana,en-fr
Christos,en-fr
Chroma,en-fr
Chromatismus,en-fr
Chromis,en-fr
Chronicus,en-fr
chronius,fr
Chros,en-fr
Chrysalis,en-fr
Chrysalites,en-fr
Chrysanthemoides,en-fr
Chrysanthemum,en-fr
Chrysatticum,en-fr
Chryse,en-fr
Chrysisceptrum,en-fr
"Chrysitis spodos",en-fr
Chrysobalanus,en-fr
Chrysocallia,en-fr
Chrysoceraunius,en-fr
Chrysochalcos,en-fr
Chrysocolla,en-fr
Chrysocome,en-fr
Chrysodendron,en-fr
Chrysogonia,en-fr
Chrysogonum,en-fr
Chrysolachanon,en-fr
Chrysolithus,en-fr
Chrysopasius,en
Chrysopazius,fr
"Chrysoplycius pulvis",en-fr
Chrysopoeia,en-fr
Chrysopus,en-fr
Chrysos,en-fr
Chrysosplenium,en-fr
Chrysulca,en-fr
Chrysun,en-fr
Chu,en-fr
Chus,en-fr
Chybur,en-fr
Chylarion,en-fr
Chylificatio,en-fr
Chylisma,en-fr
Chylosis,en-fr
Chylostagma,en
"Chylostagma diaphoreticum mendereri",fr
Chylus,en-fr
Chymation,en-fr
Chymia,en-fr
Chymiatria,en-fr
Chymicophanta,en
Chymolea,en-fr
Chymosum,en-fr
Chymus,en-fr
Chysis,en-fr
Chytlon,en-fr
Chytra,en-fr
Chytridion,en-fr
Chytrinos,en-fr
Cibage,en-fr
Cibarium,en-fr
"Cibarius panis",fr
Cibatio,en-fr
Cibouls,en
Cibur,en-fr
Cibus,en-fr
"Cibus albus",fr
Cicada,en-fr
Cicatricula,en-fr
Cicatrisantia,en-fr
Cicatrix,en-fr
Ciccus,en-fr
"Cicer album",en-fr
"Cicera tartari",en-fr
Cicerbita,en-fr
Cicercula,en-fr
Cicethe,en-fr
Cichorium,en-fr
Ciciliana,fr
"Ciciliana seu Siciliana",en
Cicindela,en-fr
Cicinum,en
"Cicinum oleum",fr
Cicis,en-fr
Cicla,en-fr
Cicongius,en-fr
Ciconia,en-fr
Cicuta,en-fr
Cicutaria,en-fr
Cidra,fr
"Cidra seu pomaceum",en
Cignus,en-fr
Cilia,en-fr
"Ciliare ligamentum",en-fr
Ciliaris,en
"Ciliaris musculus",fr
Cillo,en-fr
Cilo,en-fr
Cimentatio,en-fr
Cimex,en-fr
"Cimolia alba",en-fr
"Cina cinae",en-fr
Cinabaris,en-fr
Cinaedus,en-fr
Cinara,en-fr
Cinaroides,en-fr
Cinclisis,en-fr
cinclismos,fr
Cinefactio,en-fr
Cineraria,en-fr
Cinerarium,en-fr
Cineratio,en-fr
Cineritium,en-fr
Cinerula,en-fr
Cinetus,en-fr
"Cingulum sancti joannis",fr
"Cingulum sancti johannis",en
"Cingulum sapientiae",en-fr
Cinificatum,en-fr
Ciniflones,en-fr
Cinis,en-fr
cinnabar,fr
Cinnabaris,en-fr
Cinnamomum,en-fr
Cinnatus,en-fr
Cinnioglottus,en-fr
Cinnus,en-fr
Cinzilla,en-fr
Cion,en-fr
Cionia,en-fr
Cionis,en-fr
Ciporema,en-fr
Circaea,en-fr
Circius,en-fr
Circos,en-fr
Circuitus,en-fr
Circulatio,en-fr
Circulator,en-fr
Circulatorium,en-fr
Circulatum,en-fr
Circulus,en-fr
Circumcalualis,en-fr
Circumcisio,en-fr
Circumforaneus,en-fr
Circumlitio,en-fr
Circumossalis,en-fr
Circumstantia,en-fr
cirilus,fr
Cirlus,en-fr
Cirrhos,en-fr
Cirri,en-fr
Cirsium,en-fr
Cirsocele,en-fr
Cirsoides,en-fr
Cirsos,en-fr
Cissampelo,en-fr
Cissampelos,en-fr
Cissamthemos,fr
Cissanthemos,en
Cissibium,fr
Cissinum,en-fr
Cissybium,en
Cist,en-fr
Cista,en-fr
Cisterna,en-fr
Cistus,en-fr
"Cistus Ladanifera",en
Citharus,en-fr
Citra,en-fr
Citrago,en-fr
Citreum,en-fr
Citrinatio,en-fr
Citrinella,en-fr
Citrinula,en-fr
Citrinulus,en-fr
Citrones,en-fr
Citrullus,en-fr
Citta,en-fr
Cittites,en-fr
Civetta,en-fr
Clados,en-fr
Claer,en-fr
Clakis,en-fr
Clamor,en-fr
Clandestina,en-fr
Clange,en-fr
Clareta,en-fr
Claretum,en-fr
Clarificatio,en-fr
Clarum,en-fr
Clasis,en-fr
Clasma,en-fr
Claudiacon,en-fr
Claudicatio,en-fr
Claustrum,en
"Claustrum gutturis",fr
Clausura,en-fr
Clavata,en-fr
Clavatio,en-fr
"Clavellati Cineres",en-fr
clavicula,fr
Claviculae,en-fr
Clavis,en
"Clavis siliginis",fr
Clavus,en-fr
Cleidion,en-fr
Cleis,en-fr
Cleisagra,en-fr
Cleithron,en-fr
Clema,en-fr
Clematis,en-fr
Clematitis,en-fr
Cleonis,en-fr
Cleophantus,en-fr
Clepsydra,en-fr
Cliamcion,fr
Clibanus,en-fr
Clidion,en-fr
Clima,en-fr
Climacion,en
Climacter,en-fr
Climactericus,en
"Climactericus annus",fr
Climia,en-fr
Clineres,en-fr
Clinicus,en-fr
Clinoides,en-fr
Clinopetes,en-fr
Clinopodium,en-fr
Clissus,en-fr
Clistus,en-fr
Clitoridis,en-fr
Clitoris,en-fr
Cloaca,en-fr
Clonodes,en-fr
Clonos,en-fr
Clunes,en-fr
Clupea,en-fr
Clutia,en-fr
Clydon,en-fr
Clyma,en-fr
Clymenos,fr
"Clymenos dioscoridis",en
Clymenum,en-fr
"Clypealis Cartilago",en-fr
Clypeus,en-fr
Clysma,en-fr
Clyssiformis,en-fr
Clyssus,en-fr
"Clyssus antimonii",en-fr
Clyster,en-fr
clysterium,fr
Cnacos,en-fr
Cnaphos,en-fr
Cnecos,en-fr
Cnemata,en-fr
Cnemiu,en-fr
Cnemodactylaeus,en-fr
Cneoron,en-fr
"Cneoron album",fr
Cnesera,en-fr
Cnesis,en-fr
Cnesma,en-fr
Cnesmos,en-fr
Cnestron,en-fr
Cnicelaeon,en-fr
Cnicion,en-fr
Cnicus,en-fr
Cnide,en-fr
Cnidelaeon,en-fr
"Cnidia grana",en-fr
Cnidosis,en-fr
Cnipes,en-fr
Cnipotes,en-fr
Cnismos,en-fr
Cnissoregmia,en-fr
Cnyma,en-fr
Co,en-fr
Coa,en-fr
Coactio,en-fr
Coacus,en-fr
Coagulantia,en-fr
Coagulatio,en-fr
Coagulum,en-fr
Coal,en
Coalescentia,en-fr
Coalternae,en
"Coalternae febres",fr
Coapoiba,en-fr
Coarctatio,en-fr
Coarticulatio,en-fr
Coava,en-fr
Coaxochitl,en
Cobaltum,en-fr
Cobastoli,en-fr
Cobban,en-fr
Cobites,en-fr
"Cobra de capello",en-fr
Cocazochitl,en
Cocazochtitl,fr
Cocca,en-fr
Coccalos,en-fr
Coccarium,en-fr
Coccinella,en-fr
Coccinilla,en-fr
Coccion,en-fr
Coccobalsamon,en-fr
Coccones,en-fr
Cocconilea,en-fr
Coccos,en-fr
Coccothraustes,en
Coccotrhaustes,fr
"Cocculus indus",en-fr
coccum,fr
Coccus,en
"Coccus americanus",fr
Coccygria,en-fr
Coccymelea,en-fr
Coccyx,en-fr
Cochia,en-fr
Cochinilla,en-fr
Cochlax,en-fr
Cochlea,en-fr
"Cochlea aquatica",en
"Cochlea caelata",en
"Cochlea minor ex luteo",en
"Cochlea nuda",en
"Cochlea olearia",en
"Cochlea terrestris",en
Cochlear,en-fr
Cochleare,en-fr
Cochlearia,en-fr
Cochlearium,en-fr
Cochleata,en-fr
Cochlia,en-fr
Cochliacon,fr
cochlias,fr
Cochliaxon,en
Cochlidium,en-fr
Cochlita,en-fr
Cochone,en-fr
Cocilio,en-fr
Cocolata,en-fr
"Cocomica signa",en-fr
Cocos,en-fr
Coctio,en-fr
"Codaga pala",fr
Codaga-pala,en
Codagen,en-fr
"Codda panna",fr
Codda-panna,en
"Coddam pulli",fr
Coddam-pulli,en
Codesella,en-fr
Codi-avanacu,en
Codi-avanam,fr
Codia,en-fr
Codoscellae,en-fr
Coela,en-fr
Coelestinus,en-fr
Coelia,en-fr
Coeliaca,en
"Coeliaca arteria",fr
"Coeliaca passio",en-fr
Coelifolium,en-fr
Coeloma,en-fr
Coelostomia,en-fr
Coelum,en-fr
Coementatio,fr
"Coementatio coementum",en
Coementum,fr
Coena,en-fr
Coenologia,en-fr
Coenotes,en-fr
Coffee,en-fr
Cohob,en-fr
Cohobatio,en-fr
Cohobium,en-fr
Cohol,en-fr
Cohoph,en-fr
Cohos,en-fr
Cohyne,en-fr
Colatorium,en-fr
Colatura,en-fr
Colcaquahuitl,en-fr
Colchicum,en-fr
colcotar,fr
Colcothar,en-fr
Coleritium,en-fr
Coles,en-fr
"Coletta veetla",en-fr
Colias,en-fr
Colica,en-fr
"colica pictonia",fr
"Coliforme os",en-fr
Colinil,en-fr
Coliphius,en
"Coliphius panis",fr
Colis,en-fr
Colla,en-fr
Collatenna,en-fr
Collatitium,en-fr
Colletica,en-fr
Colliciae,en-fr
Collicula,en-fr
Colligamen,en-fr
collinus,fr
Colliquamentum,en-fr
Colliquatio,en-fr
Collisio,en-fr
Collix,en-fr
Collodes,en-fr
Collodium,en-fr
Collum,en-fr
Collutorium,en
"Collutorium oris",fr
Collymus,en
"Collymus lapis",fr
Collyrion,en-fr
Collyrium,en-fr
Colobomata,en-fr
Colocasia,en-fr
Colochierni,en-fr
Colocynthis,en-fr
Coloeos,en-fr
Colon,en-fr
Colophonia,en-fr
Colostrum,en-fr
Colotes,en-fr
Colotoides,en-fr
Colpos,en-fr
Colubrina,en-fr
"Colubrinum lignum",en-fr
Colum,en-fr
Columba,en-fr
Columella,en-fr
Columellares,en
"Columellares dentes",fr
"Columna nasi",en-fr
"Columna oris",en-fr
"Columnae cordis",en-fr
"Colus jovis",en-fr
Colutea,en-fr
Colymbades,en-fr
Colymbaena,en-fr
Coma,en-fr
"Coma aurea",en-fr
Comae,en-fr
Comagenum,fr
Comarus,en-fr
Combustio,en-fr
Comedones,en-fr
"Cometica ars",fr
Cometz,en-fr
Comisdi,en-fr
Comiste,en-fr
Commagenum,en
Commanducatio,en-fr
Commansum,en-fr
Commelina,en-fr
Commi,en-fr
Comminutio,en-fr
Commissura,en-fr
Commosis,en-fr
"Communicantes febres",en-fr
Compassio,en-fr
Compeper,en-fr
Complexio,en-fr
Complexus,en-fr
"Complexus musculus",en-fr
"Complicatio morbi",en-fr
"Composita medicamenta",en-fr
"Compositi morbi",en-fr
Comprehensio,en-fr
Compressae,en-fr
Compunctio,en-fr
Conarium,en-fr
Concaussa,en-fr
Concavatio,en-fr
Concentrantia,en-fr
Concentratio,en-fr
Conceptio,en-fr
Conceptus,en-fr
Concha,en-fr
"Concharum antifebrile",en-fr
Conchis,en-fr
Conchites,en-fr
Conchoides,en-fr
Conchylia,en-fr
"Conchylia fossilia",en-fr
Concidentia,en-fr
Concoagulatio,en-fr
Concoctio,en-fr
Concretio,en-fr
Concursus,en-fr
Condensatio,en-fr
Conder,en-fr
Condimentum,en-fr
Condire,en-fr
Conditio,en-fr
Conditum,en-fr
Conditura,en-fr
Condrilla,en-fr
Conductio,en-fr
Conductor,en-fr
Condurdum,en-fr
Condyloma,en-fr
Condylus,en-fr
Coneion,en-fr
Conessi,en-fr
Confecta,en-fr
Confectio,en-fr
Conferens,en-fr
Confertus,en-fr
Conferva,en-fr
"Confirmantia medicamenta",en-fr
Confluentia,en-fr
Confoederatio,en-fr
Conformatio,en-fr
"Confortantia medicamenta",en-fr
Confortativa,en-fr
Confricatio,en-fr
Confricatrices,en-fr
"Confusae febres",en-fr
"Confusaneus panis",en-fr
Confusio,en-fr
Congelati,en-fr
congelatici,fr
Congelatio,en-fr
"Congelativa medicamenta",en-fr
Conger,en-fr
Congestio,en-fr
Congius,en-fr
Conglaciatio,en-fr
"Conglobata glandula",en-fr
"Conglomerata glandula",en-fr
Conglutinantia,en
Congrus,en-fr
Congultinantia,fr
Conia,en-fr
Conifer,en
"Coniferae arbores",en-fr
Conile,en-fr
Conis,en-fr
Conisterium,en-fr
"Conjuncta causa",en-fr
"Conjuncta signa",en-fr
"Conjunctiva tunica",en-fr
Conna,en-fr
Conocarpodendron,en-fr
"Conoides corpus",en-fr
Conops,en-fr
Conquassatio,en-fr
Consensus,en-fr
