titre_cote	volume_cote	volume_annee	volume_soustitre	livanc
_extbnfdechambre	extbnfdechambrex030	1884	série 1 , tome 30, DIU - DYN	3518
_extbnfdechambre	extbnfdechambrex031	1885	série 1 , tome 31, DYN - EBE	3519
_extbnfdechambre	extbnfdechambrex032	1885	série 1 , tome 32, EBE - EGU	3520
_extbnfdechambre	extbnfdechambrex033	1886	série 1 , tome 33, EGY - EMB	3521
_extbnfdechambre	extbnfdechambrex034	1887	série 1 , tome 34 , EMB - EPI	3522
_extbnfdechambre	extbnfdechambrex035	1887	série 1 , tome 35, EPI - ESP	3523
_extbnfdechambre	extbnfdechambrex036	1888	série 1 , tome 36, ESP - EYS	3524
_extbnfdechambre	extbnfdechambrex037	1877	série 4, tome 1, FAA - FET	3525
_extbnfdechambre	extbnfdechambrex038	1878	série 4, tome 2, FEU - FOI	3526
_extbnfdechambre	extbnfdechambrex039	1879	série 4, tome 3, FOI - FRA	3527
_extbnfdechambre	extbnfdechambrex040	1879	série 4, tome 4, FRAC - FRAN	3528
_extbnfdechambre	extbnfdechambrex041	1879	série 4, tome 5, FRAN - FRAN	3529
_extbnfdechambre	extbnfdechambrex042	1880	série 4, tome 6, FRAN - GAST	3530
_extbnfdechambre	extbnfdechambrex043	1881	série 4, tome 7, GAS - GEO	3531
_extbnfdechambre	extbnfdechambrex044	1882	série 4, tome 8, GEO - GLA	3532
_extbnfdechambre	extbnfdechambrex045	1883	série 4, tome 9, GLA - GOU	3533
_extbnfdechambre	extbnfdechambrex046	1884	série 4, tome 10, GOU - GRO	3534
_extbnfdechambre	extbnfdechambrex047	1886	série 4, tome 11, GRO - GYR	3535
_extbnfdechambre	extbnfdechambrex048	1886	série 4, tome 12, HAA - HEM	3536
_extbnfdechambre	extbnfdechambrex049	1888	série 4, tome 13, HEM - HER	3537
_extbnfdechambre	extbnfdechambrex050	1888	série 4, tome 14, HER - HYG	3538
_extbnfdechambre	extbnfdechambrex051	1889	série 4, tome 15, HYL - INH	3539
_extbnfdechambre	extbnfdechambrex052	1889	série 4, tome 16, INH - KYT	3540
_extbnfdechambre	extbnfdechambrex053	1872	série 2, tome 1, LAB - LAR	3541
_extbnfdechambre	extbnfdechambrex054	1869	série 2, tome 2, LAR - LOC	3542
_extbnfdechambre	extbnfdechambrex055	1870	série 2, tome 3, LOC - MAG	3543
_extbnfdechambre	extbnfdechambrex056	1871	série 2, tome 4, MAG - MAR	3544
_extbnfdechambre	extbnfdechambrex057	1874	série 2, tome 5, MAR - MED	3545
_extbnfdechambre	extbnfdechambrex058	1874	série 2, tome 6, MED - MEP	3546
_extbnfdechambre	extbnfdechambrex059	1873	série 2, tome 7, MER - MIL	3547
_extbnfdechambre	extbnfdechambrex060	1874	série 2, tome 8 , MIL - MOE	3548
_extbnfdechambre	extbnfdechambrex061	1875	série 2, tome 9 , MOE - MOR	3549
_extbnfdechambre	extbnfdechambrex062	1876	série 2, tome 10, MOR - MUS	3550
_extbnfdechambre	extbnfdechambrex063	1875	série 2, tome 11, MUS - NAV	3551
_extbnfdechambre	extbnfdechambrex064	1878	série 2, tome 12, NAV - NEY	3552
_extbnfdechambre	extbnfdechambrex065	1879	série 2, tome 13, NEZ - NYS	3553
_extbnfdechambre	extbnfdechambrex066	1880	série 2, tome 14 , OAK - OLE	3554
_extbnfdechambre	extbnfdechambrex067	1881	série 2, tome 15, OLF - OPH	3555
_extbnfdechambre	extbnfdechambrex068	1881	série 2, tome 16, OPH - ORE	3556
_extbnfdechambre	extbnfdechambrex069	1882	série 2, tome 17, ORE - ORS	3557
_extbnfdechambre	extbnfdechambrex070	1882	série 2, tome 18, OS - OVA	3558
_extbnfdechambre	extbnfdechambrex071	1884	série 2, tome 19, OVA - PAL	3559
_extbnfdechambre	extbnfdechambrex072	1884	série 2, tome 20, PAL - PAR	3560
_extbnfdechambre	extbnfdechambrex073	1885	série 2, tome 21, PAR - PEA	3561
_extbnfdechambre	extbnfdechambrex074	1886	série 2, tome 22, PEA - PER	3562
_extbnfdechambre	extbnfdechambrex075	1887	série 2, tome 23, PER - PHA	3563
_extbnfdechambre	extbnfdechambrex076	1887	série 2, tome 24, PHA - PIE	3564
_extbnfdechambre	extbnfdechambrex077	1886	série 2, tome 25, PIE - PLA	3565
_extbnfdechambre	extbnfdechambrex078	1888	série 2, tome 26, PLA - POU	3566
_extbnfdechambre	extbnfdechambrex079	1889	série 2, tome 27, POU - PYX	3567
_extbnfdechambre	extbnfdechambrex080	1874	série 3, tome 1, QUA - RAD	3568
_extbnfdechambre	extbnfdechambrex081	1874	série 3, tome 2, RAD - RED	3569
_extbnfdechambre	extbnfdechambrex082	1876	série 3, tome 3, RED - RET	3570
_extbnfdechambre	extbnfdechambrex083	1876	série 3, tome 4, RET - RHU	3571
_extbnfdechambre	extbnfdechambrex084	1877	série 3, tome 5, RHU - RYT	3572
_extbnfdechambre	extbnfdechambrex085	1878	série 3, tome 6, SAA - SAR	3573
_extbnfdechambre	extbnfdechambrex086	1879	série 3, tome 7, SAR - SCL	3574
_extbnfdechambre	extbnfdechambrex087	1880	série 3, tome 8, SCL - SEP	3575
_extbnfdechambre	extbnfdechambrex088	1881	série 3, tome 9, SEP - SIR	3576
_extbnfdechambre	extbnfdechambrex089	1881	série 3, tome 10, SIR - SPE	3577
_extbnfdechambre	extbnfdechambrex090	1883	série 3, tome 11, SPE - STE	3578
_extbnfdechambre	extbnfdechambrex091	1883	série 3, tome 12, STE - SUE	3579
_extbnfdechambre	extbnfdechambrex092	1884	série 3, tome 13, SUE - SYM	3580
_extbnfdechambre	extbnfdechambrex093	1884	série 3, tome 14, SYM - SYS	3581
_extbnfdechambre	extbnfdechambrex094	1885	série 3, tome 15, SYS - TAR	3582
_extbnfdechambre	extbnfdechambrex095	1886	série 3, tome 16, TAR - TET	3583
_extbnfdechambre	extbnfdechambrex096	1887	série 3, tome 17, TET - TRA	3584
_extbnfdechambre	extbnfdechambrex097	1885	série 3, tome 18, TRA - TZI	3585
_extbnfdechambre	extbnfdechambrex098	1886	série 5, tome 1, UBE - UTE	3586
_extbnfdechambre	extbnfdechambrex099	1886	série 5, tome 2, UTE - VER	3587
_extbnfdechambre	extbnfdechambrex100	1889	série 5, tome 3, VER - ZYT	3588
_pharma_006061	pharma_006061x01	1883	Tome premier	47174
_pharma_006061	pharma_006061x02	1885	Tome deuxième	47175
_pharma_006061	pharma_006061x03	1887	Tome troisième	47176
_pharma_006061	pharma_006061x04	1889	Tome quatrième	47177
_pharma_006061	pharma_006061x05	1895	Supplément	47178
_21575	21575x01	1887	tome 1	9226
_21575	21575x02	1887	tome 2	9227
_pharma_p11247	pharma_p11247x1914	1914		295416
_pharma_p11247	pharma_p11247x1920	1920		295417
_pharma_p11247	pharma_p11247x1921	1921		295418
_pharma_p11247	pharma_p11247x1923	1923		295419
_pharma_p11247	pharma_p11247x1924	1924		295420
_pharma_p11247	pharma_p11247x1925	1925		295421
_pharma_p11247	pharma_p11247x1927	1927		295422
_pharma_p11247	pharma_p11247x1928	1928		295423
_pharma_p11247	pharma_p11247x1929	1929		295424
_pharma_p11247	pharma_p11247x1931	1931		295425
_pharma_p11247	pharma_p11247x1932	1932		295426
_pharma_p11247	pharma_p11247x1933	1933		295427
_pharma_p11247	pharma_p11247x1934	1934		295428
_pharma_p11247	pharma_p11247x1935	1935		295429
_pharma_p11247	pharma_p11247x1936	1936		295430
_pharma_p11247	pharma_p11247x1937	1937		295431
_pharma_p11247	pharma_p11247x1937suppl	1937		295432
_pharma_p11247	pharma_p11247x1938	1938		295433
_pharma_p11247	pharma_p11247x1939	1939		295434
_pharma_p11247	pharma_p11247x1940	1940		295435
_pharma_p11247	pharma_p11247x1943	1943		295436
