page	refimg	numauto	chapitre
[sans numérotation]	0001	5594782	[Page de faux-titre]
[sans numérotation]	0002	5594783	[Page de titre]
Tab. 1	0003	5594784	De usu partium de floris
Tab. 2	0004	5594785	Flosculus, Semiflosculus, Vagina, Capillamentum
Tab. 3	0005	5594786	De usu Flosculorum
Tab. 4	0006	5594787	Stamina et Apices
Tab. 5	0007	5594788	Pistilli varisc Jcones
Tab. 6	0008	5594789	Calycis varisc Jcones
Tab. 7	0009	5594790	Flos petalodes / Flos Apetalos sive Stamineus
Tab. 8	0010	5594791	Flos Simplesc / Flos compositus
Tab. 9	0011	5594792	Flores simplices, monopetali
Tab. 10	0012	5594793	Flores simplices, Polypetali
Tab. 11	0013	5594794	Flos compositus, Flos Semiflosculosus, Flos radiatus
Tab. 12	0014	5594795	Mandragora Mandragore
Tab. 13	0015	5594796	Belladona
Tab. 14	0016	5594797	Lilium Convallium. Muguet / Polygonatum. Seau de Salomon
Tab. 15	0017	5594798	Ruscus. Housc-freton / Menyanthes
Tab. 16	0018	5594799	Hydrophyllum / Soldanella. Soldanéle
Tab. 17	0019	5594800	Convolvulus. Liseron
Tab. 18	0020	5594801	Oxys / Cotyledon
Tab. 19	0021	5594802	Cotyledon
Tab. 20	0022	5594803	Apocynum. Apocin
Tab. 21	0023	5594804	Apocynum. Apocin
Tab. 22	0024	5594805	Asclepias. Domtevenin / Periploca
Tab. 23	0025	5594806	Malva. Mauve
Tab. 24	0026	5594807	Malva. Mauve
Tab. 25	0027	5594808	Malacoides / Alcea / Abutillon
Tab. 26	0028	5594809	Ketmia
Tab. 27	0029	5594810	Xylon. Coton
Tab. 28	0030	5594811	Bryonia Coleuvrée / Tamnus. Sceau de Nôtre Dame / Sicyoides
Tab. 29	0031	5594812	Momordica. Pomme de Merveille
Tab. 30	0032	5594813	Momordica. Pomme de Merveille
Tab. 31	0033	5594814	Cucumis. Concombre
Tab. 32	0034	5594815	Cucumis. Concombre / Melo. Melon
Tab. 33	0035	5594816	Pepo
Tab. 34	0036	5594817	Melopepo
Tab. 35	0037	5594818	Anguria
Tab. 36	0038	5594819	Cucurbita. Calebasses
Tab. 37	0039	5594820	Campanula. Campanule
Tab. 38	0040	5594821	Rapunculus. Raiponce / Rubia. Garence
Tab. 39	0041	5594822	Aparine. Grateron / Gallium. Caillelait. Cruciata / Quamoclit
Tab. 40	0042	5594823	Gentiana. Gentiane
Tab. 41	0043	5594824	Nicotiana. Nicotiane
Tab. 42	0044	5594825	Hyoscyamus. Iusquiame
Tab. 43	0045	5594826	Stramonium
Tab. 44	0046	5594827	Stramonium
Tab. 45	0047	5594828	Pervinca. La Pervenche
Tab. 46	0048	5594829	Auricula Urfi. Oreille d'Ours / Androface
Tab. 47	0049	5594830	Primula Veris. Prime-Vere
Tab. 48	0050	5594831	Centaurium minus. petite Centaurée / Plantago. Plantain
Tab. 49	0051	5594832	Coronopus. Corne de Cerf / Pfyllium. Herbe aux Puces
Tab. 50	0052	5594833	Jalap / Rubeola / Trachelium
Tab. 51	0053	5594834	Rapuntium
Tab. 52	0054	5594835	Valeriana. Valeriane / Valerianella. Mâche
Tab. 53	0055	5594836	Borrago. Bourrache / Bugloffum. Buglosc
Tab. 54	0056	5594837	Asperugo / Echium
Tab. 55	0057	5594838	Pulmonaria. Pulmonaire / Lithospermum. Gremil
Tab. 56	0058	5594839	Symphytum. Consoude / Cerinthe. Melinet
Tab. 57	0059	5594840	Heliotropium. Herbe aux Verrues / Cynogloffum. Langue de Chien
Tab. 58	0060	5594841	Omphalodes / Plumbago
Tab. 59	0061	5594842	Lysimachia / Anagallis. Le Mouron
Tab. 60	0062	5594843	Samolus / Glaux / Veronica. La Veronique / Chrysosplenium
Tab. 61	0063	5594844	Polemonium / Verbascum. Le Bouillon blanc
Tab. 62	0064	5594845	Solanum. Morele
Tab. 63	0065	5594846	Lycoperficon
Tab. 64	0066	5594847	Alkekengi
Tab. 65	0067	5594848	Melongena
Tab. 66	0068	5594849	Capficum
Tab. 67	0069	5594850	Nymphoides
Tab. 68	0070	5594851	Cyclamen. Pain de Pourceau / Moschatellina / Pimpinella. La Pimprenelle
Tab. 69	0071	5594852	Arum. Le Pied de Veau
Tab. 70	0072	5594853	Dracunculus. Serpentaire
Tab. 71	0073	5594854	Aristolochia. Aristoloche
Tab. 72	0074	5594855	Bignonia
Tab. 73	0075	5594856	Digitalis. La Digitale
Tab. 74	0076	5594857	Scrophularia. Scrofulaire / Pinguicula. Grassete
Tab. 75	0077	5594858	Antirrhinum. Mufle de Veau
Tab. 76	0078	5594859	Linaria. Linaire / Afarina
Tab. 77	0079	5594860	Pedicularis. Pediculaire
Tab. 78	0080	5594861	Melampyrum / Euphrafia. Eufraise
Tab. 79	0081	5594862	Polygala / Adhatoda
Tab. 80	0082	5594863	Acanthus. Acante
Tab. 81	0083	5594864	Acanthus. Acante / Orobanche
Tab. 82	0084	5594865	Phlomis / Horminum. Ormin / Sclarea
Tab. 83	0085	5594866	Salvia. Sauge / Dracocephalon
Tab. 84	0086	5594867	Caffida / Brunella. Brunelle
Tab. 85	0087	5594868	Lamium / Moldavica / Ballote
Tab. 86	0088	5594869	Galeopsis / Stachys
