object			
volume	00152	Des Gorris (1601)	1601
foreign	στρύχρος	grc	
entry	Alga	0	
orth	Alga	lat	
foreign	βρυoν	grc	
entry	Alica	0	
orth	Alica	lat	
foreign	χένδρος	grc	
entry	Alimenta mali succi	0	
orth	Alimenta mali succi	lat	
foreign	κακόγρμα	grc	
entry	Alimenta stomacho aduersa	0	
orth	Alimenta stomacho aduersa	lat	
foreign	vακoστομάχα	grc	
entry	Alimentum	0	
orth	Alimentum	lat	
foreign	Sooὴ	grc	
entry	Alimentum boni succi	0	
orth	Alimentum boni succi	lat	
foreign	ἄγρνον	grc	
entry	Allii capita	0	
orth	Allii capita	lat	
foreign	δαιπιδες	grc	
entry	Allium	0	
orth	Allium	lat	
foreign	μολυζα	grc	
foreign	σκόροδὸν	grc	
entry	Allium vlpicum	0	
orth	Allium vlpicum	lat	
foreign	αὑπισκόροδον	grc	
entry	Alnus	0	
orth	Alnus	lat	
foreign	κλήθρη	grc	
entry	Alquequengi	0	
orth	Alquequengi	lat	
foreign	σρύχος	grc	
entry	Alteratio	0	
orth	Alteratio	lat	
foreign	ἀλλοίωσις	grc	
entry	Alteratrix facultas	0	
orth	Alteratrix facultas	lat	
foreign	ἀλλοιωτικὴ δύναμις	grc	
entry	Altercum	0	
orth	Altercum	lat	
foreign	υοσκύάμος	grc	
entry	Althaea	0	
orth	Althaea	lat	
foreign	ἐισκος	grc	
entry	Altrix facultas	0	
orth	Altrix facultas	lat	
foreign	θρεπτικὴ δύναμις	grc	
entry	Alueorum crusta	0	
orth	Alueorum crusta	lat	
foreign	πισόκηρος	grc	
entry	Alui profluuium	0	
orth	Alui profluuium	lat	
foreign	δάρροια	grc	
entry	Alumen	0	
orth	Alumen	lat	
foreign	συπτηρια	grc	
entry	Aluyna	0	
orth	Aluyna	lat	
foreign	ἀδίνθιον	grc	
entry	Amaracum	0	
orth	Amaracum	lat	
foreign	σάμέυχον	grc	
entry	Amaritudo	0	
orth	Amaritudo	lat	
foreign	πικρότης	grc	
entry	Amarum	0	
orth	Amarum	lat	
foreign	πικρον	grc	
entry	Ambidextra	0	
orth	Ambidextra	lat	
foreign	ἀμφίδεξιος	grc	
entry	Ambubeia	0	
orth	Ambubeia	lat	
foreign	κχὼριον	grc	
entry	Ambarum	0	
orth	Ambarum	lat	
foreign	ἄμβας	grc	
entry	Ambustus	0	
orth	Ambustus	lat	
foreign	πυρικαυστος	grc	
entry	Ambrosia	0	
orth	Ambrosia	lat	
foreign	βὀτρυς	grc	
entry	Amentia	0	
orth	Amentia	lat	
foreign	ανοια	grc	
entry	Amphora	0	
orth	Amphora	lat	
foreign	ἀμφορεῦς	grc	
entry	Amuleta	0	
orth	Amuleta	lat	
foreign	ἀπόρόπαια	grc	
entry	Amuletum	0	
orth	Amuletum	lat	
foreign	αλεξητήριον	grc	
foreign	ἀλεαιφαῤμᾶκον	grc	
foreign	περίαμμα	grc	
entry	Amurca	0	
orth	Amurca	lat	
foreign	ἀμοργη	grc	
entry	Amydum	0	
orth	Amydum	lat	
foreign	ἀμυλὸν	grc	
entry	Amygdalae	0	
orth	Amygdalae	lat	
foreign	αὐτιάδες	grc	
entry	Amygdalus	0	
orth	Amygdalus	lat	
foreign	ἀμυγδάλυ	grc	
entry	Anagallis	0	
orth	Anagallis	lat	
foreign	κολλαριον	grc	
entry	Anchorae similis processus	0	
orth	Anchorae similis processus	lat	
foreign	ἄγκυρςειἰδὴς ἐπίφισις	grc	
entry	Anchusa	0	
orth	Anchusa	lat	
foreign	ἀγχοέση	grc	
entry	Anetum	0	
orth	Anetum	lat	
foreign	άτη	grc	
entry	Anethum syluestre	0	
orth	Anethum syluestre	lat	
foreign	μnον	grc	
entry	Angina	0	
orth	Angina	lat	
foreign	κυνάτγ	grc	
entry	Anguli oculorum maiores	0	
orth	Anguli oculorum maiores	lat	
foreign	αντῆρες	grc	
entry	Anguli oculorum minores	0	
orth	Anguli oculorum minores	lat	
foreign	παρωπται	grc	
entry	Angulus oculi	0	
orth	Angulus oculi	lat	
foreign	κωντος	grc	
entry	Anhelosi	0	
orth	Anhelosi	lat	
foreign	πνευματίαι	grc	
foreign	πνευματουμενοι	grc	
entry	Anima	0	
orth	Anima	lat	
foreign	Lυγ	grc	
entry	Animalis facultas	0	
orth	Animalis facultas	lat	
foreign	Κυχκὴ δύναμις	grc	
entry	Animalis spiritus	0	
orth	Animalis spiritus	lat	
foreign	υχκον πνεόμα	grc	
entry	Animosa facultas	0	
orth	Animosa facultas	lat	
foreign	θυμοεδὴς δέναμις	grc	
entry	Animusculus	0	
orth	Animusculus	lat	
foreign	σριγκτῆς	grc	
entry	Annus	0	
orth	Annus	lat	
foreign	ἐιαυτὸς	grc	
entry	Annuum	0	
orth	Annuum	lat	
foreign	ἐαύσιον	grc	
entry	Anticipatio accessionis	0	
orth	Anticipatio accessionis	lat	
foreign	προληπτικὸς τύπος	grc	
entry	Anus	0	
orth	Anus	lat	
foreign	ἐδρααῤγές	grc	
entry	Anxietas	0	
orth	Anxietas	lat	
foreign	ἀλύκη	grc	
foreign	ἀλυσμός	grc	
entry	Aperire	0	
orth	Aperire	lat	
foreign	στομοῶον	grc	
entry	Apiastrum	0	
orth	Apiastrum	lat	
foreign	μελισόφυλλον	grc	
entry	Apium	0	
orth	Apium	lat	
foreign	ἄέλινον	grc	
entry	Apium montanum	0	
orth	Apium montanum	lat	
foreign	ὀρεοαέλινον	grc	
entry	Apollinaris herba	0	
orth	Apollinaris herba	lat	
foreign	ὑοσκύαμος	grc	
foreign	συμφωνιακή	grc	
entry	Apparens	0	
orth	Apparens	lat	
foreign	φαινόμενον	grc	
entry	Appetentia	0	
orth	Appetentia	lat	
foreign	ὀράξις	grc	
entry	Appetentia canina	0	
orth	Appetentia canina	lat	
foreign	ὀρετις κωνώδης	grc	
foreign	φαγέδαινα	grc	
entry	Appetitrix facultas	0	
orth	Appetitrix facultas	lat	
foreign	ἐπιθυμητικὴ δύναμις	grc	
entry	Appetitus	0	
orth	Appetitus	lat	
foreign	βολβός	grc	
entry	Appositio	0	
orth	Appositio	lat	
foreign	πρόσθεσις	grc	
entry	Aqua	0	
orth	Aqua	lat	
foreign	ὕδωρ	grc	
entry	Aquae metus	0	
orth	Aquae metus	lat	
foreign	ὑδροφοβία	grc	
entry	Aqua mulsa	0	
orth	Aqua mulsa	lat	
foreign	μελίκρατον	grc	
foreign	ὑδρόμιι	grc	
entry	Aqua oleo mista	0	
orth	Aqua oleo mista	lat	
foreign	ὑδρέλαιον	grc	
entry	Aqua rosaceo mista	0	
orth	Aqua rosaceo mista	lat	
foreign	ὑδρορόδινον	grc	
entry	Aqueum	0	
orth	Aqueum	lat	
foreign	ὑδατωδὲς	grc	
entry	Aqueus humor	0	
orth	Aqueus humor	lat	
foreign	ὑδατῶδες ὑγρὸν	grc	
entry	Aquifolium	0	
orth	Aquifolium	lat	
foreign	ἀγεὶα κραταιγὼν	grc	
entry	Aquilae lapis	0	
orth	Aquilae lapis	lat	
foreign	ἀεήτης	grc	
entry	Aquilo	0	
orth	Aquilo	lat	
foreign	βoῤῥᾶς	grc	
entry	Aquosus ramex	0	
orth	Aquosus ramex	lat	
foreign	ὑδροκήλη	grc	
entry	Aquula	0	
orth	Aquula	lat	
foreign	ὑδατις	grc	
entry	Araneae similis tunica	0	
orth	Araneae similis tunica	lat	
foreign	χτῶν αζαχνοειδὴς	grc	
entry	Arbutus	0	
orth	Arbutus	lat	
foreign	κόμὸρος	grc	
entry	Arcturus	0	
orth	Arcturus	lat	
foreign	ἄκτειον	grc	
entry	Ardens febris	0	
orth	Ardens febris	lat	
foreign	καῦσος	grc	
entry	Ardores	0	
orth	Ardores	lat	
foreign	ὀπιφλογίσματα	grc	
entry	Area	0	
orth	Area	lat	
foreign	ἀλωπεκία	grc	
foreign	ὀγίασις	grc	
entry	Argentea terra	0	
orth	Argentea terra	lat	
foreign	ἀργυρίτςγς	grc	
entry	Argentina	0	
orth	Argentina	lat	
foreign	θάλικτον	grc	
entry	Argenti spuma	0	
orth	Argenti spuma	lat	
foreign	λιθάργυρος	grc	
entry	Argentum viuum	0	
orth	Argentum viuum	lat	
foreign	ὑδραργυρος	grc	
entry	Argumentum	0	
orth	Argumentum	lat	
foreign	τεκμήριον	grc	
entry	Aridum medicamentum	0	
orth	Aridum medicamentum	lat	
foreign	Lnei	grc	
entry	Armela	0	
orth	Armela	lat	
foreign	μῶλυ	grc	
entry	Armoracia	0	
orth	Armoracia	lat	
foreign	χρὶα	grc	
entry	Aquatus morbus	0	
orth	Aquatus morbus	lat	
foreign	iκτερὸς	grc	
entry	Arsenicum	0	
orth	Arsenicum	lat	
foreign	σανδαράγ	grc	
entry	Arteria	0	
orth	Arteria	lat	
foreign	ἀρτηρία	grc	
entry	Arteria aspera	0	
orth	Arteria aspera	lat	
foreign	φάρυγς	grc	
entry	Arteriae dissectio	0	
orth	Arteriae dissectio	lat	
foreign	ἀρτηριοτιμία	grc	
entry	Arteria magna	0	
orth	Arteria magna	lat	
foreign	ἄδρτη	grc	
entry	Articaulis	0	
orth	Articaulis	lat	
foreign	κινὰρα	grc	
entry	Articularis morbus	0	
orth	Articularis morbus	lat	
foreign	ἀρθρίτς	grc	
entry	Articuli cauitas seusinus	0	
orth	Articuli cauitas seusinus	lat	
foreign	χλένη	grc	
entry	Articulorum contractio	0	
orth	Articulorum contractio	lat	
foreign	ἀλλύλλ	grc	
entry	Articulus	0	
orth	Articulus	lat	
foreign	ἄρθρον	grc	
entry	Arundo	0	
orth	Arundo	lat	
foreign	κάλαμος	grc	
entry	Ascia	0	
orth	Ascia	lat	
foreign	σκέπαρνον	grc	
entry	Aselli	0	
orth	Aselli	lat	
foreign	ὅνοι	grc	
entry	Astaragus syluestris	0	
orth	Astaragus syluestris	lat	
foreign	λιβυκὸν	grc	
entry	Aspera arteria	0	
orth	Aspera arteria	lat	
foreign	βρόχος	grc	
pb	0527	0537	
entry	Aspergines medicamentorum	0	
orth	Aspergines medicamentorum	lat	
foreign	διπάσμετα	grc	
entry	Aspergula	0	
orth	Aspergula	lat	
foreign	ἀπαρίνη	grc	
entry	Aspergula minor	0	
orth	Aspergula minor	lat	
foreign	ἀστὴρ ἀττικὸς	grc	
entry	Asperitas	0	
orth	Asperitas	lat	
foreign	τραγύτης	grc	
entry	Asperitudo palpebrae	0	
orth	Asperitudo palpebrae	lat	
foreign	τράχομα	grc	
foreign	τύλωσις	grc	
entry	Aspersiones	0	
orth	Aspersiones	lat	
foreign	προσκλύσματα	grc	
entry	Asperum	0	
orth	Asperum	lat	
foreign	φρικῶδες	grc	
entry	Aspicum	0	
orth	Aspicum	lat	
foreign	ιυδοναρδὸς	grc	
entry	Assatio	0	
orth	Assatio	lat	
foreign	ὅπλησις	grc	
entry	Astragalus	0	
orth	Astragalus	lat	
foreign	τέθωρος	grc	
entry	Ater succus	0	
orth	Ater succus	lat	
foreign	μελατχολικὸς γεμὸς	grc	
entry	Athletica habitudo	0	
orth	Athletica habitudo	lat	
foreign	ἀθλητικὴ ετις	grc	
entry	Atra bilis	0	
orth	Atra bilis	lat	
foreign	μὲλωνάχρλὴ	grc	
entry	Atramentum metallicum	0	
orth	Atramentum metallicum	lat	
foreign	μαλαντορς	grc	
entry	Atramentum scriptorium	0	
orth	Atramentum scriptorium	lat	
foreign	μλανὰς γράφομεν	grc	
entry	Atramentum sutorium	0	
orth	Atramentum sutorium	lat	
foreign	γαλιαντος	grc	
