object	
volume	00152	Des Gorris (1601)	1601
ref	Des Gorris 1601
pb	0525	https://www.biusante.parisdescartes.fr/iiif/2/bibnum:00152:0535/full/full/0/default.jpg	https://www.biusante.parisdescartes.fr/histmed/medica/page?00152&p=0535
pb	0526	https://www.biusante.parisdescartes.fr/iiif/2/bibnum:00152:0536/full/full/0/default.jpg	https://www.biusante.parisdescartes.fr/histmed/medica/page?00152&p=0536
orth	Agripalma	lat
foreign	grc	γαλίοεις
entry	Αiuga	0	
orth	Αiuga	lat
foreign	grc	χαμωπιτος
entry	Αla	0	
orth	Αla	lat
foreign	grc	μαραλὶς
foreign	grc	πτερύγιον
entry	Alatus	0	
orth	Alatus	lat
foreign	grc	πλερυγβδης
entry	Albaras album	0	
orth	Albaras album	lat
foreign	grc	λενκn
entry	Albaras nigra	0	
orth	Albaras nigra	lat
foreign	grc	λέπρα
entry	Albucum	0	
orth	Albucum	lat
foreign	grc	ανθέριος
entry	Albugo oculi	0	
orth	Albugo oculi	lat
foreign	grc	κυκλώπιον
foreign	grc	λεύκαμα
entry	Albus color	0	
orth	Albus color	lat
foreign	grc	χαροπὸς
entry	Alcaquengi	0	
orth	Alcaquengi	lat
foreign	grc	ἀλικάκαβος
foreign	grc	στρύχρος
entry	Alga	0	
orth	Alga	lat
foreign	grc	βρυoν
entry	Alica	0	
orth	Alica	lat
foreign	grc	χένδρος
entry	Alimenta mali succi	0	
orth	Alimenta mali succi	lat
foreign	grc	κακόγρμα
entry	Alimenta stomacho aduersa	0	
orth	Alimenta stomacho aduersa	lat
foreign	grc	vακoστομάχα
entry	Alimentum	0	
orth	Alimentum	lat
foreign	grc	Sooὴ
entry	Alimentum boni succi	0	
orth	Alimentum boni succi	lat
foreign	grc	ἄγρνον
entry	Allii capita	0	
orth	Allii capita	lat
foreign	grc	δαιπιδες
entry	Allium	0	
orth	Allium	lat
foreign	grc	μολυζα
foreign	grc	σκόροδὸν
entry	Allium vlpicum	0	
orth	Allium vlpicum	lat
foreign	grc	αὑπισκόροδον
entry	Alnus	0	
orth	Alnus	lat
foreign	grc	κλήθρη
entry	Alquequengi	0	
orth	Alquequengi	lat
foreign	grc	σρύχος
entry	Alteratio	0	
orth	Alteratio	lat
foreign	grc	ἀλλοίωσις
entry	Alteratrix facultas	0	
orth	Alteratrix facultas	lat
foreign	grc	ἀλλοιωτικὴ δύναμις
entry	Altercum	0	
orth	Altercum	lat
foreign	grc	υοσκύάμος
entry	Althaea	0	
orth	Althaea	lat
foreign	grc	ἐισκος
entry	Altrix facultas	0	
orth	Altrix facultas	lat
foreign	grc	θρεπτικὴ δύναμις
entry	Alueorum crusta	0	
orth	Alueorum crusta	lat
foreign	grc	πισόκηρος
entry	Alui profluuium	0	
orth	Alui profluuium	lat
foreign	grc	δάρροια
entry	Alumen	0	
orth	Alumen	lat
foreign	grc	συπτηρια
entry	Aluyna	0	
orth	Aluyna	lat
foreign	grc	ἀδίνθιον
entry	Amaracum	0	
orth	Amaracum	lat
foreign	grc	σάμέυχον
entry	Amaritudo	0	
orth	Amaritudo	lat
foreign	grc	πικρότης
entry	Amarum	0	
orth	Amarum	lat
foreign	grc	πικρον
entry	Ambidextra	0	
orth	Ambidextra	lat
foreign	grc	ἀμφίδεξιος
entry	Ambubeia	0	
orth	Ambubeia	lat
foreign	grc	κχὼριον
entry	Ambarum	0	
orth	Ambarum	lat
foreign	grc	ἄμβας
entry	Ambustus	0	
orth	Ambustus	lat
foreign	grc	πυρικαυστος
entry	Ambrosia	0	
orth	Ambrosia	lat
foreign	grc	βὀτρυς
entry	Amentia	0	
orth	Amentia	lat
foreign	grc	ανοια
entry	Amphora	0	
orth	Amphora	lat
foreign	grc	ἀμφορεῦς
entry	Amuleta	0	
orth	Amuleta	lat
foreign	grc	ἀπόρόπαια
entry	Amuletum	0	
orth	Amuletum	lat
foreign	grc	αλεξητήριον
foreign	grc	ἀλεαιφαῤμᾶκον
foreign	grc	περίαμμα
entry	Amurca	0	
orth	Amurca	lat
foreign	grc	ἀμοργη
entry	Amydum	0	
orth	Amydum	lat
foreign	grc	ἀμυλὸν
entry	Amygdalae	0	
orth	Amygdalae	lat
foreign	grc	αὐτιάδες
entry	Amygdalus	0	
orth	Amygdalus	lat
foreign	grc	ἀμυγδάλυ
entry	Anagallis	0	
orth	Anagallis	lat
foreign	grc	κολλαριον
entry	Anchorae similis processus	0	
orth	Anchorae similis processus	lat
foreign	grc	ἄγκυρςειἰδὴς ἐπίφισις
entry	Anchusa	0	
orth	Anchusa	lat
foreign	grc	ἀγχοέση
entry	Anetum	0	
orth	Anetum	lat
foreign	grc	άτη
entry	Anethum syluestre	0	
orth	Anethum syluestre	lat
foreign	grc	μnον
entry	Angina	0	
orth	Angina	lat
foreign	grc	κυνάτγ
entry	Anguli oculorum maiores	0	
orth	Anguli oculorum maiores	lat
foreign	grc	αντῆρες
entry	Anguli oculorum minores	0	
orth	Anguli oculorum minores	lat
foreign	grc	παρωπται
entry	Angulus oculi	0	
orth	Angulus oculi	lat
foreign	grc	κωντος
entry	Anhelosi	0	
orth	Anhelosi	lat
foreign	grc	πνευματίαι
foreign	grc	πνευματουμενοι
entry	Anima	0	
orth	Anima	lat
foreign	grc	Lυγ
entry	Animalis facultas	0	
orth	Animalis facultas	lat
foreign	grc	Κυχκὴ δύναμις
entry	Animalis spiritus	0	
orth	Animalis spiritus	lat
foreign	grc	υχκον πνεόμα
entry	Animosa facultas	0	
orth	Animosa facultas	lat
foreign	grc	θυμοεδὴς δέναμις
entry	Animusculus	0	
orth	Animusculus	lat
foreign	grc	σριγκτῆς
entry	Annus	0	
orth	Annus	lat
foreign	grc	ἐιαυτὸς
entry	Annuum	0	
orth	Annuum	lat
foreign	grc	ἐαύσιον
entry	Anticipatio accessionis	0	
orth	Anticipatio accessionis	lat
foreign	grc	προληπτικὸς τύπος
entry	Anus	0	
orth	Anus	lat
foreign	grc	ἐδρααῤγές
entry	Anxietas	0	
orth	Anxietas	lat
foreign	grc	ἀλύκη
foreign	grc	ἀλυσμός
entry	Aperire	0	
orth	Aperire	lat
foreign	grc	στομοῶον
entry	Apiastrum	0	
orth	Apiastrum	lat
foreign	grc	μελισόφυλλον
entry	Apium	0	
orth	Apium	lat
foreign	grc	ἄέλινον
entry	Apium montanum	0	
orth	Apium montanum	lat
foreign	grc	ὀρεοαέλινον
entry	Apollinaris herba	0	
orth	Apollinaris herba	lat
foreign	grc	ὑοσκύαμος
foreign	grc	συμφωνιακή
entry	Apparens	0	
orth	Apparens	lat
foreign	grc	φαινόμενον
entry	Appetentia	0	
orth	Appetentia	lat
foreign	grc	ὀράξις
entry	Appetentia canina	0	
orth	Appetentia canina	lat
foreign	grc	ὀρετις κωνώδης
foreign	grc	φαγέδαινα
entry	Appetitrix facultas	0	
orth	Appetitrix facultas	lat
foreign	grc	ἐπιθυμητικὴ δύναμις
entry	Appetitus	0	
orth	Appetitus	lat
foreign	grc	βολβός
entry	Appositio	0	
orth	Appositio	lat
foreign	grc	πρόσθεσις
entry	Aqua	0	
orth	Aqua	lat
foreign	grc	ὕδωρ
entry	Aquae metus	0	
orth	Aquae metus	lat
foreign	grc	ὑδροφοβία
entry	Aqua mulsa	0	
orth	Aqua mulsa	lat
foreign	grc	μελίκρατον
foreign	grc	ὑδρόμιι
entry	Aqua oleo mista	0	
orth	Aqua oleo mista	lat
foreign	grc	ὑδρέλαιον
entry	Aqua rosaceo mista	0	
orth	Aqua rosaceo mista	lat
foreign	grc	ὑδρορόδινον
entry	Aqueum	0	
orth	Aqueum	lat
foreign	grc	ὑδατωδὲς
entry	Aqueus humor	0	
orth	Aqueus humor	lat
foreign	grc	ὑδατῶδες ὑγρὸν
entry	Aquifolium	0	
orth	Aquifolium	lat
foreign	grc	ἀγεὶα κραταιγὼν
entry	Aquilae lapis	0	
orth	Aquilae lapis	lat
foreign	grc	ἀεήτης
entry	Aquilo	0	
orth	Aquilo	lat
foreign	grc	βoῤῥᾶς
entry	Aquosus ramex	0	
orth	Aquosus ramex	lat
foreign	grc	ὑδροκήλη
entry	Aquula	0	
orth	Aquula	lat
foreign	grc	ὑδατις
entry	Araneae similis tunica	0	
orth	Araneae similis tunica	lat
foreign	grc	χτῶν αζαχνοειδὴς
entry	Arbutus	0	
orth	Arbutus	lat
foreign	grc	κόμὸρος
entry	Arcturus	0	
orth	Arcturus	lat
foreign	grc	ἄκτειον
entry	Ardens febris	0	
orth	Ardens febris	lat
foreign	grc	καῦσος
entry	Ardores	0	
orth	Ardores	lat
foreign	grc	ὀπιφλογίσματα
entry	Area	0	
orth	Area	lat
foreign	grc	ἀλωπεκία
foreign	grc	ὀγίασις
entry	Argentea terra	0	
orth	Argentea terra	lat
foreign	grc	ἀργυρίτςγς
entry	Argentina	0	
orth	Argentina	lat
foreign	grc	θάλικτον
entry	Argenti spuma	0	
orth	Argenti spuma	lat
foreign	grc	λιθάργυρος
entry	Argentum viuum	0	
orth	Argentum viuum	lat
foreign	grc	ὑδραργυρος
entry	Argumentum	0	
orth	Argumentum	lat
foreign	grc	τεκμήριον
entry	Aridum medicamentum	0	
orth	Aridum medicamentum	lat
foreign	grc	Lnei
entry	Armela	0	
orth	Armela	lat
foreign	grc	μῶλυ
entry	Armoracia	0	
orth	Armoracia	lat
foreign	grc	χρὶα
entry	Aquatus morbus	0	
orth	Aquatus morbus	lat
foreign	grc	iκτερὸς
entry	Arsenicum	0	
orth	Arsenicum	lat
foreign	grc	σανδαράγ
entry	Arteria	0	
orth	Arteria	lat
foreign	grc	ἀρτηρία
entry	Arteria aspera	0	
