object			
volume	07399	Castelli	1746
orth	Catamyo		
entry	Catanaesimumae	0	
orth	Catanaesimumae		
entry	Catanancazo	0	
orth	Catanancazo		
entry	Cataniphthis	0	
orth	Cataniphthis		
entry	Catanizo	0	
orth	Catanizo		
entry	Catanoeo	0	
orth	Catanoeo		
entry	Catantia	0	
orth	Catantia		
entry	Catantis	0	
orth	Catantis		
ref	Calantia.		
entry	Catantlema	0	
orth	Catantlema		
ref	Epantlefis.		
entry	Catapasma	0	
orth	Catapasma		
entry	Catapasmus	0	
orth	Catapasmus		
entry	Catapastum	0	
orth	Catapastum		
entry	Catapauomae	0	
orth	Catapauomae		
entry	Catapeltes	0	
orth	Catapeltes		
entry	Cataperus	0	
orth	Cataperus		
entry	Cataphora	0	
orth	Cataphora		
entry	Cataphracta	0	
orth	Cataphracta		
entry	Cataphroneo	0	
orth	Cataphroneo		
entry	Catapino	0	
orth	Catapino		
entry	Cataplasma	1	
orth	Cataplasma		
pb	0145	0153	
entry	Cataplexis	0	
orth	Cataplexis		
entry	Cataposis	0	
orth	Cataposis		
entry	Catapotium	0	
orth	Catapotium		
entry	Catapsyxis	0	
orth	Catapsyxis		
entry	Cataptosis	0	
orth	Cataptosis		
entry	Catapulta	0	
orth	Catapulta		
entry	Cataracta	0	
orth	Cataracta		
entry	Catarrhecticus	0	
orth	Catarrhecticus		
entry	Catarrheuma	0	
orth	Catarrheuma		
entry	Catarrhexis	0	
orth	Catarrhexis		
entry	Catarrhoecus	0	
orth	Catarrhoecus		
entry	Catarrhopia	0	
orth	Catarrhopia		
ref	Anarrhosea.		
entry	Catarrhysis	0	
orth	Catarrhysis		
pb	0146	0154	
entry	Catarrhus	0	
orth	Catarrhus		
entry	Catartismus	0	
orth	Catartismus		
entry	Catasarca	0	
orth	Catasarca		
entry	Catasbennysthae	0	
orth	Catasbennysthae		
entry	Catasceve	0	
orth	Catasceve		
entry	Cataschasmos	0	
orth	Cataschasmos		
entry	Cataschesin	0	
orth	Cataschesin		
entry	Cataseisis	0	
orth	Cataseisis		
entry	Catasillaeno	0	
orth	Catasillaeno		
entry	Cataspao	0	
orth	Cataspao		
entry	Catastagmos	0	
orth	Catastagmos		
entry	Catastalagmos	1	
orth	Catastalagmos		
pb	0147	0155	
entry	Catastalticus	0	
orth	Catastalticus		
entry	Catastasis	0	
orth	Catastasis		
entry	Catastema	0	
orth	Catastema		
entry	Catastole	0	
orth	Catastole		
entry	Catastoresthynae	0	
orth	Catastoresthynae		
entry	Catatasis	0	
orth	Catatasis		
entry	Catatilao	0	
orth	Catatilao		
entry	Catatrecho	0	
orth	Catatrecho		
entry	Catatripsis	0	
orth	Catatripsis		
entry	Cataudesis	0	
orth	Cataudesis		
entry	Cataxa	0	
orth	Cataxa		
entry	Cataxis	0	
orth	Cataxis		
entry	Catechesis	0	
orth	Catechesis		
entry	Catechomenos	0	
orth	Catechomenos		
entry	Catechu	0	
orth	Catechu		
entry	Cateilumenos	0	
orth	Cateilumenos		
entry	Catellus	0	
orth	Catellus		
entry	Catena	0	
orth	Catena		
entry	Catepedanos	0	
orth	Catepedanos		
entry	Catephes	0	
orth	Catephes		
entry	Catergasticos	0	
orth	Catergasticos		
entry	Catertemenon	0	
orth	Catertemenon		
ref	Catartismus		
pb	0148	0156	
entry	Cathaemon	0	
orth	Cathaemon		
entry	Cathaeresis	0	
orth	Cathaeresis		
entry	Cathaereticos	0	
orth	Cathaereticos		
entry	Cathammizo	0	
orth	Cathammizo		
entry	Cathariotes	0	
orth	Cathariotes		
entry	Catharma	0	
orth	Catharma		
entry	Catharmos	0	
orth	Catharmos		
entry	Catharodes	0	
orth	Catharodes		
entry	Catharos	0	
orth	Catharos		
entry	Catharsios	0	
orth	Catharsios		
entry	Catharsis	0	
orth	Catharsis		
entry	Catharticus	0	
orth	Catharticus		
ref	Purgans.		
entry	Catheautonperas	0	
orth	Catheautonperas		
entry	Cathectice	0	
orth	Cathectice		
ref	Retentio.		
entry	Cathelin	0	
orth	Cathelin		
entry	Cathemerinos	0	
orth	Cathemerinos		
ref	Quotidiana		
entry	Cathestecos	0	
orth	Cathestecos		
ref	Cathistemi & Catastasis.		
entry	Catheter	0	
orth	Catheter		
entry	Catheterismus	0	
orth	Catheterismus		
entry	Cathidrysis	1	
orth	Cathidrysis		
pb	0149	0157	
ref	Catastosis.		
entry	Cathimia	0	
orth	Cathimia		
entry	Cathinnymae	0	
orth	Cathinnymae		
entry	Cathistamae	0	
orth	Cathistamae		
ref	Catastosis.		
entry	Cathizesthae	0	
orth	Cathizesthae		
entry	Cathodos	0	
orth	Cathodos		
entry	Catholceus	0	
orth	Catholceus		
entry	Catholicus	0	
orth	Catholicus		
ref	Panacea.		
entry	Cathygraeno	0	
orth	Cathygraeno		
entry	Cathygros	0	
orth	Cathygros		
entry	Cathylomaneo	0	
orth	Cathylomaneo		
entry	Catias	0	
orth	Catias		
entry	Catillaeno	0	
orth	Catillaeno		
entry	Catinus	0	
orth	Catinus		
entry	Catischon	0	
orth	Catischon		
entry	Cat	0	
orth	Cat		
entry	Catma	0	
orth	Catma		
entry	Cato	1	
orth	Cato		
pb	0150	0158	
entry	Catoblecta	0	
orth	Catoblecta		
entry	Catoblepas	0	
orth	Catoblepas		
entry	Catoche	0	
orth	Catoche		
ref	Catalepsis.		
entry	Catocheilon	0	
orth	Catocheilon		
entry	Catochites	0	
orth	Catochites		
entry	Catoecidius	0	
orth	Catoecidius		
entry	Catomismus	0	
orth	Catomismus		
entry	Catopin	0	
orth	Catopin		
entry	Catopter	0	
orth	Catopter		
entry	Catorchites	0	
orth	Catorchites		
entry	Catoterica	0	
orth	Catoterica		
entry	Catoxys	0	
orth	Catoxys		
entry	Catulaster	0	
orth	Catulaster		
entry	Catus	0	
orth	Catus		
entry	Cavatus	0	
orth	Cavatus		
entry	Cava	0	
orth	Cava		
entry	Caucaloides	0	
orth	Caucaloides		
entry	Cauda	1	
orth	Cauda		
pb	0151	0159	
entry	Caudatio	0	
orth	Caudatio		
entry	Caverna	0	
orth	Caverna		
entry	Cavicula	0	
orth	Cavicula		
entry	Cavillatio	0	
orth	Cavillatio		
entry	Cavitas	0	
orth	Cavitas		
entry	Cauledon	0	
orth	Cauledon		
entry	Caulias	0	
orth	Caulias		
entry	Caulis	0	
orth	Caulis		
entry	Cauloton	0	
orth	Cauloton		
entry	Cauma	0	
orth	Cauma		
entry	Cauniace	0	
orth	Cauniace		
entry	Caurus	0	
orth	Caurus		
entry	Causa	0	
orth	Causa		
entry	Causis	0	
orth	Causis		
entry	Causodes	1	
orth	Causodes		
pb	0152	0160	
entry	Causama	0	
orth	Causama		
entry	Causticus	0	
orth	Causticus		
entry	Causus	0	
orth	Causus		
entry	Cautela	0	
orth	Cautela		
entry	Cauterium	0	
orth	Cauterium		
entry	Cavus	1	
orth	Cavus		
pb	0153	0161	
entry	Ceasma	0	
orth	Ceasma		
entry	Cebi	0	
orth	Cebi		
entry	Cebus	0	
orth	Cebus		
entry	Cechynos	0	
orth	Cechynos		
entry	Cecis	0	
orth	Cecis		
entry	Cecryphalos	0	
orth	Cecryphalos		
entry	Cedma	0	
orth	Cedma		
ref	Arthritis.		
entry	Cedrelaeum	0	
orth	Cedrelaeum		
entry	Cedria	0	
orth	Cedria		
entry	Cedve	0	
orth	Cedve		
entry	Cedvrini	0	
orth	Cedvrini		
entry	Ceimelion	0	
orth	Ceimelion		
entry	Ceimenon	0	
orth	Ceimenon		
entry	Ceiriae	0	
orth	Ceiriae		
ref	Helminthes.		
entry	Celatus	0	
orth	Celatus		
entry	Cele	0	
orth	Cele		
entry	Celefoli	0	
orth	Celefoli		
entry	Celer	1	
orth	Celer		
pb	0154	0162	
entry	Celeritas	0	
orth	Celeritas		
entry	Celeriter	0	
orth	Celeriter		
entry	Celis	0	
orth	Celis		
entry	Cellae	0	
orth	Cellae		
entry	Cello	0	
orth	Cello		
entry	Cellulae	0	
orth	Cellulae		
entry	Celoneum	0	
orth	Celoneum		
entry	Celotomia	0	
orth	Celotomia		
entry	Celsa	0	
orth	Celsa		
entry	Cementatioj	0	
orth	Cementatioj		
entry	Cenchramis	0	
orth	Cenchramis		
entry	Cenchrias	0	
orth	Cenchrias		
entry	Cenchris	0	
orth	Cenchris		
entry	Ceneangia	0	
orth	Ceneangia		
entry	Cenebrium	0	
orth	Cenebrium		
entry	Ceneon	1	
orth	Ceneon		
pb	0155	0163	
entry	Ceneos	0	
orth	Ceneos		
entry	Cenigdam	0	
orth	Cenigdam		
entry	Ceniotemium	0	
orth	Ceniotemium		
entry	Cenos	0	
orth	Cenos		
ref	Vacuus.		
entry	Cenosis	0	
orth	Cenosis		
entry	Centaureum	0	
orth	Centaureum		
entry	Centaurus	0	
orth	Centaurus		
entry	Cento	0	
orth	Cento		
entry	Centotauros	0	
orth	Centotauros		
entry	Centratio	0	
orth	Centratio		
entry	Centrium	0	
orth	Centrium		
entry	Centrina	0	
orth	Centrina		
entry	Centrum	0	
orth	Centrum		
entry	Centumcellis	0	
orth	Centumcellis		
entry	Cephalaea	1	
orth	Cephalaea		
pb	0156	0164	
entry	Cephalalgia	0	
orth	Cephalalgia		
entry	Cephale	0	
orth	Cephale		
ref	Caput.		
entry	Cephalicus	0	
orth	Cephalicus		
entry	Cephaline	0	
orth	Cephaline		
entry	Cephaloides	0	
orth	Cephaloides		
entry	Cephalonosos	0	
orth	Cephalonosos		
entry	Cephaloponia	0	
orth	Cephaloponia		
entry	Cephalos	0	
orth	Cephalos		
entry	Cephalotos	0	
orth	Cephalotos		
ref	Capitatus.		
entry	Cephalotrotos	0	
orth	Cephalotrotos		
entry	Cera	1	
orth	Cera		
pb	0157	0165	
entry	Cerea	0	
orth	Cerea		
entry	Ceraeae	0	
orth	Ceraeae		
entry	Cerago	0	
orth	Cerago		
entry	Ceramice	0	
orth	Ceramice		
entry	Ceramium	0	
orth	Ceramium		
entry	Ceramos	0	
orth	Ceramos		
entry	Ceranites	0	
orth	Ceranites		
entry	Ceranthemus	0	
orth	Ceranthemus		
entry	Ceras	0	
orth	Ceras		
entry	Ceeasiatum	0	
orth	Ceeasiatum		
entry	Cerasios	0	
orth	Cerasios		
entry	Cerasma	0	
orth	Cerasma		
entry	Cerasophoros	0	
orth	Cerasophoros		
entry	Cerastes	0	
orth	Cerastes		
entry	Ceratio	1	
orth	Ceratio		
pb	0158	0166	
entry	Ceratites	0	
orth	Ceratites		
entry	Ceratium	0	
orth	Ceratium		
entry	Ceratoglossi	0	
orth	Ceratoglossi		
entry	Ceratoides	0	
orth	Ceratoides		
entry	Ceratomalagma	0	
orth	Ceratomalagma		
ref	Ceratum		
entry	Ceratum	0	
orth	Ceratum		
entry	Ceraunius	0	
orth	Ceraunius		
entry	Ceraunochrysos	0	
orth	Ceraunochrysos		
entry	Ceraunos	0	
orth	Ceraunos		
entry	Cerberus	0	
orth	Cerberus		
entry	Cerchnaleon	0	
orth	Cerchnaleon		
entry	Cerchnos	0	
orth	Cerchnos		
entry	Cercis	1	
orth	Cercis		
pb	0159	0167	
entry	Cercopes	0	
orth	Cercopes		
entry	Cercopithecus	0	
orth	Cercopithecus		
entry	Cercosis	0	
orth	Cercosis		
entry	Cerdac	0	
orth	Cerdac		
entry	Cerealis	0	
orth	Cerealis		
entry	Cerebella	0	
orth	Cerebella		
entry	Cerebellum	0	
orth	Cerebellum		
entry	Cerebrum	0	
orth	Cerebrum		
entry	Cerefactio	0	
orth	Cerefactio		
entry	Cerelaeum	0	
orth	Cerelaeum		
entry	Ceremonia	1	
orth	Ceremonia		
pb	0160	0168	
entry	Cerevisia	0	
orth	Cerevisia		
entry	Cerificatio	0	
orth	Cerificatio		
entry	Cerion	0	
orth	Cerion		
entry	Cerituj	0	
orth	Cerituj		
entry	Cerno	0	
orth	Cerno		
entry	Cerno	0	
orth	Cerno		
ref	Cribrum.		
entry	Cernua	0	
orth	Cernua		
entry	Ceroma	0	
orth	Ceroma		
entry	Ceropissos	0	
orth	Ceropissos		
entry	Certamen	0	
orth	Certamen		
entry	Certator	0	
orth	Certator		
entry	Certatorie	0	
orth	Certatorie		
entry	Cervicalis	0	
orth	Cervicalis		
entry	Cervix	1	
orth	Cervix		
pb	0161	0169	
ref	Caulis.		
entry	Cerviculae	0	
orth	Cerviculae		
entry	Cerumen	0	
orth	Cerumen		
entry	Cerusa	0	
orth	Cerusa		
entry	Cerusiana	0	
orth	Cerusiana		
entry	Cerussa	0	
orth	Cerussa		
entry	Cerussea	0	
orth	Cerussea		
entry	Cervus	0	
orth	Cervus		
entry	Cesso	0	
orth	Cesso		
entry	Cestreus	0	
orth	Cestreus		
entry	Cetaceus	0	
orth	Cetaceus		
entry	Cete	0	
orth	Cete		
ref	Cetaceus : vel		
ref	Balaena.		
entry	Cevil	1	
orth	Cevil		
pb	0162	0170	
entry	Chaete	0	
orth	Chaete		
entry	Chalao	0	
orth	Chalao		
entry	Chalasis	0	
orth	Chalasis		
entry	Chalasticos	0	
orth	Chalasticos		
entry	Chalaza	0	
orth	Chalaza		
entry	Chalbane	0	
orth	Chalbane		
entry	Chalcanthum	0	
orth	Chalcanthum		
entry	Chalcedonius	0	
orth	Chalcedonius		
entry	Chalcidica	0	
orth	Chalcidica		
entry	Chalceium	0	
orth	Chalceium		
entry	Chalcitis	0	
orth	Chalcitis		
entry	Chalcoma	0	
orth	Chalcoma		
entry	Chalcos	0	
orth	Chalcos		
entry	Chalcus	0	
orth	Chalcus		
entry	Chalcute	0	
orth	Chalcute		
entry	Chalepos	1	
orth	Chalepos		
pb	0163	0171	
entry	Chalicraton	0	
orth	Chalicraton		
entry	Chalinos	0	
orth	Chalinos		
entry	Chalybs	0	
orth	Chalybs		
entry	Chama	0	
orth	Chama		
entry	Chamaeleon	0	
orth	Chamaeleon		
entry	Chamaezelus	0	
orth	Chamaezelus		
entry	Chambar	0	
orth	Chambar		
ref	suo loco.		
entry	Chambroch	0	
orth	Chambroch		
entry	Chameunia	0	
orth	Chameunia		
entry	Chandothen	0	
orth	Chandothen		
entry	Channa	0	
orth	Channa		
entry	Chaomantia	0	
orth	Chaomantia		
entry	Chaos	1	
orth	Chaos		
pb	0164	0172	
entry	Chaosda	0	
orth	Chaosda		
entry	Chaova	0	
orth	Chaova		
entry	Chara	0	
orth	Chara		
entry	Charabe	0	
orth	Charabe		
entry	Character	0	
orth	Character		
ref	Sigillum.		
entry	Charadra	0	
orth	Charadra		
entry	Charadrius	0	
orth	Charadrius		
entry	Charaxis	0	
orth	Charaxis		
entry	Charieis	1	
orth	Charieis		
pb	0165	0173	
entry	Charis	0	
orth	Charis		
entry	Charitesia	0	
orth	Charitesia		
entry	Charme	0	
orth	Charme		
entry	Charonius	0	
orth	Charonius		
entry	Charopos	0	
orth	Charopos		
entry	Charta	0	
orth	Charta		
entry	Chartilago	0	
orth	Chartilago		
entry	Chasco	0	
orth	Chasco		
entry	Chasme	0	
orth	Chasme		
entry	Chauliodonta	0	
orth	Chauliodonta		
entry	Chaunos	0	
orth	Chaunos		
entry	Chedropos	0	
orth	Chedropos		
entry	Cheiae	0	
orth	Cheiae		
entry	Cheilocace	1	
orth	Cheilocace		
pb	0166	0174	
entry	Cheilon	0	
orth	Cheilon		
entry	Cheilos	0	
orth	Cheilos		
entry	Cheimiusa	0	
orth	Cheimiusa		
entry	Cheimon	0	
orth	Cheimon		
entry	Cheir	0	
orth	Cheir		
entry	Cheirapsia	0	
orth	Cheirapsia		
entry	Cheiri	0	
orth	Cheiri		
entry	Cheiriater	0	
orth	Cheiriater		
entry	Cheiris	0	
orth	Cheiris		
entry	Cheirisma	0	
orth	Cheirisma		
entry	Cheirixis	0	
orth	Cheirixis		
entry	Cheiromactron	0	
orth	Cheiromactron		
entry	Chele	0	
orth	Chele		
entry	Chelidon	0	
orth	Chelidon		
entry	Chelidonius	1	
orth	Chelidonius		
pb	0167	0175	
entry	Chelmon	0	
orth	Chelmon		
ref	Chilon.		
entry	Cheloma	0	
orth	Cheloma		
entry	Chelon	0	
orth	Chelon		
entry	Chelone	0	
orth	Chelone		
entry	Chelonion	0	
orth	Chelonion		
entry	Chelonites	0	
orth	Chelonites		
entry	Chelys	0	
orth	Chelys		
entry	Chelyscion	0	
orth	Chelyscion		
entry	Cheme	0	
orth	Cheme		
entry	Chemia	0	
orth	Chemia		
entry	Chemosis	0	
orth	Chemosis		
entry	Chenalopex	0	
orth	Chenalopex		
entry	Cheon	0	
orth	Cheon		
ref	Nix		
entry	Cheramis	0	
orth	Cheramis		
ref	Chama.		
entry	Cherio	0	
orth	Cherio		
entry	Chermes	0	
orth	Chermes		
entry	Chernibion	0	
orth	Chernibion		
entry	Chersa	1	
orth	Chersa		
pb	0168	0176	
entry	Chersaea	0	
orth	Chersaea		
entry	Chersydrus	0	
orth	Chersydrus		
entry	Cherubim	0	
orth	Cherubim		
entry	Cheusis	0	
orth	Cheusis		
entry	Chezanance	0	
orth	Chezanance		
entry	Chia	0	
orth	Chia		
entry	Chiacum	0	
orth	Chiacum		
entry	Chiadus	0	
orth	Chiadus		
entry	Chiasmos	0	
orth	Chiasmos		
entry	Chiastos	0	
orth	Chiastos		
entry	Chiazo	0	
orth	Chiazo		
entry	Chiffir	0	
orth	Chiffir		
entry	Chiliodynamon	0	
orth	Chiliodynamon		
entry	Chylon	0	
orth	Chylon		
entry	Chimethlon	0	
orth	Chimethlon		
entry	Chimolea	0	
orth	Chimolea		
entry	Chimus	0	
orth	Chimus		
entry	China	1	
orth	China		
pb	0169	0177	
entry	Chiniscus	0	
orth	Chiniscus		
entry	Chioli	0	
orth	Chioli		
entry	Chion	0	
orth	Chion		
entry	Chiragra	0	
orth	Chiragra		
ref	Arthritis.		
entry	Chirapsia	0	
orth	Chirapsia		
entry	Chiromantia	0	
orth	Chiromantia		
entry	Chiron	0	
orth	Chiron		
entry	Chironax	0	
orth	Chironax		
entry	Chironium	0	
orth	Chironium		
entry	Chironomia	0	
orth	Chironomia		
entry	Chirotechnes	0	
orth	Chirotechnes		
entry	Chirotheca	0	
orth	Chirotheca		
entry	Chirotribia	0	
orth	Chirotribia		
entry	Chirurgia	1	
orth	Chirurgia		
ref	Dogm. Med. gen. nostr. part. VII.		
pb	0170	0178	
ref	Infusio & Transfusio.		
entry	Chiton	0	
orth	Chiton		
ref	Tunica.		
entry	Chium	0	
orth	Chium		
entry	Chlaena	0	
orth	Chlaena		
entry	Chlevastes	0	
orth	Chlevastes		
entry	Chliaenesthae	0	
orth	Chliaenesthae		
entry	Chliaros	0	
orth	Chliaros		
entry	Chliasma	0	
orth	Chliasma		
entry	Chloe	0	
orth	Chloe		
entry	Chloriazo	0	
orth	Chloriazo		
entry	Chloros	0	
orth	Chloros		
ref	Gobio.		
entry	Chnus	0	
orth	Chnus		
entry	Choa	0	
orth	Choa		
entry	Choacum	0	
orth	Choacum		
entry	Choana	0	
orth	Choana		
ref	infundibulum.		
entry	Chocolata	0	
orth	Chocolata		
entry	Choenicis	0	
orth	Choenicis		
entry	Choenix	0	
orth	Choenix		
entry	Choeras	0	
orth	Choeras		
entry	Choeros	0	
orth	Choeros		
entry	Cholagogus	0	
orth	Cholagogus		
entry	Cholas	0	
orth	Cholas		
pb	0171	0179	
entry	Chole	0	
orth	Chole		
ref	BiHsi		
entry	Choledochos	0	
orth	Choledochos		
entry	Cholegon	0	
orth	Cholegon		
entry	Cholera	0	
orth	Cholera		
entry	Cholericus	0	
orth	Cholericus		
entry	Cholobaphinon	0	
orth	Cholobaphinon		
entry	Choloma	0	
orth	Choloma		
entry	Cholos	0	
orth	Cholos		
entry	Chondrosyndesmus	0	
orth	Chondrosyndesmus		
ref	Cartilago.		
entry	Chondrus	0	
orth	Chondrus		
ref	Alica, Cartilago.		
entry	Chone	0	
orth	Chone		
entry	Chora	0	
orth	Chora		
entry	Chorda	1	
orth	Chorda		
pb	0172	0180	
ref	Tendo.		
entry	Chordapsus	0	
orth	Chordapsus		
ref	Eileos.		
entry	Chorea	0	
orth	Chorea		
entry	Choregia	0	
orth	Choregia		
entry	Choreo	0	
orth	Choreo		
entry	Chorion	0	
orth	Chorion		
entry	Choroides	0	
orth	Choroides		
entry	Chorus	0	
orth	Chorus		
entry	Chreia	0	
orth	Chreia		
entry	Chrema	0	
orth	Chrema		
entry	Chresimos	0	
orth	Chresimos		
entry	Chk	0	
orth	Chk		
entry	Chrestomatheia	0	
orth	Chrestomatheia		
pb	0173	0181	
entry	Christi	0	
orth	Christi		
entry	Christqs	0	
orth	Christqs		
entry	Chroma	0	
orth	Chroma		
ref	Color.		
entry	Chromatismus	0	
orth	Chromatismus		
ref	'Coloratio.		
entry	Chromis	0	
orth	Chromis		
entry	Chronicus	0	
orth	Chronicus		
ref	Brachychronius, & Brevis.		
entry	Chronizo	0	
orth	Chronizo		
entry	Chronos	0	
orth	Chronos		
ref	Tempus.		
entry	Chros	0	
orth	Chros		
entry	Chrysammos	0	
orth	Chrysammos		
entry	Chryse	0	
orth	Chryse		
entry	Chrysitis	0	
orth	Chrysitis		
entry	Chrysobalanus	0	
orth	Chrysobalanus		
entry	Chrysoceraunius	0	
orth	Chrysoceraunius		
entry	Chrysochalcos	0	
orth	Chrysochalcos		
entry	Chrysocolla	0	
orth	Chrysocolla		
entry	Chrysogonia	0	
orth	Chrysogonia		
entry	Chrysolithus	0	
orth	Chrysolithus		
entry	Chrysomanes	0	
orth	Chrysomanes		
entry	Chrysoplvcius	1	
orth	Chrysoplvcius		
pb	0174	0182	
entry	Chrysopoeia	0	
orth	Chrysopoeia		
ref	Argyropceia.		
entry	Chrysopus	0	
orth	Chrysopus		
entry	Chrysos	0	
orth	Chrysos		
entry	Chrysulca	0	
orth	Chrysulca		
entry	Chrysun	0	
orth	Chrysun		
entry	Chus	0	
orth	Chus		
entry	Chybur	0	
orth	Chybur		
entry	Chylarion	0	
orth	Chylarion		
entry	Chylificatio	0	
orth	Chylificatio		
entry	Chylisma	0	
orth	Chylisma		
entry	Chylus	1	
orth	Chylus		
pb	0175	0183	
entry	Chymia	0	
orth	Chymia		
entry	Chymicophanta	0	
orth	Chymicophanta		
entry	Chymolea	0	
orth	Chymolea		
entry	Chymosis	0	
orth	Chymosis		
entry	Chymosum	0	
orth	Chymosum		
entry	Chymus	0	
orth	Chymus		
entry	Chysis	0	
orth	Chysis		
entry	Chytlon	0	
orth	Chytlon		
entry	Chytra	0	
orth	Chytra		
entry	Cibarium	0	
orth	Cibarium		
ref	Cibus. Cibarius		
entry	Cibatio	0	
orth	Cibatio		
entry	Cibus	1	
orth	Cibus		
pb	0176	0184	
entry	Cicada	0	
orth	Cicada		
entry	Cicatrix	0	
orth	Cicatrix		
entry	Cicatrizans	0	
orth	Cicatrizans		
entry	Cicindela	0	
orth	Cicindela		
entry	Ciconia	0	
orth	Ciconia		
entry	Cignus	0	
orth	Cignus		
entry	Cilia	0	
orth	Cilia		
entry	Ciliaris	0	
orth	Ciliaris		
entry	Cillo	0	
orth	Cillo		
entry	Cilo	0	
orth	Cilo		
entry	Cimentatio	0	
orth	Cimentatio		
pb	0177	0185	
entry	Cimex	0	
orth	Cimex		
entry	Cimolia	0	
orth	Cimolia		
entry	Cinabaris	0	
orth	Cinabaris		
entry	Cinaedus	0	
orth	Cinaedus		
entry	Cinclesis	0	
orth	Cinclesis		
entry	Cindynos	0	
orth	Cindynos		
entry	Cinefactio	0	
orth	Cinefactio		
entry	Cineo	0	
orth	Cineo		
entry	Cinerarium	0	
orth	Cinerarium		
entry	Cineratio	0	
orth	Cineratio		
ref	Incineratio.		
entry	Cinereus	0	
orth	Cinereus		
entry	Cineritium	0	
orth	Cineritium		
entry	Cinerula	0	
orth	Cinerula		
entry	Cinesis	0	
orth	Cinesis		
ref	Motus.		
entry	Cinetus	0	
orth	Cinetus		
entry	Cingens	0	
orth	Cingens		
entry	Cingulum	0	
orth	Cingulum		
entry	Cinificatum	0	
orth	Cinificatum		
entry	Ciniflones	1	
orth	Ciniflones		
pb	0178	0186	
entry	Cinis	0	
orth	Cinis		
entry	Cinnabaris	0	
orth	Cinnabaris		
ref	Metallus.		
entry	Cinnamomum	0	
orth	Cinnamomum		
entry	Cinnioglottus	0	
orth	Cinnioglottus		
entry	Cinnus	0	
orth	Cinnus		
ref	Cyceon.		
entry	Cinzilla	0	
orth	Cinzilla		
ref	Zona.		
entry	Cion	0	
orth	Cion		
entry	Cionis	0	
orth	Cionis		
pb	0179	0187	
entry	Ciparium	0	
orth	Ciparium		
entry	Circa	0	
orth	Circa		
entry	Circinus	0	
orth	Circinus		
entry	Circites	0	
orth	Circites		
entry	Circos	0	
orth	Circos		
entry	Circuitus	0	
orth	Circuitus		
entry	Circularis	0	
orth	Circularis		
entry	Circulatio	0	
orth	Circulatio		
entry	Circulator	0	
orth	Circulator		
entry	Circulatorium	0	
orth	Circulatorium		
entry	Circulatum	0	
orth	Circulatum		
entry	Circulus	1	
orth	Circulus		
pb	0180	0188	
entry	Circumcisio	0	
orth	Circumcisio		
entry	Circumferentia	0	
orth	Circumferentia		
entry	Circumforaneus	0	
orth	Circumforaneus		
ref	Agyrta.		
entry	Circuminduro	0	
orth	Circuminduro		
entry	Ciroumlitio	0	
orth	Ciroumlitio		
entry	Circumossalis	0	
orth	Circumossalis		
ref	Periostitim.		
entry	Circumpulsio	0	
orth	Circumpulsio		
entry	Circumsedeo	0	
orth	Circumsedeo		
ref	Amphicathezomae		
entry	Circumstantia	0	
orth	Circumstantia		
entry	Circumtego	0	
orth	Circumtego		
entry	Circumvagatio	0	
orth	Circumvagatio		
entry	Circus	0	
orth	Circus		
ref	Diaulos.		
entry	Cirlus	0	
orth	Cirlus		
ref	Lutea.		
entry	Cirnao	0	
orth	Cirnao		
entry	Cirrhos	0	
orth	Cirrhos		
pb	0181	0189	
entry	Cirrus	0	
orth	Cirrus		
ref	Ceraeae & Polypus.		
entry	Cirsocele	0	
orth	Cirsocele		
entry	Cirsos	0	
orth	Cirsos		
ref	Varix.		
entry	Cisseris	0	
orth	Cisseris		
entry	Cissinum	0	
orth	Cissinum		
entry	Cissybium	0	
orth	Cissybium		
entry	Cist	0	
orth	Cist		
entry	Cista	0	
orth	Cista		
entry	Cisterna	0	
orth	Cisterna		
entry	Citharus	0	
orth	Citharus		
entry	Cito	0	
orth	Cito		
entry	Citrinatio	0	
orth	Citrinatio		
entry	Citrinulus	0	
orth	Citrinulus		
entry	Citrones	0	
orth	Citrones		
entry	Citta	0	
orth	Citta		
entry	Civetta	0	
orth	Civetta		
entry	Civitas	0	
orth	Civitas		
entry	Clados	0	
orth	Clados		
entry	Claer	0	
orth	Claer		
entry	Clamor	1	
orth	Clamor		
pb	0182	0190	
entry	Clangor	0	
orth	Clangor		
entry	Clareta	0	
orth	Clareta		
entry	Claretum	0	
orth	Claretum		
entry	Clarificatio	0	
orth	Clarificatio		
entry	Claritas	0	
orth	Claritas		
entry	Clarum	0	
orth	Clarum		
entry	Clasis	0	
orth	Clasis		
ref	Fractura.		
entry	Classicus	0	
orth	Classicus		
entry	Claudiacon	0	
orth	Claudiacon		
entry	Claudicatio	0	
orth	Claudicatio		
ref	Choloma.		
entry	Claudo	0	
orth	Claudo		
entry	Claveatio	0	
orth	Claveatio		
ref	Gomphosis.		
entry	Clavellati	0	
orth	Clavellati		
entry	Claviculae	0	
orth	Claviculae		
entry	Clavis	1	
orth	Clavis		
pb	0183	0191	
entry	Claustrum	0	
orth	Claustrum		
entry	Clausura	0	
orth	Clausura		
entry	Clauthmos	0	
orth	Clauthmos		
entry	Clauthmyrizo	0	
orth	Clauthmyrizo		
entry	Clavus	0	
orth	Clavus		
entry	Cleidion	0	
orth	Cleidion		
entry	Cleis	0	
orth	Cleis		
entry	Cleisagra	0	
orth	Cleisagra		
entry	Cleithron	0	
orth	Cleithron		
